title,url,authors,doi,journal,search_term,dataset_id
Climatological diurnal variability in sea surface temperature characterized from drifting buoy data,http://dx.doi.org/10.1002/gdj3.35,"Morak-Bozzo, S., Merchant, C.J., Kent, E.C., Berry, D.I., Carella, G.",10.1002/gdj3.35,,Local Climatological Data,dataset-659
A Quality Control Procedure for Climatological Studies Using Argo Data in the North Pacific Western Boundary Current Region,http://hdl.handle.net/11585/586833,"Jia, Wenjing, Wang, Dong, Pinardi, Nadia, Simoncelli, Simona, Storto, Andrea, Masina, Simona",10.1175/JTECH-D-15-0140.1,,Local Climatological Data,dataset-659
Kebiasaan Masyarakat Dusun Bawakaraeng dalam Pengamanan Hutan di Sub DAS Lengkese Das Jeneberang Hulu,http://repository.unhas.ac.id/handle/123456789/3156,"Arsyad, Usman, Sainuddin",10.26858/jiap.v8i2.7880,,Local Climatological Data,dataset-659
CMSAF Radiation Data: New Possibilities for Climatological Applications in the Czech Republic,http://dx.doi.org/10.3390/rs71114445,"Michal Žák, Jiří Mikšovský, Petr Pišoft",10.3390/rs71114445,Remote Sensing,Local Climatological Data,dataset-659
Essays on the Social Impacts of Climate,http://dx.doi.org/10.7916/d8b2827t,"Hsiang, Solomon M.",10.7916/d8b2827t,,Local Climatological Data,dataset-659
Data assimilation using a climatologically augmented local ensemble transform Kalman filter,https://doaj.org/toc/1600-0870,"Matthew Kretschmer, Brian R. Hunt, Edward Ott",10.3402/tellusa.v67.26617,Tellus A,Local Climatological Data,dataset-659
"Comparison of Satellite Rainfall Estimates and Rain Gauge Measurements in Italy, and Impact on Landslide Modeling",https://www.mdpi.com/2225-1154/5/4/90,"Mauro Rossi, Dalia Kirschbaum, Daniela Valigi, Alessandro Cesare Mondini, Fausto Guzzetti",10.3390/cli5040090,Climate,Local Climatological Data,dataset-659
Climatological determinants of woody cover in Africa,https://europepmc.org/articles/PMC3064349/,"Good, Stephen P., Caylor, Kelly K.",10.1073/pnas.1013100108,,Local Climatological Data,dataset-659
"Posible cambio climático debido a la explotación de agua Subterránea en el Valle de Ojos Negros, Baja California",http://www.investigacionesgeograficas.unam.mx/index.php/rig/article/view/59132,"V. Miguel Ponce, O. Rafael García Cueto, Sezar Ercan",10.14350/rig.59132,Investigaciones Geográficas,Local Climatological Data,dataset-659
ANALYSIS OF THE MAIN CLIMATIC FACTORS AND THEIR IMPACT ON CROP PRODUCTION,http://managementjournal.usamv.ro/pdf/vol4_2/art12.pdf,"Elena COFAS, Dana Maria (Oprea) CONSTANTIN, Iuliana ZAHARIA",,Scientific Papers Series : Management,Local Climatological Data,dataset-659
Renewal of aerosol data for ALADIN-HIRLAM radiation parametrizations,http://dx.doi.org/10.5194/asr-16-129-2019,"Rontu, Laura, Pietikäinen, Joni-Pekka, Martin Perez, Daniel",10.5194/asr-16-129-2019,,Local Climatological Data,dataset-659
Climatological Aspects of Aerosol Physical Characteristics in Tunisia Deduced from Sun Photometric Measurements,http://dx.doi.org/10.1100/2012/585084,"Chaâbane, Mabrouk, Azri, Chafai, Medhioub, Khaled",10.1100/2012/585084,The Scientific World Journal,Local Climatological Data,dataset-659
Climatic zonation and land suitability determination for saffron in Khorasan-Razavi province using data mining algorithms,http://saffron.torbath.ac.ir/article_46079_1cfb0066ef4fc292cb056c806efac679.pdf,"mehdi Bashiri, Ali Maroosi, Amir Salari, Mohammad Ghodoosi",10.22048/jsat.2017.60768.1189,Zirā̒at va Fanāvarī-i Za̒farān,Local Climatological Data,dataset-659
Renewal of aerosol data for ALADIN-HIRLAM radiation parametrizations,https://www.adv-sci-res.net/16/129/2019/,"L. Rontu, J.-P. Pietikäinen, D. Martin Perez",10.5194/asr-16-129-2019,,Local Climatological Data,dataset-659
Physical-based time series model applied on water table depths dynamics characteristics simulation,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312018000100224,"Manzione,Rodrigo Lilla",10.1590/2318-0331.0318170071,,Local Climatological Data,dataset-659
"CORRELATION AMONG DAMAGES CAUSED BY YELLOW BEETLE, CLIMATOLOGICAL ELEMENTS AND PRODUCTION OF GUAVA ACCESSES GROWN IN ORGANIC SYSTEM",http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452017000300402,"GALLI,JULIANA ALTAFIN, MICHELOTTO,MARCOS DONISETI, FISCHER,IVAN HERMAN, SOARES,MARIA BEATRIZ BERNARDES, MARTINS,ANTÔNIO LUCIO MELLO",10.1590/0100-29452017987,Revista Brasileira de Fruticultura,Local Climatological Data,dataset-659
