title,journal,url,authors,doi,search_term,dataset_id
Technical Progress and Development Directions of Oceanic Spatial Information Datum,Acta Geodaetica et Cartographica Sinica,http://html.rhhz.net/CHXB/html/2017-10-1778.htm,"BAO Jingyang, XU Jun, YU Caixia",10.11947/j.AGCS.2017.20170371,Tidal Datum,dataset-614
Tidal Datum Changes Induced by Morphological Changes of North Carolina Coastal Inlets,Journal of Marine Science and Engineering,http://www.mdpi.com/2077-1312/4/4/79,"Jindong Wang, Edward Myers",10.3390/jmse4040079,Tidal Datum,dataset-614
Determination of the Vertical Deviation for China Height Datum with Coordinates of Dagang Tidal Gauge,Acta Geodaetica et Cartographica Sinica,http://html.rhhz.net/CHXB/html/2018-10-1295.htm,"WU Fumei, WEI Ziqing, LIU Guangming",10.11947/j.AGCS.2018.20170051,Tidal Datum,dataset-614
Analysis of Tidal Data for Dagang Tidal Gauge and Study of the Changes for the National Height Datum,Acta Geodaetica et Cartographica Sinica,http://html.rhhz.net/CHXB/html/2015-7-709.htm,"WU Fumei, WEI Ziqing, LI Yingchun",10.11947/j.AGCS.2015.20140110,Tidal Datum,dataset-614
Tidal Datums with Spatially Varying Uncertainty in North-East Gulf of Mexico for VDatum Application,Journal of Marine Science and Engineering,http://www.mdpi.com/2077-1312/6/4/114,"Liujuan Tang, Edward Myers, Lei Shi, Kurt Hess, Alison Carisio, Michael Michalski, Stephen White, Cuong Hoang",10.3390/jmse6040114,Tidal Datum,dataset-614
"Sea Level Characteristics Referenced to Specific Geodetic Datum in Alexandria, Egypt",,https://zenodo.org/record/1315759,"Ahmed M. Khedr, Saad M. Abdelrahman, Kareem M. Tonbol",10.5281/zenodo.1315759,Tidal Datum,dataset-614
"Sea Level Characteristics Referenced To Specific Geodetic Datum In Alexandria, Egypt",,http://dx.doi.org/10.5281/zenodo.1315759,"Khedr, Ahmed M., Abdelrahman, Saad M., Tonbol, Kareem M.",10.5281/zenodo.1315759,Tidal Datum,dataset-614
"Sea Level Characteristics Referenced To Specific Geodetic Datum In Alexandria, Egypt",,http://dx.doi.org/10.5281/zenodo.1315758,"Khedr, Ahmed M., Abdelrahman, Saad M., Tonbol, Kareem M.",10.5281/zenodo.1315758,Tidal Datum,dataset-614
The Use of Hydrodynamic Models in the Determination of the Chart Datum Shape in a Tropical Estuary,Water,http://dx.doi.org/10.3390/w11050902,"Zapata Cortez, Carlos Gustavo, Puente Trueba, Maria Araceli, García Gómez, Andres, García Alba, Javier, Espinoza, Jorge",10.3390/w11050902,Tidal Datum,dataset-614
Modeling Tidal Datums and Spatially Varying Uncertainty in the Texas and Western Louisiana Coastal Waters,Journal of Marine Science and Engineering,https://www.mdpi.com/2077-1312/7/2/44,"Wei Wu, Edward Myers, Lei Shi, Kurt Hess, Michael Michalski, Stephen White",10.3390/jmse7020044,Tidal Datum,dataset-614
