title,journal,authors,doi,search_term,dataset_id,valid?,notes,pdf
Materials Sealing Preventing Biofilm Formation in Implant/Abutment Joints: Which Is the Most Effective? A Systematic Review and Meta-Analysis.,The Journal of oral implantology,"Sousa, Cecília Alves, Taborda, Maria Beatriz Bello, Momesso, Gustavo Correa, Rocha, Eduardo Passos, Dos Santos, Paulo Henrique, Santigo-Junior, Joel Ferreira, Assunçao, Wirley Gonçalves",10.1563/aaid-joi-D-19-00121,Integrated Surface Database,dataset-621,Maybe,login screen,
Integrated Analysis To Identify Molecular Biomarkers Of High-Grade Serous Ovarian Cancer.,OncoTargets and therapy,"Si, Manfei, Zhang, Junji, Cao, Jianzhong, Xie, Zhibo, Shu, Shan, Zhu, Yapei, Lang, Jinghe",10.2147/OTT.S228678,Integrated Surface Database,dataset-621,No,,
"{'i': 'in silico', '#text': 'Mining of potential dipeptidyl peptidase-IV inhibitors as anti-diabetic agents using integrated  approaches.'}",Journal of biomolecular structure & dynamics,"Sharma, Shweta, Srivastava, Shubham, Shrivastava, Apeksha, Malik, Ruchi, Almalki, Faisal, Saifullah, Khalid, Alam, Mohammad Mumtaz, Shaqiquzzaman, Mohammad, Ali, Shakir, Akhter, Mymoona",10.1080/07391102.2019.1701553,Integrated Surface Database,dataset-621,No,,
Correlation between FAS single nucleotide polymorphisms and breast carcinoma susceptibility in Asia.,Medicine,"Chen, Ying, Wang, Hanfei, Yan, Yunwen, Ren, Min, Yan, Cunye, Wang, Benzhong",10.1097/MD.0000000000018240,Integrated Surface Database,dataset-621,No,,
Multi-targeted tyrosine kinase inhibitors as third-line regimen in advanced non-small cell lung cancer: a network meta-analysis.,Annals of translational medicine,"Zhang, Zhonghan, Zhao, Yuanyuan, Lu, Feiteng, Hou, Xue, Ma, Yuxiang, Luo, Fan, Zeng, Kangmei, Zhao, Shen, Zhang, Yaxiong, Zhou, Ting, Yang, Yunpeng, Fang, Wenfeng, Huang, Yan, Zhang, Li, Zhao, Hongyun",10.21037/atm.2019.08.51,Integrated Surface Database,dataset-621,No,,
Bioinformatics analysis of the Hub genes and key pathways of interstitial cystitis pathogenesis.,Neurourology and urodynamics,"Liu, Junjiang, Zhang, Yunxia, Li, Shoubin, Sun, Fuzhen, Wang, Gang, Wei, Dong, Yang, Tao, Gu, Shouyi",10.1002/nau.24196,Integrated Surface Database,dataset-621,No,,
Identification and quantification of bacterial genomes carrying antibiotic resistance genes and virulence factor genes for aquatic microbiological risk assessment.,Water research,"Liang, Jinsong, Mao, Guannan, Yin, Xiaole, Ma, Liping, Liu, Lei, Bai, Yaohui, Zhang, Tong, Qu, Jiuhui",10.1016/j.watres.2019.115160,Integrated Surface Database,dataset-621,No,,
Evaluation of core serous epithelial ovarian cancer genes as potential prognostic markers and indicators of the underlying molecular mechanisms using an integrated bioinformatics analysis.,Oncology letters,"Zhang, Yu-Bo, Jiang, Yuhan, Wang, Jiao, Ma, Jing, Han, Shiyu",10.3892/ol.2019.10884,Integrated Surface Database,dataset-621,No,,
Grammatical predictions in Spanish-English bilinguals and Spanish-language learners.,"Journal of experimental psychology. Learning, memory, and cognition","de Los Santos, Guadalupe, Boland, Julie E, Lewis, Richard L",10.1037/xlm0000764,Integrated Surface Database,dataset-621,No,,
High expression of EZR (ezrin) gene is correlated with the poor overall survival of breast cancer patients.,Thoracic cancer,"Zhang, Rongju, Zhang, Shaohui, Xing, Rongge, Zhang, Qin",10.1111/1759-7714.13174,Integrated Surface Database,dataset-621,No,,
Dynamics of Forest Fragmentation and Connectivity Using Particle and Fractal Analysis.,Scientific reports,"Andronache, Ion, Marin, Marian, Fischer, Rico, Ahammer, Helmut, Radulovic, Marko, Ciobotaru, Ana-Maria, Jelinek, Herbert F, Di Ieva, Antonio, Pintilii, Radu-Daniel, Drăghici, Cristian-Constantin, Herman, Grigore Vasile, Nicula, Alexandru-Sabin, Simion, Adrian-Gabriel, Loghin, Ioan-Vlad, Diaconu, Daniel-Constantin, Peptenatu, Daniel",10.1038/s41598-019-48277-z,Integrated Surface Database,dataset-621,,,
"Effect of Paeonia lactiflora, a traditional Chinese herb, on migraines based on clinical application and animal behavior analyses.",Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,"Liao, Chung-Chih, Li, Jung-Miao, Chen, Chao-Hsiang, Lin, Cheng-Li, Hsieh, Ching-Liang",10.1016/j.biopha.2019.109276,Integrated Surface Database,dataset-621,,,
[Cloning and characterization of chalcone synthase and chalcone isomerase genes in Arisaema heterophyllum].,Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica,"Zhang, Sheng-Xiang, Shi, Yuan-Yuan, Wang, Chen-Kai, Zhao, De-Rui, Yang, Qing-Shan, Ma, Ke-Long, Wu, Jia-Wen",10.19540/j.cnki.cjcmm.20190130.001,Integrated Surface Database,dataset-621,,,
A novel IRBF-RVM model for diagnosis of atrial fibrillation.,Computer methods and programs in biomedicine,"Kong, Dongdong, Zhu, Junjiang, Wu, Shangshi, Duan, Chaoqun, Lu, Lixin, Chen, Dongxing",10.1016/j.cmpb.2019.05.028,Integrated Surface Database,dataset-621,,,
geneHummus: an R package to define gene families and their expression in legumes and beyond.,BMC genomics,"Die, Jose V, Elmassry, Moamen M, LeBlanc, Kimberly H, Awe, Olaitan I, Dillman, Allissa, Busby, Ben",10.1186/s12864-019-5952-2,Integrated Surface Database,dataset-621,,,
The Peritoneal Surface Proteome in a Model of Chronic Peritoneal Dialysis Reveals Mechanisms of Membrane Damage and Preservation.,Frontiers in physiology,"Boehm, Michael, Herzog, Rebecca, Klinglmüller, Florian, Lichtenauer, Anton M, Wagner, Anja, Unterwurzacher, Markus, Beelen, Robert H J, Alper, Seth L, Aufricht, Christoph, Kratochwill, Klaus",10.3389/fphys.2019.00472,Integrated Surface Database,dataset-621,,,
Mapping Europe into local climate zones.,PloS one,"Demuzere, Matthias, Bechtel, Benjamin, Middel, Ariane, Mills, Gerald",10.1371/journal.pone.0214474,Integrated Surface Database,dataset-621,,,
Probability of intense precipitation from polarimetric GNSS radio occultation observations.,Quarterly journal of the Royal Meteorological Society. Royal Meteorological Society (Great Britain),"Cardellach, E, Padullés, R, Tomás, S, Turk, F J, Ao, C O, de la Torre-Juárez, M",10.1002/qj.3161,Integrated Surface Database,dataset-621,,,
Shape constrained fully convolutional DenseNet with adversarial training for multiorgan segmentation on head and neck CT and low-field MR images.,Medical physics,"Tong, Nuo, Gou, Shuiping, Yang, Shuyuan, Cao, Minsong, Sheng, Ke",10.1002/mp.13553,Integrated Surface Database,dataset-621,,,
"[Follow-up diagnostics, referral and follow-up of hepatitis B and C patients].",Nederlands tijdschrift voor geneeskunde,"Hofman, R, Veldhuijzen, Irene K, van der Lei, Johan, Richardus, Jan H",,Integrated Surface Database,dataset-621,,,
ACTG1 and TLR3 are biomarkers for alcohol-associated hepatocellular carcinoma.,Oncology letters,"Gao, Bing, Li, Shicheng, Tan, Zhen, Ma, Leina, Liu, Jia",10.3892/ol.2018.9757,Integrated Surface Database,dataset-621,,,
A global database of water vapor isotopes measured with high temporal resolution infrared laser spectroscopy.,Scientific data,"Wei, Zhongwang, Lee, Xuhui, Aemisegger, Franziska, Benetti, Marion, Berkelhammer, Max, Casado, Mathieu, Caylor, Kelly, Christner, Emanuel, Dyroff, Christoph, García, Omaira, González, Yenny, Griffis, Timothy, Kurita, Naoyuki, Liang, Jie, Liang, Mao-Chang, Lin, Guanghui, Noone, David, Gribanov, Konstantin, Munksgaard, Niels C, Schneider, Matthias, Ritter, François, Steen-Larsen, Hans Christian, Vallet-Coulomb, Christine, Wen, Xuefa, Wright, Jonathon S, Xiao, Wei, Yoshimura, Kei",10.1038/sdata.2018.302,Integrated Surface Database,dataset-621,,,
