title,journal,authors,doi,search_term,dataset_id
Data-enriched Interpolation for Temporally Consistent Population Compositions.,GIScience & remote sensing,"Zoraghein, Hamidreza, Leyk, Stefan",10.1080/15481603.2018.1509463,National Land Cover Database,dataset-624
Peridomestic and community-wide landscape risk factors for Lyme disease across a range of community contexts in Pennsylvania.,Environmental research,"Moon, Katherine A, Pollak, Jonathan, Poulsen, Melissa N, Hirsch, Annemarie G, DeWalle, Joseph, Heaney, Christopher D, Aucott, John N, Schwartz, Brian S",10.1016/j.envres.2019.108649,National Land Cover Database,dataset-624
"Outdoor Air Emissions, Land Use, and Land Cover around Schools on Tribal Lands.",International journal of environmental research and public health,"Barros, Nirmalla, Tulve, Nicolle S, Bailey, Ken, Heggem, Daniel T",10.3390/ijerph16010036,National Land Cover Database,dataset-624
Exposure to neighborhood green space and sleep: evidence from the Survey of the Health of Wisconsin.,Sleep health,"Johnson, Benjamin S, Malecki, Kristen M, Peppard, Paul E, Beyer, Kirsten M M",10.1016/j.sleh.2018.08.001,National Land Cover Database,dataset-624
Differential post-fledging habitat use of Nearctic-Neotropical migratory birds within an urbanized landscape.,Movement ecology,"Ladin, Zachary S, Van Nieuland, Steffie, Adalsteinsson, Solny A, D'Amico, Vincent, Bowman, Jacob L, Buler, Jeffrey J, Baetens, Jan M, De Baets, Bernard, Shriver, W Gregory",10.1186/s40462-018-0132-6,National Land Cover Database,dataset-624
Gray space and green space proximity associated with higher anxiety in youth with autism.,Health & place,"Larson, Lincoln R, Barger, Brian, Ogletree, Scott, Torquati, Julia, Rosenberg, Steven, Gaither, Cassandra Johnson, Bartz, Jody Marie, Gardner, Andrew, Moody, Eric, Schutte, Anne",10.1016/j.healthplace.2018.07.006,National Land Cover Database,dataset-624
Spatial patterns of the United States National Land Cover Dataset (NLCD) land-cover change thematic accuracy (2001-2011).,International journal of remote sensing,"Wickham, J, Stehman, S V, Homer, C G",10.1080/01431161.2017.1410298,National Land Cover Database,dataset-624
Relationships between Characteristics of Urban Green Land Cover and Mental Health in U.S. Metropolitan Areas.,International journal of environmental research and public health,"Tsai, Wei-Lun, McHale, Melissa R, Jennings, Viniece, Marquet, Oriol, Hipp, J Aaron, Leung, Yu-Fai, Floyd, Myron F",10.3390/ijerph15020340,National Land Cover Database,dataset-624
The managed clearing: An overlooked land-cover type in urbanizing regions?,PloS one,"Singh, Kunwar K, Madden, Marguerite, Gray, Josh, Meentemeyer, Ross K",10.1371/journal.pone.0192822,National Land Cover Database,dataset-624
"Accuracy assessment of NLCD 2011 impervious cover data for the Chesapeake Bay region, USA.",ISPRS journal of photogrammetry and remote sensing : official publication of the International Society for Photogrammetry and Remote Sensing (ISPRS),"Wickham, J, Herold, N, Stehman, S V, Homer, C G, Xian, G, Claggett, P",10.1016/j.isprsjprs.2018.09.010,National Land Cover Database,dataset-624
Development of a heat vulnerability index for New York State.,Public health,"Nayak, S G, Shrestha, S, Kinney, P L, Ross, Z, Sheridan, S C, Pantea, C I, Hsu, W H, Muscatiello, N, Hwang, S A",10.1016/j.puhe.2017.09.006,National Land Cover Database,dataset-624
"Oil and gas development footprint in the Piceance Basin, western Colorado.",The Science of the total environment,"Martinez, Cericia, Preston, Todd M",10.1016/j.scitotenv.2017.10.280,National Land Cover Database,dataset-624
Association of residential greenness with obesity and physical activity in a US cohort of women.,Environmental research,"Villeneuve, Paul J, Jerrett, Michael, Su, Jason G, Weichenthal, Scott, Sandler, Dale P",10.1016/j.envres.2017.10.005,National Land Cover Database,dataset-624
"Estimating coastal wetland gain and losses in Galveston County and Cameron County, Texas, USA.",Integrated environmental assessment and management,"Entwistle, Clare, Mora, Miguel A, Knight, Robert",10.1002/ieam.1973,National Land Cover Database,dataset-624
Harmonization of forest disturbance datasets of the conterminous USA from 1986 to 2011.,Environmental monitoring and assessment,"Soulard, Christopher E, Acevedo, William, Cohen, Warren B, Yang, Zhiqiang, Stehman, Stephen V, Taylor, Janis L",10.1007/s10661-017-5879-5,National Land Cover Database,dataset-624
Thematic accuracy assessment of the 2011 National Land Cover Database (NLCD).,Remote sensing of environment,"Wickham, James, Stehman, Stephen V, Gass, Leila, Dewitz, Jon A, Sorenson, Daniel G, Granneman, Brian J, Poss, Richard V, Baer, Lori A",10.1016/j.rse.2016.12.026,National Land Cover Database,dataset-624
Urban density and the metabolic reach of metropolitan areas: A panel analysis of per capita transportation emissions at the county-level.,Social science research,"Ergas, Christina, Clement, Matthew, McGee, Julius",10.1016/j.ssresearch.2016.03.002,National Land Cover Database,dataset-624
Landscape and Local Correlates of Bee Abundance and Species Richness in Urban Gardens.,Environmental entomology,"Quistberg, Robyn D, Bichier, Peter, Philpott, Stacy M",,National Land Cover Database,dataset-624
Quantifying Urban Watershed Stressor Gradients and Evaluating How Different Land Cover Datasets Affect Stream Management.,Environmental management,"Smucker, Nathan J, Kuhn, Anne, Charpentier, Michael A, Cruz-Quinones, Carlos J, Elonen, Colleen M, Whorley, Sarah B, Jicha, Terri M, Serbst, Jonathan R, Hill, Brian H, Wehr, John D",10.1007/s00267-015-0629-3,National Land Cover Database,dataset-624
Urban Vegetative Cover Fragmentation in the U.S.: Associations With Physical Activity and BMI.,American journal of preventive medicine,"Tsai, Wei-Lun, Floyd, Myron F, Leung, Yu-Fai, McHale, Melissa R, Reich, Brian J",10.1016/j.amepre.2015.09.022,National Land Cover Database,dataset-624
