title,journal,doi,authors,search_term,dataset_id
Cyclone risk assessment of the Cox’s Bazar district and Rohingya refugee camps in southeast Bangladesh,The Science of The Total Environment,10.1016/j.scitotenv.2019.135360,"Alam, Akhtar, Sammonds, Peter, Ahmed, Bayes",NOAA AND 'Social Vulnerability Index',dataset-613
Assessing Social Vulnerability through a Local Lens: An Integrated Geovisual Approach,Annals of the American Association of Geographers,10.1080/24694452.2019.1625750,"Rickless, David S., Yao, Xiaobai A., Orland, Brian, Welch-Devine, Meredith",NOAA AND 'Social Vulnerability Index',dataset-613
"Temporal and spatial change in disaster resilience in US counties, 2010–2015*",Environmental Hazards,10.1080/17477891.2018.1511405,"Cutter, Susan L., Derakhshan, Sahar",NOAA AND 'Social Vulnerability Index',dataset-613
How community vulnerability factors jointly affect multiple health outcomes after catastrophic storms,Environment International,10.1016/j.envint.2019.105285,"Zhang, Wangjian, Kinney, Patrick L., Rich, David Q., Sheridan, Scott C., Romeiko, Xiaobo Xue, Dong, Guanghui, Stern, Eric K., Du, Zhicheng, Xiao, Jianpeng, Lawrence, Wayne R., Lin, Ziqiang, Hao, Yuantao, Lin, Shao",NOAA AND 'Social Vulnerability Index',dataset-613
A resilience matrix approach for measuring and mitigating disaster-induced population displacement,International Journal of Disaster Risk Reduction,10.1016/j.ijdrr.2019.101310,"Rand, Krista, Kurth, Margaret, Fleming, Cody H., Linkov, Igor",NOAA AND 'Social Vulnerability Index',dataset-613
A thematic mapping method to assess and analyze potential urban hazards and risks caused by flooding,Computers Environment and Urban Systems,10.1016/j.compenvurbsys.2019.101417,"Hossain, Mohammad Khalid, Meng, Qingmin",NOAA AND 'Social Vulnerability Index',dataset-613
Climate Change Vulnerability Assessment and Adaptation Strategies through Best Management Practices,Journal of Hydrology,10.1016/j.jhydrol.2019.124311,"Giri, Subhasis, Lathrop, Richard G., Obropta, Christopher C.",NOAA AND 'Social Vulnerability Index',dataset-613
"Workforce/Population, Economy, Infrastructure, Geography, Hierarchy, and Time (WEIGHT): Reflections on the Plural Dimensions of Disaster Resilience",Risk Analysis,10.1111/risa.13186,"Santos, Joost, Yip, Christian, Thekdi, Shital, Pagsuyoin, Sheree",NOAA AND 'Social Vulnerability Index',dataset-613
On the role of the atlantic ocean in exacerbating indian heat waves,Climate Dynamics,10.1007/s00382-019-05093-5,"Vittal, H., Villarini, Gabriele, Zhang, Wei",NOAA AND 'Social Vulnerability Index',dataset-613
Oil Spills and Human Health: Contributions of the Gulf of Mexico Research Initiative,GeoHealth,10.1029/2019gh000217,"Eklund, Ruth L., Knapp, Landon C., Sandifer, Paul A., Colwell, Rita C.",NOAA AND 'Social Vulnerability Index',dataset-613
"Capturing Bonding, Bridging, and Linking Social Capital through Publicly Available Data",Risk Hazards & Crisis in Public Policy,10.1002/rhc3.12183,"Kyne, Dean, Aldrich, Daniel P.",NOAA AND 'Social Vulnerability Index',dataset-613
An index of fisheries closures due to harmful algal blooms and a framework for identifying vulnerable fishing communities on the U.S. West Coast,Marine Policy,10.1016/j.marpol.2019.103543,"Moore, Stephanie K., Cline, Michael R., Blair, Kathryn, Klinger, Terrie, Varney, Anna, Norman, Karma",NOAA AND 'Social Vulnerability Index',dataset-613
Geospatial-temporal analysis of the impact of ozone on asthma rescue inhaler use,Environment International,10.1016/j.envint.2019.105331,"Pepper, Joshua R., Barrett, Meredith A., Su, Jason G., Merchant, Rajan, Henderson, Kelly, Van Sickle, David, Balmes, John R.",NOAA AND 'Social Vulnerability Index',dataset-613
Quantifying Environmental Impacts of Temporary Housing at the Urban Scale: Intersection of Vulnerability and Post-Hurricane Relief in New Orleans,International Journal of Disaster Risk Science,10.1007/s13753-019-00244-y,"McConnell, Claire, Bertolin, Chiara",NOAA AND 'Social Vulnerability Index',dataset-613
Mapping characteristics of at-risk population to disasters in the context of Brazilian early warning system,International Journal of Disaster Risk Reduction,10.1016/j.ijdrr.2019.101326,"dos Santos Alvalá, Regina Célia, de Assis Dias, Mariane Carvalho, Saito, Silvia Midori, Stenner, Cláudio, Franco, Cayo, Amadeu, Pilar, Ribeiro, Julia, de Moraes Santana, Rodrigo Amorim Souza, Nobre, Carlos Afonso",NOAA AND 'Social Vulnerability Index',dataset-613
