title,doi,isbn,repec,url,pdf,dataset,rcc_pub_id
Diversification and determinants of international credit portfolios: Evidence from German banks,,978-3-86558-856-2,,http://hdl.handle.net/10419/65861,https://www.econstor.eu/bitstream/10419/65861/1/729177734.pdf,dataset-868,2816
"Unconventional Monetary Policy, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",,,,http://hdl.handle.net/10419/180675,,"dataset-013, dataset-010",2818
The cross-section of firms over the business cycle: new facts and a DSGE exploration,,,RePEc:zbw:bubdp1:200917,https://ideas.repec.org/p/zbw/bubdp1/200917.html,http://www.cesifo-group.de/DocDL/cesifo1_wp2810.pdf,dataset-869,2824
Consumer cash usage: A cross-country comparison with payment diary survey data,,978-3-95729-037-3,,http://hdl.handle.net/10419/100037,https://www.econstor.eu/bitstream/10419/100037/1/791673510.pdf,dataset-004,2827
Dynamic Q-investment functions for Germany using panel balance sheet data and a new algorithm for the capital stock at replacement values,,,RePEc:zbw:bubdp1:4188,http://hdl.handle.net/10419/19580,https://www.econstor.eu/bitstream/10419/19580/1/200223dkp.pdf,dataset-869,2835
Cyclicality of SME lending and government involvement in banks,,978-3-95729-206-3,,http://hdl.handle.net/10419/123697,https://www.econstor.eu/bitstream/10419/123697/1/841217971.pdf,"dataset-013, dataset-010",2836
Does lowering dividend tax rates increase dividends repatriated?: evidence of intra-firm cross-border dividend repatriation policies by German Multinational Enterprises,,978-3-86558-537-0,,http://hdl.handle.net/10419/27745,https://www.econstor.eu/bitstream/10419/27745/1/607702656.PDF,"dataset-015, dataset-008",2839
Determinants for using visible reserves in German banks: an empirical study,,978-3-86558-563-9,,http://hdl.handle.net/10419/28393,https://www.econstor.eu/bitstream/10419/28393/1/610028421.PDF,dataset-006,2842
Earnings baths by bank CEOs during turnovers,,978-3-95729-015-1,,http://hdl.handle.net/10419/93086,https://www.econstor.eu/bitstream/10419/93086/1/779710983.pdf,dataset-006,2844
A Vectorautoregressive Investment Model (VIM) and Monetary Policy Transmission: Panel Evidence from German Firms,,,RePEc:zbw:bubdp1:4201,http://hdl.handle.net/10419/19592,https://www.econstor.eu/bitstream/10419/19592/1/200306dkp.pdf,dataset-869,2846
