title,publisher,doi,url,pdf,dataset,rcc_dsets,rcc_pub_id,pub_not_inc_in_rccout,
Industries and the bank lending effects of bank credit demand and monetary policy in Germany,"METEOR, Maastricht University School of Business and Economics",,https://ideas.repec.org/p/zbw/bubdp1/5197.html,https://www.econstor.eu/bitstream/10419/19677/1/200648dkp.pdf,dataset-013,306,2823,,
The role of interbank relationships and liquidity needs,Journal of Banking and Finance,10.2139/ssrn.2023843,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2023843,https://www.clevelandfed.org/~/media/content/newsroom%20and%20events/publications/working%20papers/2014/wp%201421%20the%20role%20of%20relationships%20and%20liquidity%20needs%20pdf.pdf,"dataset-013, dataset-005","306, 320",2871,,
The price of liquidity: bank characteristics and market conditions,Center for Economic Studies and Ifo Institute,,http://hdl.handle.net/10419/26621,https://www.econstor.eu/bitstream/10419/26621/1/595167675.PDF,dataset-013,306,2880,,
Slippery slopes of stress: ordered failure events in German banking,Journal of Financial Stability,10.1016/j.jfs.2007.04.003,http://hdl.handle.net/10419/19762,https://www.econstor.eu/bitstream/10419/19762/1/200703dkp_b_.pdf,"dataset-013, dataset-010","306, 1283",2909,,
Bank risk taking and competition: Evidence from regional banking markets,Review of Finance,10.1093/rof/rfu019,http://hdl.handle.net/10419/82625,https://www.econstor.eu/bitstream/10419/82625/1/768057302.pdf,dataset-013,306,2911,,
Accounting for distress in bank mergers,Journal of Banking & Finance,10.1016/j.jbankfin.2006.12.009,http://hdl.handle.net/10419/19742,https://www.econstor.eu/bitstream/10419/19742/1/200509dkp_b.pdf,"dataset-013, dataset-010","306, 1283",2913,,
Evaluating the German bank merger wave,Utrecht School of Economics,10.2139/ssrn.726408,http://hdl.handle.net/10419/19745,https://www.econstor.eu/bitstream/10419/19745/1/200512dkp_b.pdf,"dataset-013, dataset-010","306, 1283",2914,,
Export-Supporting FDI,European University Institute,10.1111/caje.12061,http://hdl.handle.net/1814/7164,https://www.econstor.eu/bitstream/10419/27746/1/607703962.PDF,dataset-013,306,2922,,
"Banks' exposure to interest rate risk, their earnings from term transformation, and the dynamics of the term structure",Journal of Banking & Finance,10.1016/j.jbankfin.2010.08.003,http://hdl.handle.net/10419/40693,ttps://www.econstor.eu/bitstream/10419/40693/1/635916479.pdf,"dataset-006, dataset-013","305, 306",2926,,
Which interest rate scenario is the worst one for a bank? Evidence from a tracking bank approach for German savings and cooperative banks,International Journal of Banking Accounting and Finance,10.1504/IJBAAF.2008.020243,http://hdl.handle.net/10419/19784,https://www.econstor.eu/bitstream/10419/19784/1/200807dkp_b_.pdf,dataset-013,306,2927,,
Banks' Interest Rate Risk and Search for Yield: A Theoretical Rationale and Some Empirical Evidence,German Economic Review,10.1111/geer.12131,http://hdl.handle.net/10419/142700,https://www.econstor.eu/bitstream/10419/142700/1/862557410.pdf,"dataset-006, dataset-013, dataset-010","305, 306, 1283",2931,,
"Do exposures to sagging real estate, subprime or conduits abroad lead to contraction and flight to quality in bank lending at home?",Review of Finance,10.1093/rof/rfy011,http://hdl.handle.net/10419/110959,https://www.econstor.eu/bitstream/10419/110959/1/827483279.pdf,"dataset-006, dataset-013, dataset-005","305, 306, 320",2938,,"*306 search complete; 1282 search has one result, BBK so not included here"
Investment dispersion and the business cycle,National Bureau of Economic Research,10.3386/w16861,https://www.nber.org/papers/w16861,https://www.nber.org/papers/w16861.pdf,dataset-869,1286,2826,,*1282 search complete
Margins of multinational labor substitution,American Economic Review,10.1257/aer.100.5.1999,http://www.escholarship.org/uc/item/6b2236xm,https://escholarship.org/content/qt6b2236xm/qt6b2236xm.pdf?t=li5b08,"dataset-869, dataset-008","1286, 339",2834,,
he within-distribution business cycle dynamics of German firms,Applied Economics,10.1080/00036840802360120,https://www.tandfonline.com/doi/abs/10.1080/00036840802360120,https://www.econstor.eu/bitstream/10419/19658/1/200629dkp.pdf,dataset-869,1286,2874,,
Extra Credit: Bank Finance and Firm Export Status in Germany,The World Economy,10.1111/twec.12133,http://hdl.handle.net/10419/107657,https://www.econstor.eu/bitstream/10419/107657/1/776411764.pdf,"dataset-869, dataset-005","320, 1286",2888,,
Going multinational: What are the effects on home market performance?,German Economic Review,10.1111/j.1468-0475.2009.00472.x,http://hdl.handle.net/10419/19631,https://www.econstor.eu/bitstream/10419/19631/1/200603dkp.pdf,"dataset-869, dataset-008","1286, 339",2903,,
Creditor concentration: an empirical investigation,European Economic Review,10.1016/j.euroecorev.2012.02.001,http://hdl.handle.net/10419/19774,https://www.econstor.eu/bitstream/10419/19774/1/200715dkp_b_.pdf,"dataset-006, dataset-005, dataset-869","305, 320, 1286",2939,,*1286 search complete
Transfer pricing as tax avoidance under different legislative schemes,Verein für Socialpolitik,0.2139/ssrn.3164103,http://hdl.handle.net/10419/145929,https://www.econstor.eu/bitstream/10419/145929/1/VfS_2016_pid_7072.pdf,"dataset-008, dataset-015","311, 339",2902,,*311 search complete
FDI and Domestic Investment: An Industry-Level View,Sonderforschungsbereich/Transregio 15 Governance and the Efficiency of Economic Systems,10.5282/ubm/epub.13340,http://hdl.handle.net/10419/94017,https://www.econstor.eu/bitstream/10419/94017/1/sfb-tr15-dp212.pdf,dataset-008,339,2821,,
,,,,,dataset-008,339,2863,**,
Intercompany Loans and Profit Shifting 2013 Evidence from Company-Level Data,Center for Economic Studies and Ifo Institute,,http://hdl.handle.net/10419/26004,https://www.econstor.eu/bitstream/10419/26004/1/538093242.PDF,dataset-008,339,2864,,
The impact of thin-capitalization rules on multinationals' financing and investment decisions,Center for Economic Studies and Ifo Institute,,http://hdl.handle.net/10419/19715,https://www.econstor.eu/bitstream/10419/19715/1/200803dkp.pdf,dataset-008,339,2868,,
