category,api,doi,title,url,search_term,dataset,part,pdf,Validation,If appears as a reference,Reference,Punctuation Error
unique hits,dimensions,10.2134/cs2017.50.0507,4R framework implementation: precision ag adoption by farmers and dealers,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=4R%20framework%20implementation%3A%20precision%20ag%20adoption%20by%20farmers%20and%20dealers,USDA Agricultural Resource Management Survey,dataset-870,part_1,https://acsess.onlinelibrary.wiley.com/doi/epdf/10.2134/cs2017.50.0507,No,,,
unique hits,openaire,10.22004/ag.econ.184680,A Comparison of Data Collected through Farm Management Associations and the Agricultural Resource Management Survey,http://dx.doi.org/10.22004/ag.econ.184680,USDA Agricultural Resource Management Survey,dataset-870,part_1,,Yes,No,No,
unique hits,dimensions,10.1111/j.1467-9353.2008.00399.x,A Note from the Editors,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=A%20Note%20from%20the%20Editors,USDA Agricultural Resource Management Survey,dataset-870,part_1,,No,No,,
overlap between APIs,openaire,10.22004/ag.econ.31267,A Note on the Reliability Tests of Estimates from ARMS Data,http://dx.doi.org/10.22004/ag.econ.31267,USDA Agricultural Resource Management Survey,dataset-870,part_1,,Yes,No,No,
overlap between APIs,openaire,10.3390/su10062048,A Predictive Analytics Understanding of Cooperative Membership Heterogeneity and Sustainability,http://dx.doi.org/10.3390/su10062048,USDA Agricultural Resource Management Survey,dataset-870,part_1,,Yes,No,No,
unique hits,dimensions,10.1017/aae.2019.20,Adoption of Cover Crops by U.S. Soybean Producers,https://doi.org/10.1017/aae.2019.20,USDA Agricultural Resource Management Survey,"dataset-870, dataset-885, dataset-681",part_1,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/C21F7AD1428DA9BDE15410267DECEB7E/S1074070819000208a.pdf/adoption_of_cover_crops_by_us_soybean_producers.pdf,Yes,No,No,
unique hits,openaire,10.22004/ag.econ.266576,Adoption of Cover Crops in Soybean Production,http://dx.doi.org/10.22004/ag.econ.266576,USDA Agricultural Resource Management Survey,dataset-870,part_1,,Yes,No,No,
unique hits,dimensions,10.15232/pas.2018-01711,Adoption of management practices and breed types by US grass-fed beef producers,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Adoption%20of%20management%20practices%20and%20breed%20types%20by%20US%20grass-fed%20beef%20producers%201%201%20The%20findings%20and%20conclusions%20in%20this%20preliminary%20publication%20have%20not%20been%20formally%20disseminated%20by%20the%20USDA%20and%20should%20not%20be%20construed%20to%20represent%20any%20agency%20determination%20or%20policy.,USDA Agricultural Resource Management Survey,dataset-870,part_1,,No,No,No,
overlap between APIs,pubmed,10.2134/jeq2014.02.0089,Adoption of nitrogen-efficient technologies by u.s. Corn farmers.,https://www.ncbi.nlm.nih.gov/pubmed/26023958,USDA Agricultural Resource Management Survey,dataset-870,part_1,https://acsess.onlinelibrary.wiley.com/doi/epdf/10.2134/jeq2014.02.0089,Yes,No,No,
unique hits,dimensions,10.1017/s1074070800000274,"Adoption of Technology, Management Practices, and Production Systems by U.S. Beef Cow-Calf Producers",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Adoption%20of%20Technology%2C%20Management%20Practices%2C%20and%20Production%20Systems%20by%20U.S.%20Beef%20Cow-Calf%20Producers,USDA Agricultural Resource Management Survey,dataset-870,part_1,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/CF89691FE6FBE5C289B83C155FE42C0F/S1074070800000274a.pdf/adoption_of_technology_management_practices_and_production_systems_by_us_beef_cowcalf_producers.pdf,Yes,No,No,
unique hits,pubmed,10.1093/database/bay088,AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture.,https://www.ncbi.nlm.nih.gov/pubmed/30239679,USDA Agricultural Resource Management Survey,dataset-870,part_1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6146126/pdf/bay088.pdf,No,No,No,
unique hits,pubmed,10.1080/1059924X.2011.554766,AgrAbility mental/behavioral health for farm/ranch families with disabilities.,https://www.ncbi.nlm.nih.gov/pubmed/21462021,USDA Agricultural Resource Management Survey,dataset-870,part_1,https://www.tandfonline.com/doi/pdf/10.1080/1059924X.2011.554766?needAccess=true,No,No,No,
unique hits,pubmed,,An approach for estimating soil carbon using the National Nutrient Loss Database.,https://www.ncbi.nlm.nih.gov/pubmed/15453403,USDA Agricultural Resource Management Survey,dataset-881,part_1,https://link.springer.com/content/pdf/10.1007/s00267-003-9107-4.pdf,No,No,No,
unique hits,pubmed,10.1111/evj.12786,An estimation of US horse-owner/caregiver willingness-to-pay for daily use and infectious upper respiratory disease treatment options.,https://www.ncbi.nlm.nih.gov/pubmed/29171908,USDA Agricultural Resource Management Survey,dataset-870,part_1,,No,No,No,
unique hits,dimensions,10.1016/j.ecolecon.2018.06.013,Anaerobic Digester Production and Cost Functions,https://doi.org/10.1016/j.ecolecon.2018.06.013,USDA Agricultural Resource Management Survey,"dataset-870, dataset-886",part_1,https://reader.elsevier.com/reader/sd/pii/S0921800918305500?token=0C32846ABBBFFEFAFDD47862B1962C05DCCD6BE57456ABD099DC54F5218388283A47F9E3C6FF97AE20630893FD0CDFFD,Yes,No,No,
unique hits,openaire,10.22004/ag.econ.235908,ARMS Respondent Errors: A Case of Farm Service Agency Loans,http://dx.doi.org/10.22004/ag.econ.235908,USDA Agricultural Resource Management Survey,"dataset-870, dataset-898",part_1,,Yes,No,No,
unique hits,pubmed,10.1007/s10995-018-2587-x,Breastfeeding Discontinuation Not Associated with Maternal Pregravid BMI But Associated with Native Hawaiian or Other Pacific Islander Race in Hawaii and Puerto Rico WIC Participants.,https://www.ncbi.nlm.nih.gov/pubmed/30006729,USDA Agricultural Resource Management Survey,dataset-870,part_1,https://link.springer.com/content/pdf/10.1007/s10995-018-2587-x.pdf,No,No,No,
unique hits,openaire,10.22004/ag.econ.126750,Carbon Dioxide Offsets from Anaerobic Digestion of Dairy Waste,http://dx.doi.org/10.22004/ag.econ.126750,USDA Agricultural Resource Management Survey,dataset-870,part_1,,Yes,No,No,
unique hits,pubmed,10.1016/j.scitotenv.2019.01.038,Changes in lateral floodplain connectivity accompanying stream channel evolution: Implications for sediment and nutrient budgets.,https://www.ncbi.nlm.nih.gov/pubmed/30743899,USDA Agricultural Resource Management Survey,dataset-870,part_1,,No,No,No,
unique hits,dimensions,10.1016/j.idairyj.2012.04.001,Collecting complex comprehensive farm level data through a collaborative approach: A framework developed for a life cycle assessment of fluid milk production in the US,https://doi.org/10.1016/j.idairyj.2012.04.001,USDA Agricultural Resource Management Survey,dataset-870,part_1,,No,No,No,
unique hits,dimensions,10.3390/su11102950,Community-Supported Agriculture Marketing Performance: Results from Pilot Market Channel Assessments in Colorado,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Community-Supported%20Agriculture%20Marketing%20Performance%3A%20Results%20from%20Pilot%20Market%20Channel%20Assessments%20in%20Colorado,USDA Agricultural Resource Management Survey,dataset-870,part_1,,No,No,No,
overlap between APIs,openaire,10.22004/ag.econ.189866,Computerized Technology Adoption Among Farms in the U.S. Dairy Industry,http://dx.doi.org/10.22004/ag.econ.189866,USDA Agricultural Resource Management Survey,dataset-870,part_1,,Yes,No,No,
unique hits,pubmed,10.1371/journal.pone.0096817,Consequences of a government-controlled agricultural price increase on fishing and the coral reef ecosystem in the republic of kiribati.,https://www.ncbi.nlm.nih.gov/pubmed/24820734,USDA Agricultural Resource Management Survey,dataset-870,part_1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4018407/pdf/pone.0096817.pdf,No,No,No,
unique hits,dimensions,10.2139/ssrn.754986,"Contracts, Markets, and Prices: Organizing the Production and Use of Agricultural Commodities",https://doi.org/10.2139/ssrn.754986,USDA Agricultural Resource Management Survey,dataset-870,part_1,,No,No,No,
unique hits,dimensions,10.2134/ael2016.10.0043,Corn Residue Use by Livestock in the United States,https://doi.org/10.2134/ael2016.10.0043,USDA Agricultural Resource Management Survey,dataset-870,part_1,,Yes,No,No,
unique hits,pubmed,10.1093/jee/toz013,Cow-Calf Producers' Willingness to Pay for Bulls Resistant to Horn Flies (Diptera: Muscidae).,https://www.ncbi.nlm.nih.gov/pubmed/30768165,USDA Agricultural Resource Management Survey,dataset-870,part_1,,No,No,No,
unique hits,pubmed,10.1016/j.prevetmed.2017.04.014,Dairy cow disability weights.,https://www.ncbi.nlm.nih.gov/pubmed/28622786,USDA Agricultural Resource Management Survey,dataset-870,part_1,,No,No,No,
unique hits,pubmed,10.3168/jds.2019-16859,Dairy producer perceptions of the Farmers Assuring Responsible Management (FARM) Animal Care Program.,https://www.ncbi.nlm.nih.gov/pubmed/31563309,USDA Agricultural Resource Management Survey,dataset-870,part_1,,No,No,No,
