category,api,doi,title,url,search_term,dataset,part,pdf
unique hits,openaire,10.22004/ag.econ.184680,A Comparison of Data Collected through Farm Management Associations and the Agricultural Resource Management Survey,http://dx.doi.org/10.22004/ag.econ.184680,USDA Agricultural Resource Management Survey,dataset-870,part_1,
overlap between APIs,openaire,10.22004/ag.econ.31267,A Note on the Reliability Tests of Estimates from ARMS Data,http://dx.doi.org/10.22004/ag.econ.31267,USDA Agricultural Resource Management Survey,dataset-870,part_1,
overlap between APIs,openaire,10.3390/su10062048,A Predictive Analytics Understanding of Cooperative Membership Heterogeneity and Sustainability,http://dx.doi.org/10.3390/su10062048,USDA Agricultural Resource Management Survey,dataset-870,part_1,
unique hits,dimensions,10.1017/aae.2019.20,Adoption of Cover Crops by U.S. Soybean Producers,https://doi.org/10.1017/aae.2019.20,USDA Agricultural Resource Management Survey,"dataset-870, dataset-885, dataset-681",part_1,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/C21F7AD1428DA9BDE15410267DECEB7E/S1074070819000208a.pdf/adoption_of_cover_crops_by_us_soybean_producers.pdf
unique hits,openaire,10.22004/ag.econ.266576,Adoption of Cover Crops in Soybean Production,http://dx.doi.org/10.22004/ag.econ.266576,USDA Agricultural Resource Management Survey,dataset-870,part_1,
overlap between APIs,pubmed,10.2134/jeq2014.02.0089,Adoption of nitrogen-efficient technologies by u.s. Corn farmers.,https://www.ncbi.nlm.nih.gov/pubmed/26023958,USDA Agricultural Resource Management Survey,dataset-870,part_1,https://acsess.onlinelibrary.wiley.com/doi/epdf/10.2134/jeq2014.02.0089
unique hits,dimensions,10.1017/s1074070800000274,"Adoption of Technology, Management Practices, and Production Systems by U.S. Beef Cow-Calf Producers",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Adoption%20of%20Technology%2C%20Management%20Practices%2C%20and%20Production%20Systems%20by%20U.S.%20Beef%20Cow-Calf%20Producers,USDA Agricultural Resource Management Survey,dataset-870,part_1,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/CF89691FE6FBE5C289B83C155FE42C0F/S1074070800000274a.pdf/adoption_of_technology_management_practices_and_production_systems_by_us_beef_cowcalf_producers.pdf
unique hits,dimensions,10.1016/j.ecolecon.2018.06.013,Anaerobic Digester Production and Cost Functions,https://doi.org/10.1016/j.ecolecon.2018.06.013,USDA Agricultural Resource Management Survey,"dataset-870, dataset-886",part_1,https://reader.elsevier.com/reader/sd/pii/S0921800918305500?token=0C32846ABBBFFEFAFDD47862B1962C05DCCD6BE57456ABD099DC54F5218388283A47F9E3C6FF97AE20630893FD0CDFFD
unique hits,openaire,10.22004/ag.econ.235908,ARMS Respondent Errors: A Case of Farm Service Agency Loans,http://dx.doi.org/10.22004/ag.econ.235908,USDA Agricultural Resource Management Survey,"dataset-870, dataset-898",part_1,
unique hits,openaire,10.22004/ag.econ.126750,Carbon Dioxide Offsets from Anaerobic Digestion of Dairy Waste,http://dx.doi.org/10.22004/ag.econ.126750,USDA Agricultural Resource Management Survey,dataset-870,part_1,
overlap between APIs,openaire,10.22004/ag.econ.189866,Computerized Technology Adoption Among Farms in the U.S. Dairy Industry,http://dx.doi.org/10.22004/ag.econ.189866,USDA Agricultural Resource Management Survey,dataset-870,part_1,
unique hits,dimensions,10.2134/ael2016.10.0043,Corn Residue Use by Livestock in the United States,https://doi.org/10.2134/ael2016.10.0043,USDA Agricultural Resource Management Survey,dataset-870,part_1,
unique hits,dimensions,10.1017/s1074070800028029,Decomposition of Total Factor Productivity Change in the U.S. Hog Industry,https://doi.org/10.1017/s1074070800028029,USDA Agricultural Resource Management Survey,dataset-870,part_1,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/C6DC2CD4924936360D73106D76FA008C/S1074070800028029a.pdf/decomposition_of_total_factor_productivity_change_in_the_us_hog_industry.pdf
unique hits,dimensions,10.1111/j.1477-9552.2008.00166.x,Did the Federal Crop Insurance Reform Act Alter Farm Enterprise Diversification?,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Did%20the%20Federal%20Crop%20Insurance%20Reform%20Act%20Alter%20Farm%20Enterprise%20Diversification%3F,USDA Agricultural Resource Management Survey,dataset-870,part_1,
