category,api,doi,title,pdf,url,search_term,dataset,part
unique hits,dimensions,10.1007/s00267-015-0589-7,"Genetically Modified Herbicide-Tolerant Crops, Weeds, and Herbicides: Overview and Impact",,https://link.springer.com/article/10.1007%2Fs00267-015-0589-7,USDA Agricultural Resource Management Survey,dataset-870,part_3
overlap between APIs,openaire,10.3390/su11226512,Impact of Ethanol Plant Location on Corn Revenues for U.S. Farmers,,https://www.mdpi.com/2071-1050/11/22/6512/htm,USDA Agricultural Resource Management Survey,dataset-870,part_3
overlap between APIs,openaire,10.22004/ag.econ.6296,Impact of Program Payments on Time Allocation and Farm Household Income,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/35C78A708F60847DAB069F52E1F4B667/S1074070800023221a.pdf/impact_of_program_payments_on_time_allocation_and_farm_household_income.pdf,http://dx.doi.org/10.22004/ag.econ.6296,USDA Agricultural Resource Management Survey,dataset-870,part_3
unique hits,dimensions,10.1111/gcbb.12500,Land management change greatly impacts biofuels' greenhouse gas emissions,,https://onlinelibrary.wiley.com/doi/full/10.1111/gcbb.12500,USDA Agricultural Resource Management Survey,dataset-870,part_3
unique hits,dimensions,10.1016/j.biombioe.2010.08.047,"Land use change in a biofuels hotspot: The case of Iowa, USA",,https://www.sciencedirect.com/science/article/pii/S0961953410003041,USDA Agricultural Resource Management Survey,"dataset-870, dataset-694, dataset-877, dataset-878",part_3
overlap between APIs,openaire,10.22004/ag.econ.190761,Measuring the Financial Health of U.S. Production Agriculture,https://ageconsearch.umn.edu/record/190761/files/376_Wilson.pdf,http://dx.doi.org/10.22004/ag.econ.190761,USDA Agricultural Resource Management Survey,dataset-870,part_3
unique hits,openaire,10.22004/ag.econ.153394,"Milk Cost of Production Estimates for April, May, and June 2012",https://ageconsearch.umn.edu/record/153394/files/or7.pdf,http://dx.doi.org/10.22004/ag.econ.153394,USDA Agricultural Resource Management Survey,dataset-870,part_3
unique hits,openaire,10.22004/ag.econ.153392,"Milk Cost of Production Estimates for January, February, and March 2012",https://ageconsearch.umn.edu/record/153392/files/or6.pdf,http://dx.doi.org/10.22004/ag.econ.153392,USDA Agricultural Resource Management Survey,dataset-870,part_3
unique hits,openaire,10.22004/ag.econ.154270,"Milk Cost of Production Estimates for October, November, and December 2012",https://ageconsearch.umn.edu/record/154270/files/or13.pdf,http://dx.doi.org/10.22004/ag.econ.154270,USDA Agricultural Resource Management Survey,dataset-870,part_3
unique hits,openaire,10.2478/jos-2014-0044,Modeling Nonresponse in Establishment Surveys: Using an Ensemble Tree Model to Create Nonresponse Propensity Scores and Detect Potential Bias in an Agricultural Survey,https://content.sciendo.com/downloadpdf/journals/jos/30/4/article-p701.xml,http://www.degruyter.com/view/j/jos.2014.30.issue-4/jos-2014-0044/jos-2014-0044.xml?format=INT,USDA Agricultural Resource Management Survey,dataset-870,part_3
unique hits,dimensions,10.2134/jeq2015.02.0078,"More Food, Low Pollution (Mo Fo Lo Po): A Grand Challenge for the 21st Century",,https://acsess.onlinelibrary.wiley.com/doi/full/10.2134/jeq2015.02.0078,USDA Agricultural Resource Management Survey,"dataset-870, dataset-879",part_3
unique hits,openaire,10.22004/ag.econ.169401,Multivariate Farm Debt Imputation in the Agricultural Resource Management Survey (ARMS),https://ageconsearch.umn.edu/record/169401/files/Multivariate%20Farm%20Debt%20Imputation%20Morehart%202014%20AAEA%20Poster.pdf,http://dx.doi.org/10.22004/ag.econ.169401,USDA Agricultural Resource Management Survey,dataset-870,part_3
unique hits,dimensions,10.1111/j.1467-8276.2008.01180.x,Nonpecuniary Benefits to Farming: Implications for Supply Response to Decoupled Payments,,https://academic.oup.com/ajae/article/91/1/1/74133,USDA Agricultural Resource Management Survey,dataset-870,part_3
unique hits,dimensions,10.1007/s13412-016-0364-y,Nutrients in the nexus,,https://link.springer.com/article/10.1007/s13412-016-0364-y,USDA Agricultural Resource Management Survey,dataset-870,part_3
