category,api,doi,title,url,search_term,dataset,part
unique hits,openaire,10.22004/ag.econ.164516,The Effects of Direct Payments on Liquidity and Repayment Capacity of Beginning Farmers,http://dx.doi.org/10.22004/ag.econ.164516,USDA Agricultural Resource Management Survey,dataset-870,part_5
unique hits,dimensions,10.1017/age.2017.34,The Financial Performance Implications of Differential Marketing Strategies: Exploring Farms that Pursue Local Markets as a Core Competitive Advantage,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20Financial%20Performance%20Implications%20of%20Differential%20Marketing%20Strategies%3A%20Exploring%20Farms%20that%20Pursue%20Local%20Markets%20as%20a%20Core%20Competitive%20Advantage,USDA Agricultural Resource Management Survey,dataset-870,part_5
unique hits,openaire,10.22004/ag.econ.124801,The Impacts of Climate Change on Agricultural Farm Profits in the U.S.,http://dx.doi.org/10.22004/ag.econ.124801,USDA Agricultural Resource Management Survey,dataset-870,part_5
unique hits,dimensions,10.1093/aepp/ppy006,The Income Volatility of U.S. Commercial Farm Households,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20Income%20Volatility%20of%20U.S.%20Commercial%20Farm%20Households,USDA Agricultural Resource Management Survey,dataset-870,part_5
unique hits,dimensions,10.2139/ssrn.1547107,The Post-Buyout Experience: Peanut and Tobacco Sectors Adapt to Policy Reform,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20Post-Buyout%20Experience%3A%20Peanut%20and%20Tobacco%20Sectors%20Adapt%20to%20Policy%20Reform,USDA Agricultural Resource Management Survey,dataset-870,part_5
unique hits,dimensions,10.1111/1467-9353.00046,The Relationship between Contracting and Livestock Waste Pollution,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20Relationship%20between%20Contracting%20and%20Livestock%20Waste%20Pollution,USDA Agricultural Resource Management Survey,dataset-870,part_5
unique hits,dimensions,10.1016/j.landusepol.2016.06.024,The role of wildlife-associated recreation in private land use and conservation: Providing the missing baseline,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20role%20of%20wildlife-associated%20recreation%20in%20private%20land%20use%20and%20conservation%3A%20Providing%20the%20missing%20baseline,USDA Agricultural Resource Management Survey,dataset-870,part_5
unique hits,pubmed,10.1094/PDIS.2002.86.3.259,The Use of Hierarchical Sampling in the Surveillance Program for Plum pox virus Incidence in the United States.,https://www.ncbi.nlm.nih.gov/pubmed/30818604,USDA Agricultural Resource Management Survey,dataset-870,part_5
unique hits,pubmed,10.1111/gcb.14904,TRY plant trait database - enhanced coverage and open access.,https://www.ncbi.nlm.nih.gov/pubmed/31891233,USDA Agricultural Resource Management Survey,dataset-870,part_5
unique hits,pubmed,10.1016/j.envres.2019.02.035,U.S. farmers' opinions on the use of nontraditional water sources for agricultural activities.,https://www.ncbi.nlm.nih.gov/pubmed/30825685,USDA Agricultural Resource Management Survey,dataset-870,part_5
unique hits,dimensions,10.1111/j.1467-8276.2006.00907.x,Urban Influence on Costs of Production in the Corn Belt,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Urban%20Influence%20on%20Costs%20of%20Production%20in%20the%20Corn%20Belt,USDA Agricultural Resource Management Survey,dataset-870,part_5
unique hits,dimensions,10.1108/afr-06-2014-0015,US agricultural support programs and ethanol policies effects on farmland values and rental rates,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=US%20agricultural%20support%20programs%20and%20ethanol%20policies%20effects%20on%20farmland%20values%20and%20rental%20rates,USDA Agricultural Resource Management Survey,dataset-870,part_5
unique hits,pubmed,10.1186/1476-072X-9-46,Using Landsat satellite data to support pesticide exposure assessment in California.,https://www.ncbi.nlm.nih.gov/pubmed/20846438,USDA Agricultural Resource Management Survey,dataset-870,part_5
unique hits,pubmed,10.1021/acs.est.8b03504,What Goes Up Must Come Down: Integrating Air and Water Quality Monitoring for Nutrients.,https://www.ncbi.nlm.nih.gov/pubmed/30230820,USDA Agricultural Resource Management Survey,dataset-870,part_5
unique hits,openaire,10.22004/ag.econ.19382,Widespread Adoption of Organic Agriculture in the US: Are Market-Driven Policies Enough?,http://dx.doi.org/10.22004/ag.econ.19382,USDA Agricultural Resource Management Survey,dataset-870,part_5
unique hits,pubmed,10.1080/1059924X.2016.1179612,Work-Related Musculoskeletal Symptoms and Job Factors Among Large-Herd Dairy Milkers.,https://www.ncbi.nlm.nih.gov/pubmed/27092590,USDA Agricultural Resource Management Survey,dataset-870,part_5
unique hits,dimensions,10.1038/s41598-019-42271-1,Yield stability analysis reveals sources of large-scale nitrogen loss from the US Midwest,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Yield%20stability%20analysis%20reveals%20sources%20of%20large-scale%20nitrogen%20loss%20from%20the%20US%20Midwest,USDA Agricultural Resource Management Survey,dataset-870,part_5
