category,api,doi,title,url,search_term
overlap between APIs,openaire,,Customized Agricultural Resource Management Survey Data on ERS Website,http://purl.umn.edu/129579,ERS Agricultural Resource Management Survey
overlap between APIs,openaire,10.22004/ag.econ.129579,Customized Agricultural Resource Management Survey Data on ERS Website,http://dx.doi.org/10.22004/ag.econ.129579,ERS Agricultural Resource Management Survey
overlap between APIs,openaire,10.22004/ag.econ.6296,Impact of Program Payments on Time Allocation and Farm Household Income,http://dx.doi.org/10.22004/ag.econ.6296,ERS Agricultural Resource Management Survey
overlap between APIs,openaire,,Impact of Program Payments on Time Allocation and Farm Household Income,http://purl.umn.edu/6296,ERS Agricultural Resource Management Survey
overlap between APIs,openaire,10.22004/ag.econ.122157,Measures of Farm Household Well-Being Tell Different Stories,http://dx.doi.org/10.22004/ag.econ.122157,ERS Agricultural Resource Management Survey
overlap between APIs,openaire,,Measures of Farm Household Well-Being Tell Different Stories,http://purl.umn.edu/122157,ERS Agricultural Resource Management Survey
unique hits,openaire,10.22004/ag.econ.96636,"""No-Till"" Farming Is a Growing Practice",http://dx.doi.org/10.22004/ag.econ.96636,ERS Agricultural Resource Management Survey
unique hits,openaire,10.3390/su10062048,A Predictive Analytics Understanding of Cooperative Membership Heterogeneity and Sustainability,http://dx.doi.org/10.3390/su10062048,ERS Agricultural Resource Management Survey
unique hits,dimensions,10.1016/j.agsy.2019.05.005,Assessing nitrous oxide and nitrate leaching mitigation potential in US corn crop systems using the DNDC model,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Assessing%20nitrous%20oxide%20and%20nitrate%20leaching%20mitigation%20potential%20in%20US%20corn%20crop%20systems%20using%20the%20DNDC%20model,ERS Agricultural Resource Management Survey
unique hits,openaire,10.22004/ag.econ.126750,Carbon Dioxide Offsets from Anaerobic Digestion of Dairy Waste,http://dx.doi.org/10.22004/ag.econ.126750,ERS Agricultural Resource Management Survey
unique hits,openaire,10.22004/ag.econ.186730,"Characteristics and Production Costs of U.S. Corn Farms, Including Organic, 2010",http://dx.doi.org/10.22004/ag.econ.186730,ERS Agricultural Resource Management Survey
unique hits,openaire,10.22004/ag.econ.142358,"Characteristics and Production Costs of U.S. Cotton Farms, 2007",http://dx.doi.org/10.22004/ag.econ.142358,ERS Agricultural Resource Management Survey
unique hits,openaire,10.22004/ag.econ.133078,Estimating the After-Tax Income of Farm Households,http://dx.doi.org/10.22004/ag.econ.133078,ERS Agricultural Resource Management Survey
unique hits,dimensions,10.1016/j.envsoft.2010.05.009,Estimating the uncertainty of modeled carbon sequestration: The GreenCert™ system,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Estimating%20the%20uncertainty%20of%20modeled%20carbon%20sequestration%3A%20The%20GreenCert%E2%84%A2%20system,ERS Agricultural Resource Management Survey
unique hits,openaire,10.22004/ag.econ.256710,Farm Household Income Volatility: An Analysis Using Panel Data From a National Survey,http://dx.doi.org/10.22004/ag.econ.256710,ERS Agricultural Resource Management Survey
unique hits,openaire,10.22004/ag.econ.58299,Farm Household Well-Being: Comparing Consumption- and Income-Based Measures,http://dx.doi.org/10.22004/ag.econ.58299,ERS Agricultural Resource Management Survey
unique hits,dimensions,10.5304/jafscd.2019.091.044,From Anecdote to Formal Evaluation: Reflections from More Than Two Decades on the Local Food Research Trail at USDA,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=From%20Anecdote%20to%20Formal%20Evaluation%3A%20Reflections%20from%20More%20Than%20Two%20Decades%20on%20the%20Local%20Food%20Research%20Trail%20at%20USDA,ERS Agricultural Resource Management Survey
unique hits,openaire,10.22004/ag.econ.205291,Imputing for Missing Data in the ARMS Household Section: A Multivariate Imputation Approach,http://dx.doi.org/10.22004/ag.econ.205291,ERS Agricultural Resource Management Survey
unique hits,openaire,10.22004/ag.econ.61528,Measuring and Analyzing Farm Financial Stress,http://dx.doi.org/10.22004/ag.econ.61528,ERS Agricultural Resource Management Survey
unique hits,openaire,10.22004/ag.econ.153394,"Milk Cost of Production Estimates for April, May, and June 2012",http://dx.doi.org/10.22004/ag.econ.153394,ERS Agricultural Resource Management Survey
unique hits,openaire,10.22004/ag.econ.153392,"Milk Cost of Production Estimates for January, February, and March 2012",http://dx.doi.org/10.22004/ag.econ.153392,ERS Agricultural Resource Management Survey
unique hits,dimensions,10.2139/ssrn.2428905,Productivity-Enhancing Demand Shocks: Evidence from the U.S. Ethanol Boom,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Productivity-Enhancing%20Demand%20Shocks%3A%20Evidence%20from%20the%20U.S.%20Ethanol%20Boom,ERS Agricultural Resource Management Survey
unique hits,openaire,10.22004/ag.econ.102764,The Diverse Structure and Organization of U.S. Beef Cow-Calf Farms,http://dx.doi.org/10.22004/ag.econ.102764,ERS Agricultural Resource Management Survey
