category,api,doi,title,url,pdf,search_term,dataset
overlap between APIs,openaire,10.22004/ag.econ.6296,Impact of Program Payments on Time Allocation and Farm Household Income,http://dx.doi.org/10.22004/ag.econ.6296,http://ageconsearch.umn.edu/record/6296/files/39030489.pdf,ERS Agricultural Resource Management Survey,dataset-870
overlap between APIs,openaire,10.22004/ag.econ.122157,Measures of Farm Household Well-Being Tell Different Stories,http://dx.doi.org/10.22004/ag.econ.122157,,ERS Agricultural Resource Management Survey,"dataset-870, dataset-024"
unique hits,openaire,10.22004/ag.econ.96636,"""No-Till"" Farming Is a Growing Practice",http://dx.doi.org/10.22004/ag.econ.96636,,ERS Agricultural Resource Management Survey,"dataset-870, dataset-899"
unique hits,openaire,10.3390/su10062048,A Predictive Analytics Understanding of Cooperative Membership Heterogeneity and Sustainability,http://dx.doi.org/10.3390/su10062048,,ERS Agricultural Resource Management Survey,"dataset-870, dataset-900"
unique hits,dimensions,10.1016/j.agsy.2019.05.005,Assessing nitrous oxide and nitrate leaching mitigation potential in US corn crop systems using the DNDC model,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Assessing%20nitrous%20oxide%20and%20nitrate%20leaching%20mitigation%20potential%20in%20US%20corn%20crop%20systems%20using%20the%20DNDC%20model,,ERS Agricultural Resource Management Survey,"dataset-640, dataset-901, dataset-680, dataset-881, dataset-902, dataset-870, dataset-903"
unique hits,openaire,10.22004/ag.econ.126750,Carbon Dioxide Offsets from Anaerobic Digestion of Dairy Waste,http://dx.doi.org/10.22004/ag.econ.126750,,ERS Agricultural Resource Management Survey,"dataset-904, dataset-870"
unique hits,openaire,10.22004/ag.econ.186730,"Characteristics and Production Costs of U.S. Corn Farms, Including Organic, 2010",http://dx.doi.org/10.22004/ag.econ.186730,,ERS Agricultural Resource Management Survey,"dataset-905, dataset-870"
unique hits,openaire,10.22004/ag.econ.142358,"Characteristics and Production Costs of U.S. Cotton Farms, 2007",http://dx.doi.org/10.22004/ag.econ.142358,,ERS Agricultural Resource Management Survey,"dataset-905, dataset-870"
unique hits,dimensions,10.1016/j.envsoft.2010.05.009,Estimating the uncertainty of modeled carbon sequestration: The GreenCert™ system,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Estimating%20the%20uncertainty%20of%20modeled%20carbon%20sequestration%3A%20The%20GreenCert%E2%84%A2%20system,,ERS Agricultural Resource Management Survey,"dataset-881, dataset-901, dataset-694, dataset-902, dataset-894, dataset-903, dataset-870"
unique hits,openaire,10.22004/ag.econ.256710,Farm Household Income Volatility: An Analysis Using Panel Data From a National Survey,http://dx.doi.org/10.22004/ag.econ.256710,,ERS Agricultural Resource Management Survey,dataset-870
unique hits,openaire,10.22004/ag.econ.58299,Farm Household Well-Being: Comparing Consumption- and Income-Based Measures,http://dx.doi.org/10.22004/ag.econ.58299,,ERS Agricultural Resource Management Survey,"dataset-870, dataset-062"
unique hits,openaire,10.22004/ag.econ.205291,Imputing for Missing Data in the ARMS Household Section: A Multivariate Imputation Approach,http://dx.doi.org/10.22004/ag.econ.205291,,ERS Agricultural Resource Management Survey,dataset-870
unique hits,openaire,10.22004/ag.econ.61528,Measuring and Analyzing Farm Financial Stress,http://dx.doi.org/10.22004/ag.econ.61528,,ERS Agricultural Resource Management Survey,dataset-870
unique hits,openaire,10.22004/ag.econ.153394,"Milk Cost of Production Estimates for April, May, and June 2012",http://dx.doi.org/10.22004/ag.econ.153394,,ERS Agricultural Resource Management Survey,dataset-870
unique hits,openaire,10.22004/ag.econ.153392,"Milk Cost of Production Estimates for January, February, and March 2012",http://dx.doi.org/10.22004/ag.econ.153392,,ERS Agricultural Resource Management Survey,dataset-870
unique hits,openaire,10.22004/ag.econ.102764,The Diverse Structure and Organization of U.S. Beef Cow-Calf Farms,http://dx.doi.org/10.22004/ag.econ.102764,,ERS Agricultural Resource Management Survey,"dataset-891, dataset-870, dataset-881"
