api,doi,title,url,search_term,dataset,valid,pdf
dimensions,10.1093/aepp/ppx057,Do Nutrient Management Plans Actually Manage Nutrients? Evidence from a Nationally‐Representative Survey of Hog Producers,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Do%20Nutrient%20Management%20Plans%20Actually%20Manage%20Nutrients%3F%20Evidence%20from%20a%20Nationally%E2%80%90Representative%20Survey%20of%20Hog%20Producers,Agricultural Resource Management Survey,dataset-870,yes,
dimensions,10.1093/ajae/aau019,Do Wealth Gains from Land Appreciation Cause Farmers to Expand Acreage or Buy Land?,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Do%20Wealth%20Gains%20from%20Land%20Appreciation%20Cause%20Farmers%20to%20Expand%20Acreage%20or%20Buy%20Land%3F,Agricultural Resource Management Survey,dataset-870,yes,
dimensions,10.1093/aepp/ppy024,Does Farm Size Matter? Distribution of Crop Insurance Subsidies and Government Program Payments across U.S. Farms,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Does%20Farm%20Size%20Matter%3F%20Distribution%20of%20Crop%20Insurance%20Subsidies%20and%20Government%20Program%20Payments%20across%20U.S.%20Farms,Agricultural Resource Management Survey,dataset-870,yes,
openaire,10.22004/ag.econ.250011,Does Federal Crop Insurance lead to higher farm debt use? Evidence from the Agricultural Resource Management Survey,http://dx.doi.org/10.22004/ag.econ.250011,Agricultural Resource Management Survey,dataset-870,yes,
dimensions,10.1108/afr-06-2014-0017,Does federal crop insurance lead to higher farm debt use? Evidence from the Agricultural Resource Management Survey (ARMS),https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Does%20federal%20crop%20insurance%20lead%20to%20higher%20farm%20debt%20use%3F%20Evidence%20from%20the%20Agricultural%20Resource%20Management%20Survey%20%28ARMS%29,Agricultural Resource Management Survey,dataset-870,yes,
dimensions,10.1108/00021461211277213,Drivers of agricultural profitability in the USA,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Drivers%20of%20agricultural%20profitability%20in%20the%20USA,Agricultural Resource Management Survey,dataset-870,yes,
openaire,10.22004/ag.econ.21440,"Economic Efficiency, Structure and Scale Economies in the U.S. Dairy Sector",http://dx.doi.org/10.22004/ag.econ.21440,Agricultural Resource Management Survey,dataset-870,yes,
dimensions,10.1017/s1742170518000066,Economic impact of organic agriculture hotspots in the United States,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Economic%20impact%20of%20organic%20agriculture%20hotspots%20in%20the%20United%20States,Agricultural Resource Management Survey,"dataset-870,dataset-918,dataset-118",yes,
dimensions,10.4236/me.2016.75071,Economic Inequality among US Farm Households: Assessment of the Role of the 2008-2009 Financial Crisis,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Economic%20Inequality%20among%20US%20Farm%20Households%3A%20Assessment%20of%20the%20Role%20of%20the%202008-2009%20Financial%20Crisis,Agricultural Resource Management Survey,dataset-870,yes,
dimensions,10.1614/ws-d-15-00047.1,Economic Returns to Herbicide Resistance Management in the Short and Long Run: The Role of Neighbor Effects,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Economic%20Returns%20to%20Herbicide%20Resistance%20Management%20in%20the%20Short%20and%20Long%20Run%3A%20The%20Role%20of%20Neighbor%20Effects,Agricultural Resource Management Survey,dataset-870,yes,
dimensions,10.1002/ajae.12074,Effect of Compliance Cost on the Supply of Bank Credit to Agriculture: A Differential Approach,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Effect%20of%20Compliance%20Cost%20on%20the%20Supply%20of%20Bank%20Credit%20to%20Agriculture%3A%20A%20Differential%20Approach,Agricultural Resource Management Survey,dataset-870,yes,
dimensions,10.1186/s13561-014-0019-1,Effect of health insurance coverage on labor allocation: evidence from US farm households,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Effect%20of%20health%20insurance%20coverage%20on%20labor%20allocation%3A%20evidence%20from%20US%20farm%20households,Agricultural Resource Management Survey,dataset-870,yes,
