api,doi,title,url,search_term,dataset,valid,pdf,notes
openaire,10.22004/ag.econ.169062,Examining Labor Substitution: Does Family Matter for U.S. Cash Grain Farmers?,http://dx.doi.org/10.22004/ag.econ.169062,Agricultural Resource Management Survey,dataset-870,yes,,
openaire,10.22004/ag.econ.169062,Examining Labor Substitution: Does Family Matter for U.S. Cash Grain Farmers?,http://purl.umn.edu/169062,Agricultural Resource Management Survey,dataset-870,yes,,
dimensions,10.1017/s107407080000078x,Examining Labor Substitution: Does Family Matter for U.S. Cash Grain Farmers?,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Examining%20Labor%20Substitution%3A%20Does%20Family%20Matter%20for%20U.S.%20Cash%20Grain%20Farmers%3F,Agricultural Resource Management Survey,dataset-870,yes,,
openaire,10.22004/ag.econ.234305,Examining Nonresponse Occurring in the National Agricultural Statistics Service’s 2009 Agricultural Resource Management Survey Phase III,http://dx.doi.org/10.22004/ag.econ.234305,Agricultural Resource Management Survey,dataset-870,yes,,
openaire,10.22004/ag.econ.6367,Exploring Farm Business and Household Expenditure Patterns and Community Linkages,http://dx.doi.org/10.22004/ag.econ.6367,Agricultural Resource Management Survey,dataset-870,yes,,
dimensions,10.2139/ssrn.3087587,Factors Affecting Farm Loan Delinquency in the Southeastern USA,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Factors%20Affecting%20Farm%20Loan%20Delinquency%20in%20the%20Southeastern%20USA,Agricultural Resource Management Survey,dataset-870,yes,,
dimensions,10.1017/s1068280500003348,Factors Affecting Farmer Participation in Agritourism,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Factors%20Affecting%20Farmer%20Participation%20in%20Agritourism,Agricultural Resource Management Survey,dataset-870,yes,,
dimensions,10.1017/s1068280500004305,Factors Affecting Producer Participation in State-sponsored Marketing Programs: The Case of Fruit and Vegetable Growers in Tennessee,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Factors%20Affecting%20Producer%20Participation%20in%20State-sponsored%20Marketing%20Programs%3A%20The%20Case%20of%20Fruit%20and%20Vegetable%20Growers%20in%20Tennessee,Agricultural Resource Management Survey,dataset-870,yes,,
openaire,10.22004/ag.econ.190674,Factors Affecting Succession Decisions in Family Farm Businesses: Evidence from a National Survey,http://dx.doi.org/10.22004/ag.econ.190674,Agricultural Resource Management Survey,dataset-870,yes,,
openaire,10.22004/ag.econ.190674,Factors Affecting Succession Decisions in Family Farm Businesses: Evidence from a National Survey,http://purl.umn.edu/190674,Agricultural Resource Management Survey,dataset-870,yes,,
openaire,10.22004/ag.econ.35983,FACTORS AFFECTING THE LIKELIHOOD OF CORN ROOTWORM BT SEED ADOPTION,http://dx.doi.org/10.22004/ag.econ.35983,Agricultural Resource Management Survey,dataset-870,yes,,
dimensions,10.3168/jds.2012-5522,Factors determining milk quality and implications for production structure under somatic cell count standard modification,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Factors%20determining%20milk%20quality%20and%20implications%20for%20production%20structure%20under%20somatic%20cell%20count%20standard%20modification,Agricultural Resource Management Survey,dataset-870,yes,,
openaire,10.22004/ag.econ.262232,Farm Activities Associated With Rural Development Initiatives,http://dx.doi.org/10.22004/ag.econ.262232,Agricultural Resource Management Survey,dataset-870,yes,,
