api,doi,title,url,search_term,dataset_id,valid,pdf,notes
dimensions,10.3390/su3091302,"Herbicide-tolerant Transgenic Soybean over 15 Years of Cultivation: Pesticide Use, Weed Resistance, and Some Economic Issues. The Case of the USA",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Herbicide-tolerant%20Transgenic%20Soybean%20over%2015%20Years%20of%20Cultivation%3A%20Pesticide%20Use%2C%20Weed%20Resistance%2C%20and%20Some%20Economic%20Issues.%20The%20Case%20of%20the%20USA,Agricultural Resource Management Survey,dataset-870,review ,,Not sure. It mentions ARMS once but it is unclear if they used the data for the analysis 
pubmed,10.1002/ajb2.1293,Herbivore resistance in congeneric and sympatric Nothofagus species is not related to leaf habit.,https://www.ncbi.nlm.nih.gov/pubmed/31131459,Agricultural Resource Management Survey,dataset-870,0,,Not mentioned in abstract. Abstract topic seems unrelated
pubmed,,Hidden health costs of pesticide use in Zimbabwe's smallholder cotton growers.,https://www.ncbi.nlm.nih.gov/pubmed/12948567,Agricultural Resource Management Survey,dataset-870,0,,abstract mentions Zimbabwe data
pubmed,,Hidden peasant women in colonial Awadh: some hypotheses.,https://www.ncbi.nlm.nih.gov/pubmed/12321578,Agricultural Resource Management Survey,dataset-870,0,,abstract mentions India
pubmed,10.3389/fmicb.2019.00176,High Prevalence of Cefotaxime Resistant Bacteria in Grazing Beef Cattle: A Cross Sectional Study.,https://www.ncbi.nlm.nih.gov/pubmed/30792707,Agricultural Resource Management Survey,dataset-870,review ,,"Not mentioned in abstract, but topic is relevant."
pubmed,10.1186/s12864-015-1509-1,High throughput profiling of the cotton bollworm Helicoverpa armigera immunotranscriptome during the fungal and bacterial infections.,https://www.ncbi.nlm.nih.gov/pubmed/26001831,Agricultural Resource Management Survey,dataset-870,0,,Not mentioned in abstract. Abstract topic seems unrelated
dimensions,10.1016/j.envsoft.2018.06.006,High-resolution trade-off analysis and optimization of ecosystem services and disservices in agricultural landscapes,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=High-resolution%20trade-off%20analysis%20and%20optimization%20of%20ecosystem%20services%20and%20disservices%20in%20agricultural%20landscapes,Agricultural Resource Management Survey,dataset-870,review ,,Not sure. It mentions ARMS once but it is unclear if they used the data for the analysis 
pubmed,,Household economic strategies and nutritional anthropometry of women in American Samoa and highland Bolivia.,https://www.ncbi.nlm.nih.gov/pubmed/11989964,Agricultural Resource Management Survey,dataset-870,review ,,"Not mentioned in abstract, but topic is relevant. Abstract mentions Bolivia and American Samoa"
pubmed,,Household economy and population survey on a large agriculture-oriented county.,https://www.ncbi.nlm.nih.gov/pubmed/12291088,Agricultural Resource Management Survey,dataset-870,0,,"Not mentioned in abstract, and it mentions China data"
pubmed,10.1007/s00267-015-0635-5,Household-Level Determinants of Soil and Water Conservation Adoption Phases: Evidence from North-Western Ethiopian Highlands.,https://www.ncbi.nlm.nih.gov/pubmed/26645077,Agricultural Resource Management Survey,dataset-870,0,,"Not mentioned in abstract, and it mentions Ethiopia data"
openaire,,"Households' demand for groundwater conservation: The case of irrigation practices in Kombolcha district, Eastern Ethiopia",https://scindeks-clanci.ceon.rs/data/pdf/0352-3462/2018/0352-34621801173F.pdf,Agricultural Resource Management Survey,dataset-870,0,,"Not mentioned in abstract, and it mentions Ethiopia data"
pubmed,,How and why public sector doctors engage in private practice in Portuguese-speaking African countries.,https://www.ncbi.nlm.nih.gov/pubmed/10187602,Agricultural Resource Management Survey,dataset-870,0,,Not mentioned in abstract. Topic unrelated. Mentions Portuguese-speaking African countries
pubmed,10.1016/j.scitotenv.2018.07.292,"How can we improve understanding of faecal indicator dynamics in karst systems under changing climatic, population, and land use stressors? - Research opportunities in SW China.",https://www.ncbi.nlm.nih.gov/pubmed/30056232,Agricultural Resource Management Survey,dataset-870,0,,"Not mentioned in abstract, and it mentions China data"
dimensions,10.1108/afr-08-2017-0066,How do financially vulnerable farms finance debt in periods of falling prices?,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=How%20do%20financially%20vulnerable%20farms%20finance%20debt%20in%20periods%20of%20falling%20prices%3F,Agricultural Resource Management Survey,dataset-870,1,https://www.emerald.com/insight/content/doi/10.1108/AFR-08-2017-0066/full/pdf?title=how-do-financially-vulnerable-farms-finance-debt-in-periods-of-falling-prices,
dimensions,10.1093/ajae/aar134,How much Do Decoupled Payments Affect Production? An Instrumental Variable Approach with Panel Data,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=How%20much%20Do%20Decoupled%20Payments%20Affect%20Production%3F%20An%20Instrumental%20Variable%20Approach%20with%20Panel%20Data,Agricultural Resource Management Survey,dataset-871,1,,Used a different known USDA dataset
cited by a publication,10.1111/j.1467-8276.2006.00839.x,Are “Decoupled” Farm Program Payments Really Decoupled? An Empirical Evaluation,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-8276.2006.00839.x,,,1,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-8276.2006.00839.x,This was referenced and easily linked from article doi: 10.1093/ajae/aar134
cited by a publication,10.1093/aepp/ppp005,Do Direct Payments Distort Producers' Decisions? An Examination of the Farm Security and Rural Investment Act of 2002,https://onlinelibrary.wiley.com/doi/10.1093/aepp/ppp005,,dataset-870,1,https://onlinelibrary.wiley.com/doi/epdf/10.1093/aepp/ppp005,This was referenced and easily linked from article doi: 10.1093/ajae/aar134
dimensions,10.1093/ajae/aay071,How Reliable is Duality Theory in Empirical Work?,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=How%20Reliable%20is%20Duality%20Theory%20in%20Empirical%20Work%3F,Agricultural Resource Management Survey,dataset-870,0,,unrelated
openaire,10.22004/ag.econ.206922,HRM IN FOREIGN-OWNED AGRICULTURAL AND FOOD PROCESSING COMPANIES IN SERBIA,http://dx.doi.org/10.22004/ag.econ.206922,Agricultural Resource Management Survey,dataset-870,0,,"Not mentioned in abstract, and it mentions Serbia"
openaire,10.5937/ekoPolj1502353R,HRM IN FOREIGN-OWNED AGRICULTURAL AND FOOD PROCESSING COMPANIES IN SERBIA,http://purl.umn.edu/206922,Agricultural Resource Management Survey,dataset-870,0,,"Not mentioned in abstract, and it mentions Serbia"
openaire,,Human Resource Development: A Model for Agricultural Faculty Members in Iran,http://ijamad.iaurasht.ac.ir/article_523069_1e41d195e64d13260f6935040d115eea.pdf,Agricultural Resource Management Survey,dataset-870,0,,"Not mentioned in abstract, and it mentions Iran"
pubmed,10.1094/PD-90-0016,"Identification and Characterization of Pestalotiopsis spp. Causing Scab Disease of Guava, Psidium guajava, in Hawaii.",https://www.ncbi.nlm.nih.gov/pubmed/30786469,Agricultural Resource Management Survey,dataset-870,review ,,ARMS is not mentioned in abstract but USDA it is.
openaire,10.7441/joc.2013.02.02,Identification of Employee Performance Appraisal Methods in Agricultural Organizations,http://www.cjournal.cz/files/131.pdf,Agricultural Resource Management Survey,dataset-870,0,,Article about Czech Republic.
pubmed,10.3390/ijerph120911345,Identification of Response Options to Artisanal and Small-Scale Gold Mining (ASGM) in Ghana via the Delphi Process.,https://www.ncbi.nlm.nih.gov/pubmed/26378557,Agricultural Resource Management Survey,dataset-870,0,,"Not mentioned in abstract, and it mentions Ghana"
openaire,10.31142/ijtsrd10715,"Identification of Water Potential Zones in Drought Prone Area's - A Case Study of Rolla Mandal, Ananthapuram, Andhra Pradesh, India",https://zenodo.org/record/3574207,Agricultural Resource Management Survey,dataset-870,0,,"Not mentioned in abstract, and it mentions India"
dimensions,10.1017/s1068280500004962,Identifying Factors Influencing a Hospital's Decision to Adopt a Farm-to-Hospital Program,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Identifying%20Factors%20Influencing%20a%20Hospital%27s%20Decision%20to%20Adopt%20a%20Farm-to-Hospital%20Program,Agricultural Resource Management Survey,dataset-870,review ,,"Not mentioned in abstract, but topic is relevant."
dimensions,10.1509/jm.13.0280,Ideological Challenges to Changing Strategic Orientation in Commodity Agriculture,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Ideological%20Challenges%20to%20Changing%20Strategic%20Orientation%20in%20Commodity%20Agriculture,Agricultural Resource Management Survey,dataset-870,review ,,"Not mentioned in abstract, but topic is relevant."
dimensions,10.1093/ajae/aar082,Immigration Policy and its Possible Effects on U.S. Agriculture and the Market for Hired Farm Labor: A Simulation Analysis,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Immigration%20Policy%20and%20its%20Possible%20Effects%20on%20U.S.%20Agriculture%20and%20the%20Market%20for%20Hired%20Farm%20Labor%3A%20A%20Simulation%20Analysis,Agricultural Resource Management Survey,dataset-870,1,https://onlinelibrary.wiley.com/doi/epdf/10.1093/ajae/aar082,
dimensions,10.1093/ajae/aay027,Immigration Reform and Farm Labor Markets,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Immigration%20Reform%20and%20Farm%20Labor%20Markets,Agricultural Resource Management Survey,dataset-870,0,,Mentioned in the introduction but not used
