api,doi,title,url,search_term,dataset,valid,pdf
dimensions,10.1016/j.jpolmod.2017.04.001,Impact of farm programs on farm households in the US,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Impact%20of%20farm%20programs%20on%20farm%20households%20in%20the%20US,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1016/j.appet.2016.11.033,Impact of food choice on sodium intake patterns from multiple NHANES surveys.,https://www.ncbi.nlm.nih.gov/pubmed/27899294,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1787/0001121d-en,Impact of taxation in agriculture: Literature review,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Impact%20of%20taxation%20in%20agriculture%3A%20Literature%20review,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1080/17457300.2011.603152,Impact of youth injuries on the uninsured farm family's economic viability,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Impact%20of%20youth%20injuries%20on%20the%20uninsured%20farm%20family%27s%20economic%20viability,Agricultural Resource Management Survey,dataset-870,,
openaire,,"Impacts of Drought on Socio-Economic Conditions of Paddy Farmers in Guilan Province, North of Iran",http://purl.umn.edu/143496,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1017/s1074070800005186,Impacts of Microbial Inoculants as Integrated Pest Management Tools in Apple Production,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Impacts%20of%20Microbial%20Inoculants%20as%20Integrated%20Pest%20Management%20Tools%20in%20Apple%20Production,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.3390/ijerph16162891,Impacts of Nutrition Subsidies on Diet Diversity and Nutritional Outcomes of Primary School Students in Rural Northwestern China-Do Policy Targets and Incentives Matter?,https://www.ncbi.nlm.nih.gov/pubmed/31412579,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1016/j.heliyon.2019.e02085,"Impacts of variability and change in rainfall on gender of farmers in Anambra, Southeast Nigeria.",https://www.ncbi.nlm.nih.gov/pubmed/31384680,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1093/aepp/ppu030,Implications of Health Care Reform for Farm Businesses and Families,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Implications%20of%20Health%20Care%20Reform%20for%20Farm%20Businesses%20and%20Families,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.182644,"Improved seeds, fertilizer or natural resource management? Evidence from Kenya’s smallholder maize farmers",http://dx.doi.org/10.22004/ag.econ.182644,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1080/21606544.2018.1561329,Improvements in on-farm resource stewardship with profitable information technologies in rice production,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Improvements%20in%20on-farm%20resource%20stewardship%20with%20profitable%20information%20technologies%20in%20rice%20production,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1002/ajim.20960,Improving agricultural injury surveillance: a comparison of incidence and type of injury event among three data sources.,https://www.ncbi.nlm.nih.gov/pubmed/21538445,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1111/tbed.12181,Improving Smallholder Farmer Biosecurity in the Mekong Region Through Change Management.,https://www.ncbi.nlm.nih.gov/pubmed/26302253,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1080/01621459.2012.734158,Imputation in High-Dimensional Economic Data as Applied to the Agricultural Resource Management Survey,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Imputation%20in%20High-Dimensional%20Economic%20Data%20as%20Applied%20to%20the%20Agricultural%20Resource%20Management%20Survey,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1007/s00436-016-5369-7,"Incidence of three Kudoa spp., K. neothunni, K. hexapunctata, and K. thunni (Myxosporea: Multivalvulida), in Thunnus tunas distributed in the western Pacific Ocean.",https://www.ncbi.nlm.nih.gov/pubmed/28070635,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1016/j.procir.2018.12.004,Including Ecosystem Services in Life Cycle Assessment: Methodology and Application to Urban Farms,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Including%20Ecosystem%20Services%20in%20Life%20Cycle%20Assessment%3A%20Methodology%20and%20Application%20to%20Urban%20Farms,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.49863,Income Stabilization Through Government Payments: How Is Farm Household Consumption Affected?,http://dx.doi.org/10.22004/ag.econ.49863,Agricultural Resource Management Survey,dataset-870,,
openaire,,Income Stabilization Through Government Payments: How Is Farm Household Consumption Affected?,http://purl.umn.edu/49863,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1021/acs.est.8b07145,Increased Methylmercury Accumulation in Rice after Straw Amendment.,https://www.ncbi.nlm.nih.gov/pubmed/30983351,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1007/s11250-019-02152-1,"Indigenous medicinal uses, toxicity, and chemical composition of browsing plant used by camel in Ethiopia Somali Regional State: a survey.",https://www.ncbi.nlm.nih.gov/pubmed/31845116,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1007/s11250-019-02037-3,Indigenous Tswana pig production characteristics and management practices in southern districts of Botswana.,https://www.ncbi.nlm.nih.gov/pubmed/31410694,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.234265,Indirect Monetary Incentives for the 2004 ARMS Phase III Core,http://dx.doi.org/10.22004/ag.econ.234265,Agricultural Resource Management Survey,dataset-870,,
pubmed,,"Infectious risk associated with wastewater reuse: an epidemiological approach applied to the case of Clermont-Ferrand, France.",https://www.ncbi.nlm.nih.gov/pubmed/11464769,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.3390/land7010004,Inferring Missing Climate Data for Agricultural Planning Using Bayesian Networks,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Inferring%20Missing%20Climate%20Data%20for%20Agricultural%20Planning%20Using%20Bayesian%20Networks,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1016/j.envsci.2018.12.014,Influencing factors and incentives on the intention to adopt precision agricultural technologies within arable farming systems,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Influencing%20factors%20and%20incentives%20on%20the%20intention%20to%20adopt%20precision%20agricultural%20technologies%20within%20arable%20farming%20systems,Agricultural Resource Management Survey,dataset-870,,
