api,doi,title,url,search_term,dataset_id,valid,pdf
pubmed,10.7589/2016-06-140,"A SEROSURVEY OF DISEASES OF FREE-RANGING GRAY WOLVES (CANIS LUPUS) IN MINNESOTA, USA.",https://www.ncbi.nlm.nih.gov/pubmed/28192048,Agricultural Resource Management Survey,dataset-870,No,
openaire,,"A Socio-Ecological Investigation of Options to Manage Groundwater Degradation in the Western Desert, Egypt",https://europepmc.org/articles/PMC3390576/,Agricultural Resource Management Survey,dataset-870,No,
pubmed,10.1007/s13280-012-0255-8,"A socio-ecological investigation of options to manage groundwater degradation in the Western Desert, Egypt.",https://www.ncbi.nlm.nih.gov/pubmed/22569842,Agricultural Resource Management Survey,dataset-870,No,
openaire,10.1016/j.ejor.2017.08.029,A stochastic dynamic programming approach to analyze adaptation to climate change - application to groundwater irrigation in India,https://hal.archives-ouvertes.fr/hal-01608570,Agricultural Resource Management Survey,dataset-870,No,
dimensions,10.1017/aae.2015.10,A STOCHASTIC FRONTIER ANALYSIS TO EXAMINE RESEARCH PRIORITIES FOR GENETICALLY ENGINEERED PEANUTS,https://doi.org/10.1017/aae.2015.10,Agricultural Resource Management Survey,dataset-870,Yes,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/A713AA6C1EBC2D228BA2B0E9B24C3287/S1074070815000103a.pdf/stochastic_frontier_analysis_to_examine_research_priorities_for_genetically_engineered_peanuts.pdf
openaire,10.22004/ag.econ.205348,A Structural Model of US Corn Farmers’ Pest Control Decisions: Rootworm Resistance in US Corn Fields,http://dx.doi.org/10.22004/ag.econ.205348,Agricultural Resource Management Survey,dataset-870,Yes,
pubmed,,A study of the impact and efficacy of health fairs for farmers.,https://www.ncbi.nlm.nih.gov/pubmed/16381165,Agricultural Resource Management Survey,dataset-870,No,
pubmed,10.1007/s11250-017-1509-z,A study on sheep farming practices in relation to future production strategies in Bensa district of Southern Ethiopia.,https://www.ncbi.nlm.nih.gov/pubmed/29318531,Agricultural Resource Management Survey,dataset-870,No,
openaire,10.6067/xcv8427841,"A Supplemental Class III Archaeological Survey of the Phase A, Reach 3 Corridor, Tucson Aqueduct, Central Arizona Project: Late Sedentary and Early Classic Period Tucson Basin Hohokam Occupation in the Lower Santa Cruz River Basin, Marana to Rillito, Arizona",http://dx.doi.org/10.6067/xcv8427841,Agricultural Resource Management Survey,dataset-870,No,
openaire,10.22004/ag.econ.257178,A SURVEY OF AFLATOXIN AND AFLASAFE AWARENESS AND MANAGEMENT AMONG NIGERIAN MAIZE FARMERS,http://dx.doi.org/10.22004/ag.econ.257178,Agricultural Resource Management Survey,dataset-870,No,
openaire,10.22004/ag.econ.258055,A Survey of Aflatoxin and Aflasafe Awareness and Management Among Nigerian Poultry Producers and Feed Millers,http://dx.doi.org/10.22004/ag.econ.258055,Agricultural Resource Management Survey,dataset-870,No,
pubmed,10.3168/jds.2017-13257,A survey of selected animal-based measures of dairy cattle welfare in the Eastern Alps: Toward context-based thresholds.,https://www.ncbi.nlm.nih.gov/pubmed/29224861,Agricultural Resource Management Survey,dataset-870,No,
pubmed,,A survey on farmers' fertility desires.,https://www.ncbi.nlm.nih.gov/pubmed/12347489,Agricultural Resource Management Survey,dataset-870,No,
pubmed,10.1089/hs.2017.0035,A Systems Approach to Agricultural Biosecurity.,https://www.ncbi.nlm.nih.gov/pubmed/29406805,Agricultural Resource Management Survey,dataset-870,No,
pubmed,,A trial of asthma self-management in Beijing schools.,https://www.ncbi.nlm.nih.gov/pubmed/17136931,Agricultural Resource Management Survey,dataset-870,No,
dimensions,10.1007/s11482-013-9214-1,A Typology of Socioeconomic Disadvantage among Farm Operator Households: Assessment of Contributing Factors Using Evidence from a National Survey,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=A%20Typology%20of%20Socioeconomic%20Disadvantage%20among%20Farm%20Operator%20Households%3A%20Assessment%20of%20Contributing%20Factors%20Using%20Evidence%20from%20a%20National%20Survey,Agricultural Resource Management Survey,dataset-870,Yes,https://link.springer.com/content/pdf/10.1007/s11482-013-9214-1.pdf
pubmed,10.1017/S1368980015001706,"A workplace farmstand pilot programme in Omaha, Nebraska, USA.",https://www.ncbi.nlm.nih.gov/pubmed/26016406,Agricultural Resource Management Survey,dataset-870,No,
dimensions,10.1177/0885412219863199,Abstracts,https://doi.org/10.1177/0885412219863199,Agricultural Resource Management Survey,dataset-870,Yes,
pubmed,10.1016/j.aap.2007.10.002,Accidents in family forestry's firewood production.,https://www.ncbi.nlm.nih.gov/pubmed/18460354,Agricultural Resource Management Survey,dataset-870,No,
dimensions,10.1108/00021461211250438,Accounting for complex entities: implications for ARMS,https://doi.org/10.1108/00021461211250438,Agricultural Resource Management Survey,dataset-870,Yes,
dimensions,10.1080/09692290.2017.1304434,"Accumulating through food crisis? Farmers, commodity traders and the distributional politics of financialization",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Accumulating%20through%20food%20crisis%3F%20Farmers%2C%20commodity%20traders%20and%20the%20distributional%20politics%20of%20financialization,Agricultural Resource Management Survey,dataset-870,Yes,https://www.tandfonline.com/doi/pdf/10.1080/09692290.2017.1304434?needAccess=true
pubmed,10.1038/s41598-019-51178-w,Acetic acid: a cost-effective agent for mitigation of seawater-induced salt toxicity in mung bean.,https://www.ncbi.nlm.nih.gov/pubmed/31645575,Agricultural Resource Management Survey,dataset-870,No,
dimensions,10.2139/ssrn.2502846,Additionality in U.S. Agricultural Conservation and Regulatory Offset Programs,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Additionality%20in%20U.S.%20Agricultural%20Conservation%20and%20Regulatory%20Offset%20Programs,Agricultural Resource Management Survey,dataset-870,Yes,
openaire,10.22004/ag.econ.33985,Adoption of Agricultural Production Practices: Lessons Learned from the U.S. Department of Agriculture Area Studies Project,http://dx.doi.org/10.22004/ag.econ.33985,Agricultural Resource Management Survey,dataset-870,No,
dimensions,10.1017/s1074070800029084,Adoption of Milk and Feed Forward Pricing Methods by Dairy Farmers,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Adoption%20of%20Milk%20and%20Feed%20Forward%20Pricing%20Methods%20by%20Dairy%20Farmers,Agricultural Resource Management Survey,dataset-870,No,
pubmed,10.1007/s00267-018-1109-3,"Adoption of Sustainable Agriculture Practices among Farmers in Kentucky, USA.",https://www.ncbi.nlm.nih.gov/pubmed/30244372,Agricultural Resource Management Survey,dataset-870,No,
pubmed,,Advancing human nutrition without degrading land resources through modeling cropping systems in the Ethiopian highlands.,https://www.ncbi.nlm.nih.gov/pubmed/15646312,Agricultural Resource Management Survey,dataset-870,No,
pubmed,,"Adverse health experiences, environmental attitudes, and pesticide usage behavior of farm operators.",https://www.ncbi.nlm.nih.gov/pubmed/10765405,Agricultural Resource Management Survey,dataset-870,No,
openaire,,"Aerial reconnaissance, Osječko-baranjska County in 2015",https://hrcak.srce.hr/167349,Agricultural Resource Management Survey,dataset-870,No,
openaire,10.22004/ag.econ.188739,Age Management Principles in Czech Agrarian Sector,http://dx.doi.org/10.22004/ag.econ.188739,Agricultural Resource Management Survey,dataset-870,No,
