api,doi,title,url,search_term,dataset,valid,pdf,
openaire,10.22004/ag.econ.21853,"MORE SOCIAL CAPITAL, LESS EROSION: EVIDENCE FROM PERU'S ALTIPLANO",http://dx.doi.org/10.22004/ag.econ.21853,Agricultural Resource Management Survey,dataset-870,N,,
pubmed,10.1016/j.jenvman.2008.11.024,Mountain substitutability and peak load pricing of high alpine peaks as a management tool to reduce environmental damage: a contingent valuation study.,https://www.ncbi.nlm.nih.gov/pubmed/19111965,Agricultural Resource Management Survey,dataset-870,N,,
pubmed,10.1126/science.aam9712,Moving in the Anthropocene: Global reductions in terrestrial mammalian movements.,https://www.ncbi.nlm.nih.gov/pubmed/29371471,Agricultural Resource Management Survey,dataset-870,N,,
dimensions,10.2139/ssrn.2171368,Multi-Enterprising Farm Households: The Importance of Their Alternative Business Ventures in the Rural Economy,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Multi-Enterprising%20Farm%20Households%3A%20The%20Importance%20of%20Their%20Alternative%20Business%20Ventures%20in%20the%20Rural%20Economy,Agricultural Resource Management Survey,dataset-870,N,,No access
pubmed,10.1016/j.ibmb.2016.07.005,"Multifaceted biological insights from a draft genome sequence of the tobacco hornworm moth, Manduca sexta.",https://www.ncbi.nlm.nih.gov/pubmed/27522922,Agricultural Resource Management Survey,dataset-870,N,,
dimensions,10.1108/00021461211250447,Multiple entity farms: a growing and challenging phenomenon,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Multiple%20entity%20farms%3A%20a%20growing%20and%20challenging%20phenomenon,Agricultural Resource Management Survey,dataset-870,N,,No access
openaire,10.22004/ag.econ.56513,Multiple Generation Farm Households: What Determines Primacy in Management?,http://dx.doi.org/10.22004/ag.econ.56513,Agricultural Resource Management Survey,dataset-870,Y,,
dimensions,10.1108/afr-04-2013-0014,Multiple vs single lending relationships in the agricultural sector,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Multiple%20vs%20single%20lending%20relationships%20in%20the%20agricultural%20sector,Agricultural Resource Management Survey,dataset-870,N,,
pubmed,10.1126/sciadv.aat1869,Natural climate solutions for the United States.,https://www.ncbi.nlm.nih.gov/pubmed/30443593,Agricultural Resource Management Survey,dataset-870,N,,
dimensions,10.1017/age.2016.32,Nature of the Farm: Revisited,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Nature%20of%20the%20Farm%3A%20Revisited,Agricultural Resource Management Survey,"dataset-870, dataset-881",Y,,
