api,doi,title,url,search_term,dataset,valid,pdf
pubmed,,Reproductive requirement of Chinese farmers and its changes in Zhejiang.,https://www.ncbi.nlm.nih.gov/pubmed/12293431,Agricultural Resource Management Survey,dataset-870,No,
openaire,,RESEARCH UPDATES,http://purl.umn.edu/26796,Agricultural Resource Management Survey,dataset-870,No,
openaire,,RESEARCH UPDATES,http://purl.umn.edu/27450,Agricultural Resource Management Survey,dataset-870,No,
pubmed,10.1016/j.heliyon.2018.e00799,Resilience through risk management: cooperative insurance in small-holder aquaculture systems.,https://www.ncbi.nlm.nih.gov/pubmed/30294691,Agricultural Resource Management Survey,dataset-870,No,
openaire,10.17352/2455-815X.000009,"Resource Management Skills in Sorghum Growing Enterprise for Training Youths for Employment in Kwara and Kogi State, Nigeria",https://zenodo.org/record/1414251,Agricultural Resource Management Survey,dataset-870,No,
openaire,,Resource use and food self-sufficiency at farm scale within two agro-ecological zones of Rwanda,http://library.wur.nl/WebQuery/wurpubs/492118,Agricultural Resource Management Survey,dataset-870,No,
dimensions,10.1080/1059924x.2012.743379,Respirator Use Among US Farm Operators: Evidence from the 2006 Farm and Ranch Safety Survey,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Respirator%20Use%20Among%20US%20Farm%20Operators%3A%20Evidence%20from%20the%202006%20Farm%20and%20Ranch%20Safety%20Survey,Agricultural Resource Management Survey,dataset-870,No,
dimensions,10.2139/ssrn.3496239,Retirement Age Farmers’ Exit and Disinvestment from Farming,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Retirement%20Age%20Farmers%E2%80%99%20Exit%20and%20Disinvestment%20from%20Farming,Agricultural Resource Management Survey,dataset-870,No,
pubmed,10.7589/2015-12-348,"RETROSPECTIVE ANALYSIS OF THE EPIDEMIOLOGIC LITERATURE, 1990-2015, ON WILDLIFE-ASSOCIATED DISEASES FROM THE REPUBLIC OF KOREA.",https://www.ncbi.nlm.nih.gov/pubmed/27705103,Agricultural Resource Management Survey,dataset-870,No,
pubmed,10.3148/cjdpr-2014-033,Review of Food and Nutrition Services Provided by Community-based Organizations Serving People with HIV in Canada.,https://www.ncbi.nlm.nih.gov/pubmed/26067420,Agricultural Resource Management Survey,dataset-870,No,
pubmed,10.1016/j.prevetmed.2017.02.011,Revisiting an old disease? Risk factors for bovine enzootic haematuria in the Kingdom of Bhutan.,https://www.ncbi.nlm.nih.gov/pubmed/28460742,Agricultural Resource Management Survey,dataset-870,No,
