api,doi,title,url,search_term,dataset,valid,pdf,notes
openaire,10.17358/jma.15.1.61,Supply Chain Risk Management of The Small-Scale Industry in West Sumatera,http://journal.ipb.ac.id/index.php/jmagr/article/view/20625,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1094/PDIS.2001.85.8.910,Survey Methods for Assessment of Citrus tristeza virus Incidence in Citrus Nurseries.,https://www.ncbi.nlm.nih.gov/pubmed/30823061,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1111/1750-3841.13525,Survey of Molds in California Processing Tomatoes.,https://www.ncbi.nlm.nih.gov/pubmed/27711969,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,,"Survey of nitrogen use pattern in rice in the irrigated rice-wheat cropping system of Haryana, India.",https://www.ncbi.nlm.nih.gov/pubmed/21888231,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1016/j.jada.2008.04.021,Survey of retail milk composition as affected by label claims regarding farm-management practices.,https://www.ncbi.nlm.nih.gov/pubmed/18589029,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1007/s11250-015-0863-y,Survey of smallholder beef cattle production systems in different agro-ecological zones of Cambodia.,https://www.ncbi.nlm.nih.gov/pubmed/26055891,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1007/s11356-016-6937-1,"Sustainability assessment of greenhouse vegetable farming practices from environmental, economic, and socio-institutional perspectives in China.",https://www.ncbi.nlm.nih.gov/pubmed/27225005,Agricultural Resource Management Survey,dataset-870,no,,
openaire,10.22004/ag.econ.11680,SUSTAINABLE MANAGEMENT OF PRIVATE AND COMMUNAL LANDS IN NORTHERN ETHIOPIA,http://dx.doi.org/10.22004/ag.econ.11680,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1007/s10661-009-0749-4,Sustainable natural resource management and environmental assessment in the Salt Lake (Tuz Golu) Specially Protected Area.,https://www.ncbi.nlm.nih.gov/pubmed/19205913,Agricultural Resource Management Survey,dataset-870,no,,
openaire,10.22004/ag.econ.249343,Sustainable water management and resource recovery and reuse contracts in agricultural in Burkina-Faso for Ecosystem Services sustainability: Using choice experiments to estimate the farmers’ welfare.,http://dx.doi.org/10.22004/ag.econ.249343,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,,Systematic analysis of the lysine acetylome in Fusarium graminearum.,https://www.ncbi.nlm.nih.gov/pubmed/27964708,Agricultural Resource Management Survey,dataset-870,no,,
dimensions,10.1007/s12571-014-0357-1,"Taking stock of the genetically modified seed sector worldwide: market, stakeholders, and prices",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Taking%20stock%20of%20the%20genetically%20modified%20seed%20sector%20worldwide%3A%20market%2C%20stakeholders%2C%20and%20prices,Agricultural Resource Management Survey,dataset-870,no,,referenced but not used directly
openaire,10.22004/ag.econ.234303,Targeted Data Collection Efforts for the 2012 ARMS III,http://dx.doi.org/10.22004/ag.econ.234303,Agricultural Resource Management Survey,dataset-870,yes,,
openaire,10.22004/ag.econ.234304,Targeted Data Collection Efforts for the 2013 ARMS III,http://dx.doi.org/10.22004/ag.econ.234304,Agricultural Resource Management Survey,dataset-870,yes,,
dimensions,10.1108/afr-07-2015-0031,Tax policy and farm capital investment: Section 179 expensing and bonus depreciation,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Tax%20policy%20and%20farm%20capital%20investment%3A%20Section%20179%20expensing%20and%20bonus%20depreciation,Agricultural Resource Management Survey,dataset-870,yes,,
