api,doi,title,url,search_term,dataset_id,valid,pdf
openaire,,"AN IDENTIFICATION APPROACH OF TECHNICALLY EFFICIENT CATEGORY FOR CONTROLLABLE, CATEGORICAL FACTORS IN PRODUCTION AND AN APPLICATION TO A PRODUCTION PROCESS",http://www.worldscinet.com/cgi-bin/details.cgi?type=pdf&id=pii:S0217595913500127,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1142/s0217595913500127,"AN IDENTIFICATION APPROACH OF TECHNICALLY EFFICIENT CATEGORY FOR CONTROLLABLE, CATEGORICAL FACTORS IN PRODUCTION AND AN APPLICATION TO A PRODUCTION PROCESS",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=AN%20IDENTIFICATION%20APPROACH%20OF%20TECHNICALLY%20EFFICIENT%20CATEGORY%20FOR%20CONTROLLABLE%2C%20CATEGORICAL%20FACTORS%20IN%20PRODUCTION%20AND%20AN%20APPLICATION%20TO%20A%20PRODUCTION%20PROCESS,Agricultural Resource Management Survey,dataset-870,,
openaire,10.5071/24theubce2016-1bv.4.4,An Insight to India's Biomass Production and Biowaste Management: Scope and Challenges,http://dx.doi.org/10.5071/24theubce2016-1bv.4.4,Agricultural Resource Management Survey,dataset-870,,
openaire,10.2481/dsj.6.S867,An Integrative Database System of Agro-Ecology for the Black Soil Region of China,https://datascience.codata.org/jms/article/view/dsj.6.S867,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1111/1742-6723.13215,Analysis of agriculture-related life-threatening injuries presenting to emergency departments of rural generalist hospitals in Southern Queensland.,https://www.ncbi.nlm.nih.gov/pubmed/30536722,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.132407,Analysis of Market Segmentation in Farm Credit Markets,http://dx.doi.org/10.22004/ag.econ.132407,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.119768,Analysis of Participation in Multifunctional Agriculture: U.S. Rice Farms,http://dx.doi.org/10.22004/ag.econ.119768,Agricultural Resource Management Survey,dataset-870,,
openaire,,Analysis on the Human Resource Management in Chinese Agricultural Sector : Case Study From State-Owned Farms in Heilongjiang Province,http://hdl.handle.net/10191/30526,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.262605,Analyzing the Role of Agricultural Beneficiaries in Sustainable Management of Natural Resources and Environment (Case of Hamadan County),http://dx.doi.org/10.22004/ag.econ.262605,Agricultural Resource Management Survey,dataset-870,,
pubmed,,Animal husbandry in Moretele 1 of North-West Province: implications for veterinary training and research.,https://www.ncbi.nlm.nih.gov/pubmed/11030358,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1007/s11250-008-9131-8,Animal production and genetic resources in Guinea Bissau: II--Tombali province.,https://www.ncbi.nlm.nih.gov/pubmed/18716911,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1016/j.vetpar.2014.07.019,Anthelmintic resistance in gastrointestinal nematodes in goats and evaluation of FAMACHA diagnostic marker in Uganda.,https://www.ncbi.nlm.nih.gov/pubmed/25174992,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1016/j.watres.2019.06.039,Antibiotic resistance genes in treated wastewater and in the receiving water bodies: A pan-European survey of urban settings.,https://www.ncbi.nlm.nih.gov/pubmed/31288142,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1186/s12917-017-1131-3,"Antimicrobial drug use in food-producing animals and associated human health risks: what, and how strong, is the evidence?",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Antimicrobial%20drug%20use%20in%20food-producing%20animals%20and%20associated%20human%20health%20risks%3A%20what%2C%20and%20how%20strong%2C%20is%20the%20evidence%3F,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1371/journal.pone.0207034,"Aphid parasitism and parasitoid diversity in cotton fields in Xinjiang, China.",https://www.ncbi.nlm.nih.gov/pubmed/30408098,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1093/jxb/erz446,Approaches to improve soil fertility in sub-Saharan Africa.,https://www.ncbi.nlm.nih.gov/pubmed/31586430,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.3390/ijerph16050898,"Aquifer Sustainability and the Use of Desalinated Seawater for Greenhouse Irrigation in the Campo de Níjar, Southeast Spain.",https://www.ncbi.nlm.nih.gov/pubmed/30871118,Agricultural Resource Management Survey,dataset-870,,
openaire,,"Archaeological Test Level Excavations at the University Research Park in Tempe, Arizona, Final Report",http://dx.doi.org/10.6067/xcv8433623,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1016/j.tree.2015.07.006,Archiving Primary Data: Solutions for Long-Term Studies.,https://www.ncbi.nlm.nih.gov/pubmed/26411615,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.3390/su8040304,Are Australian and United States Farmers Using Soil Information for Soil Health Management?,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Are%20Australian%20and%20United%20States%20Farmers%20Using%20Soil%20Information%20for%20Soil%20Health%20Management%3F,Agricultural Resource Management Survey,dataset-870,,
openaire,10.1016/j.jenvman.2006.12.036,Are farmers in England equipped to meet the knowledge challenge of sustainable soil management? An analysis of farmer and advisor views,http://eprints.glos.ac.uk/421/1/Are%20farmers%20in%20England%20equipped%20to%20meet%20the%20knowledge%20challenge%20of%20sustainable%20soil%20management.pdf,Agricultural Resource Management Survey,dataset-870,,
pubmed,,Are farmers in England equipped to meet the knowledge challenge of sustainable soil management? An analysis of farmer and advisor views.,https://www.ncbi.nlm.nih.gov/pubmed/17374435,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.2139/ssrn.2219503,Are There Carbon Savings from US Biofuel Policies? The Critical Importance of Accounting for Leakage in Land and Fuel Markets,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Are%20There%20Carbon%20Savings%20from%20US%20Biofuel%20Policies%3F%20The%20Critical%20Importance%20of%20Accounting%20for%20Leakage%20in%20Land%20and%20Fuel%20Markets,Agricultural Resource Management Survey,dataset-870,,
