api,doi,title,url,search_term,dataset_id,valid,pdf,notes
pubmed,10.2307/1941795,Crop Rotation and Intercropping Strategies for Weed Management.,https://www.ncbi.nlm.nih.gov/pubmed/27759234,Agricultural Resource Management Survey,dataset-870,no,,
dimensions,10.1787/5k46ds9ljxkj-en,Cross Country Analysis of Farm Economic Performance,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Cross%20Country%20Analysis%20of%20Farm%20Economic%20Performance,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,,Cross-species amplification of Bovidae microsatellites and low diversity of the endangered Korean goral.,https://www.ncbi.nlm.nih.gov/pubmed/15475399,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.1007/s11250-019-01871-9,"Current situations of animal data recording, dairy improvement infrastructure, human capacity and strategic issues affecting dairy production in sub-Saharan Africa.",https://www.ncbi.nlm.nih.gov/pubmed/30945155,Agricultural Resource Management Survey,dataset-870,no,,
openaire,10.11118/actaun201361041183,Current state of the employee performance appraisal system in agricultural organizations in the Czech Republic,https://acta.mendelu.cz/61/4/1183/,Agricultural Resource Management Survey,dataset-870,no,,
pubmed,10.3168/jds.2011-5219,Dairy farmer use of price risk management tools.,https://www.ncbi.nlm.nih.gov/pubmed/22720973,Agricultural Resource Management Survey,dataset-870,no,,
openaire,10.22004/ag.econ.34814,Dairy Resource Management: A Comparison of Conventional and Pasture-Based Systems,http://dx.doi.org/10.22004/ag.econ.34814,Agricultural Resource Management Survey,dataset-870,yes,,
dimensions,10.1093/aepp/ppw009,Data Science and Management for Large Scale Empirical Applications in Agricultural and Applied Economics Research,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Data%20Science%20and%20Management%20for%20Large%20Scale%20Empirical%20Applications%20in%20Agricultural%20and%20Applied%20Economics%20Research,Agricultural Resource Management Survey,dataset-870,maybe,,dicusses data warehousing related to dataset
dimensions,10.2139/ssrn.2503453,"Debt Use by U.S Farm Businesses, 1992-2011",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Debt%20Use%20by%20U.S%20Farm%20Businesses%2C%201992-2011,Agricultural Resource Management Survey,dataset-870,yes,,
openaire,10.22004/ag.econ.20608,DECOMPOSITION OF VARIABILITY IN ASSETS AND DEBT OF FARM HOUSEHOLDS IN THE U.S.,http://dx.doi.org/10.22004/ag.econ.20608,Agricultural Resource Management Survey,dataset-870,yes,,
