api,doi,title,url,search_term,dataset_id,valid,pdf
openaire,10.22004/ag.econ.34814,Dairy Resource Management: A Comparison of Conventional and Pasture-Based Systems,http://dx.doi.org/10.22004/ag.econ.34814,Agricultural Resource Management Survey,dataset-870,yes,
dimensions,10.2139/ssrn.2503453,"Debt Use by U.S Farm Businesses, 1992-2011",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Debt%20Use%20by%20U.S%20Farm%20Businesses%2C%201992-2011,Agricultural Resource Management Survey,dataset-870,yes,
openaire,10.22004/ag.econ.20608,DECOMPOSITION OF VARIABILITY IN ASSETS AND DEBT OF FARM HOUSEHOLDS IN THE U.S.,http://dx.doi.org/10.22004/ag.econ.20608,Agricultural Resource Management Survey,dataset-870,yes,
openaire,10.22004/ag.econ.59682,Decomposition of Variability in Farm Household Assets and Debt,http://dx.doi.org/10.22004/ag.econ.59682,Agricultural Resource Management Survey,dataset-870,yes,
dimensions,10.1017/s1068280500003324,Decoupled Direct Payments under Base Acreage and Yield Updating Uncertainty: An Investigation of Agricultural Chemical Use,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Decoupled%20Direct%20Payments%20under%20Base%20Acreage%20and%20Yield%20Updating%20Uncertainty%3A%20An%20Investigation%20of%20Agricultural%20Chemical%20Use,Agricultural Resource Management Survey,"dataset-870,dataset-894",yes,
openaire,10.22004/ag.econ.33981,DECOUPLED PAYMENTS IN A CHANGING POLICY SETTING,http://dx.doi.org/10.22004/ag.econ.33981,Agricultural Resource Management Survey,dataset-870,yes,
dimensions,10.1108/afr-05-2015-0023,Decoupling direct payments: potential impacts of the 2014 farm bill on farm debt,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Decoupling%20direct%20payments%3A%20potential%20impacts%20of%20the%202014%20farm%20bill%20on%20farm%20debt,Agricultural Resource Management Survey,dataset-870,yes,
dimensions,10.3168/jds.2011-4542,Determinants of dairy farmers’ participation in the Milk Income Loss Contract program,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Determinants%20of%20dairy%20farmers%E2%80%99%20participation%20in%20the%20Milk%20Income%20Loss%20Contract%20program,Agricultural Resource Management Survey,dataset-870,yes,
dimensions,10.1017/aae.2015.25,DETERMINANTS OF DECISIONS TO ENTER THE U.S. FARMING SECTOR,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=DETERMINANTS%20OF%20DECISIONS%20TO%20ENTER%20THE%20U.S.%20FARMING%20SECTOR,Agricultural Resource Management Survey,dataset-870,yes,
openaire,10.22004/ag.econ.61632,Determinants of Farm Household Income Diversification in the United States: Evidence from Farm-Level Data,http://dx.doi.org/10.22004/ag.econ.61632,Agricultural Resource Management Survey,dataset-870,yes,
openaire,10.22004/ag.econ.45037,Determinants of Poverty among U.S. Farm Households,http://purl.umn.edu/45037,Agricultural Resource Management Survey,dataset-870,yes,
