api,doi,title,url,search_term,dataset,valid,pdf,notes,
dimensions,10.1177/1538192707306552,Latinos in Science,https://journals.sagepub.com/doi/10.1177/1538192707306552,NSF Survey of Earned Doctorates,dataset-370,1,https://journals.sagepub.com/doi/pdf/10.1177/1538192707306552,,doi.org/10.1177/1538192707306552
dimensions,10.1089/dna.2012.1756,Limitations on Diversity in Basic Science Departments,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Limitations%20on%20Diversity%20in%20Basic%20Science%20Departments,NSF Survey of Earned Doctorates,"dataset-370, dataset-371",0,,it uses reports,
dimensions,10.1002/lob.10154,Limnology and Oceanography Bulletin Volume 25 Number 4 November 2016 97–138,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Limnology%20and%20Oceanography%20Bulletin%20Volume%2025%20Number%204%20November%202016%2097%E2%80%93138,NSF Survey of Doctorate Recipients,"dataset-370, dataset-371",0,,,doi.org/10.1002/lob.10154
dimensions,10.1002/lob.20142311,"Limnology and Oceanography Bulletin, February 2014",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Limnology%20and%20Oceanography%20Bulletin%2C%20February%202014,NSF Survey of Doctorate Recipients,"dataset-370, dataset-371",0,,,doi.org/10.1002/lob.20142311
openaire,10.7282/t3g1640q,Making mentoring matter,http://dx.doi.org/10.7282/t3g1640q,Survey of Earned Doctorates,"dataset-370, dataset-371",0,,it only mentions SED as support evidence for arguments,doi.org/10.7282/t3g1640q
dimensions,10.1016/0014-4886(79)90002-5,Maturation and current status of neuroscience: Data from the 1976 inventory of U.S. neuroscientists,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Maturation%20and%20current%20status%20of%20neuroscience%3A%20Data%20from%20the%201976%20inventory%20of%20U.S.%20neuroscientists,NSF Survey of Earned Doctorates,"dataset-370, dataset-371",0,,,doi.org/10.1016/0014-4886(79)90002-5
dimensions,10.1561/110.00000005,"Measuring Science, Technology, and Innovation: A Review",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Measuring%20Science%2C%20Technology%2C%20and%20Innovation%3A%20A%20Review,NSF Survey of Doctorate Recipients,"dataset-370, dataset-371",0,,,doi.org/10.1561/110.00000005
dimensions,10.1002/ir.20298,Merging Data to Facilitate Analyses,https://onlinelibrary.wiley.com/doi/full/10.1002/ir.20298,NSF Survey of Earned Doctorates,"dataset-370, dataset-428",??,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ir.20298,,doi.org/10.1002/ir.20298
dimensions,10.1007/s12114-016-9232-y,Minority Faculty Hiring Power in Academe: an Economic Model,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Minority%20Faculty%20Hiring%20Power%20in%20Academe%3A%20an%20Economic%20Model,NSF Survey of Doctorate Recipients,"dataset-370, dataset-371",0,,,doi.org/10.1007/s12114-016-9232-y
dimensions,10.1002/msj.21350,Minority Undergraduate Programs Intended to Increase Participation in Biomedical Careers,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Minority%20Undergraduate%20Programs%20Intended%20to%20Increase%20Participation%20in%20Biomedical%20Careers,NSF Survey of Earned Doctorates,"dataset-370, dataset-371",0,,,doi.org/10.1002/msj.21350
dimensions,10.1007/s00168-016-0773-6,"Mobility, education and labor market outcomes for U.S. graduates: Is selectivity important?",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Mobility%2C%20education%20and%20labor%20market%20outcomes%20for%20U.S.%20graduates%3A%20Is%20selectivity%20important%3F,NSF Survey of Doctorate Recipients,"dataset-370, dataset-371",0,,,it uses SESTAT
dimensions,10.5367/000000009790156418,Monitor,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Monitor,NSF Survey of Earned Doctorates,"dataset-370, dataset-371",0,,,doi.org/10.5367/000000009790156418
dimensions,10.1023/a:1020988531713,More Than a Pipeline Problem: Labor Supply Constraints and Gender Stratification Across Academic Science Disciplines,https://link.springer.com/article/10.1023%2FA%3A1020988531713,NSF Survey of Earned Doctorates,"dataset-370, dataset-371",1,https://link.springer.com/content/pdf/10.1023/A:1020988531713.pdf,,doi.org/10.1023/a:1020988531713
