api,doi,title,url,search_term,dataset,valid,pdf,notes 
dimensions,10.1016/j.respol.2017.12.006,“A tie is a tie? Gender and network positioning in life science inventor collaboration”,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=%E2%80%9CA%20tie%20is%20a%20tie%3F%20Gender%20and%20network%20positioning%20in%20life%20science%20inventor%20collaboration%E2%80%9D,Paula Stephan Survey of Doctorate Recipients,dataset-371,0,,mentions SDR in a footnote
dimensions,10.1007/s11187-017-9848-8,"“Misfits,” “stars,” and immigrant entrepreneurship",https://link.springer.com/article/10.1007%2Fs11187-017-9848-8#Sec4,Donna Ginther Survey of Doctorate Recipients,dataset-951,1,https://link.springer.com/content/pdf/10.1007/s11187-017-9848-8.pdf,
dimensions,10.1037/0003-066x.61.8.735,2006 Award Winners,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=2006%20Award%20Winners,Sharon Levin Survey of Doctorate Recipients,dataset-371,0,,list of awardees and bios
dimensions,10.1097/01.ccm.0000408627.24229.88,952: TRAVELER'S DIARRHEA... AND THEN SOME!,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=952%3A%20TRAVELER%27S%20DIARRHEA...%20AND%20THEN%20SOME%21,Paula Stephan Survey of Doctorate Recipients,dataset-371,0,,
dimensions,10.1177/0162243988013001-212,Abstracts,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Abstracts,Paula Stephan Survey of Doctorate Recipients,dataset-371,0,https://journals.sagepub.com/doi/pdf/10.1177/0162243988013001-212,Set of abstracts. One abastract mentions SDR
dimensions,10.1002/pds.4864,Abstracts,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Abstracts,Paula Stephan Survey of Doctorate Recipients,dataset-371,unavailable,,
dimensions,10.1177/0162243988013001-212,Abstracts,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Abstracts,Sharon Levin Survey of Doctorate Recipients,dataset-371,duplicated,,
dimensions,10.1592/phco.30.10.1086,Abstracts and Index of Authors,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Abstracts%20and%20Index%20of%20Authors,Paula Stephan Survey of Doctorate Recipients,dataset-371,unavailable,,
dimensions,10.1097/psy.0000000000000343,"Abstracts of the 74th Annual Meeting of the American Psychosomatic Society, March 9–12, 2015. Denver, Colorado, USA.",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Abstracts%20of%20the%2074th%20Annual%20Meeting%20of%20the%20American%20Psychosomatic%20Society%2C%20March%209%E2%80%9312%2C%202015.%20Denver%2C%20Colorado%2C%20USA.,Paula Stephan Survey of Doctorate Recipients,dataset-371,0,,
dimensions,10.1093/ofid/ofz454,Addendum,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Addendum,Paula Stephan Survey of Doctorate Recipients,dataset-371,0,,
dimensions,10.1007/bf00992202,Age and research productivity of academic scientists,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Age%20and%20research%20productivity%20of%20academic%20scientists,Paula Stephan Survey of Doctorate Recipients,dataset-371,1,https://link.springer.com/content/pdf/10.1007/BF00992202.pdf,"It uses Science Citation Index for the years 1978 to 1979, but I could not find it as a dataset"
dimensions,10.2139/ssrn.2109278,An ‘Elite Brain Drain’: Are Foreign Top PhDs More Likely to Stay in the U.S.?,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=An%20%E2%80%98Elite%20Brain%20Drain%E2%80%99%3A%20Are%20Foreign%20Top%20PhDs%20More%20Likely%20to%20Stay%20in%20the%20U.S.%3F,Paula Stephan Survey of Doctorate Recipients,"dataset-370, dataset-936",1,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2109278&download=yes,"it uses Social Science Citation Index (SSCI), but I could not find it as a dataset"
dimensions,10.1016/j.respol.2018.02.011,An advisor like me? Advisor gender and post-graduate careers in science,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=An%20advisor%20like%20me%3F%20Advisor%20gender%20and%20post-graduate%20careers%20in%20science,Paula Stephan Survey of Doctorate Recipients,dataset-370,0,,It mentions SED in the Data section but only to say that it didn't had the information needed for the research
dimensions,10.3102/0013189x10394793,Annual Report,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Annual%20Report,Paula Stephan Survey of Earned Doctorates,dataset-370,0,,it is not a research publication
dimensions,10.3102/0013189x11432551,Annual Report,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Annual%20Report,NSF Survey of Earned Doctorates,dataset-370,0,,it is not a research publication
dimensions,10.1371/journal.pone.0082759,Are Graduate Students Rational? Evidence from the Market for Biomedical Scientists,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0082759,Paula Stephan Survey of Doctorate Recipients,"dataset-480, dataset-371, dataset-046, dataset-943, dataset-493, dataset-370, dataset-950",1,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0082759&type=printable,
