api,doi,title,url,search_term,dataset,valid,pdf
dimensions,10.1177/056943451405900101,Counting Economics Phds: How Many New Graduates Do U.S. Universities Produce?,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Counting%20Economics%20Phds%3A%20How%20Many%20New%20Graduates%20Do%20U.S.%20Universities%20Produce%3F1,NSF Survey of Earned Doctorates,"dataset-370, dataset-493",yes,
dimensions,10.1145/2043174.2043187,Data trends on minorities and people with disabilities in computing,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Data%20trends%20on%20minorities%20and%20people%20with%20disabilities%20in%20computing,NSF Survey of Earned Doctorates,"dataset-370, dataset-371",yes,
dimensions,10.1023/a:1018778412377,DISCRIMINATORY ORGANIZATIONAL CONTEXTS AND BLACK SCIENTISTS ON POSTSECONDARY FACULTIES,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=DISCRIMINATORY%20ORGANIZATIONAL%20CONTEXTS%20AND%20BLACK%20SCIENTISTS%20ON%20POSTSECONDARY%20FACULTIES,NSF Survey of Earned Doctorates,"dataset-370, dataset-371,dataset-493",yes,
dimensions,10.5408/1089-9995-55.6.447,Diversity in the Geosciences and Successful Strategies for Increasing Diversity,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Diversity%20in%20the%20Geosciences%20and%20Successful%20Strategies%20for%20Increasing%20Diversity,NSF Survey of Earned Doctorates,"dataset-370, dataset-493",yes,
dimensions,10.1037/a0038549,Diversity Statements: How Faculty Applicants Address Diversity,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Diversity%20Statements%3A%20How%20Faculty%20Applicants%20Address%20Diversity,NSF Survey of Earned Doctorates,"dataset-370, dataset-371",yes,
dimensions,10.1016/j.jpubeco.2017.10.003,Do international students crowd-out or cross-subsidize Americans in higher education?,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Do%20international%20students%20crowd-out%20or%20cross-subsidize%20Americans%20in%20higher%20education%3F,NSF Survey of Earned Doctorates,"dataset-370, dataset-493",yes,
dimensions,10.1057/hep.2016.2,Do International Students Displace US Students in the Pursuit of Higher Degrees in Science and Engineering? A Forecasting Analysis,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Do%20International%20Students%20Displace%20US%20Students%20in%20the%20Pursuit%20of%20Higher%20Degrees%20in%20Science%20and%20Engineering%3F%20A%20Forecasting%20Analysis,NSF Survey of Doctorate Recipients,"dataset-943,dataset-952",yes,
dimensions,10.1073/pnas.2001684117,Do the social roles that women and men occupy in science allow equal access to publication?,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Do%20the%20social%20roles%20that%20women%20and%20men%20occupy%20in%20science%20allow%20equal%20access%20to%20publication%3F,NSF Survey of Doctorate Recipients,dataset-371,yes,
dimensions,10.1111/j.1465-3435.2005.00234.x,Doctoral and Postdoctoral Education in Science and Engineering: Europe in the international competition,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Doctoral%20and%20Postdoctoral%20Education%20in%20Science%20and%20Engineering%3A%20Europe%20in%20the%20international%20competition,NSF Survey of Earned Doctorates,"dataset-370, dataset-371,dataset-943",yes,
dimensions,10.1080/13504851.2014.922664,Early career PhD salaries: the industry premium and interdisciplinary debate,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Early%20career%20PhD%20salaries%3A%20the%20industry%20premium%20and%20interdisciplinary%20debate,NSF Survey of Earned Doctorates,dataset-370,yes,
dimensions,10.1177/0002764218768870,Earnings of Academic Scientists and Engineers: Intersectionality of Gender and Race/Ethnicity Effects,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Earnings%20of%20Academic%20Scientists%20and%20Engineers%3A%20Intersectionality%20of%20Gender%20and%20Race/Ethnicity%20Effects,NSF Survey of Doctorate Recipients,dataset-371,yes,
dimensions,10.1096/fasebj.12.2.139,Education and Employment Patterns of U.S. Ph.D.'s in the Biomedical Sciences,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Education%20and%20Employment%20Patterns%20of%20U.S.%20Ph.D.%27s%20in%20the%20Biomedical%20Sciences,NSF Survey of Earned Doctorates,dataset-371,yes,
dimensions,10.1007/s12111-014-9283-8,Edward A. Bouchet: A Model for Understanding African Americans and Their Doctoral Experience,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Edward%20A.%20Bouchet%3A%20A%20Model%20for%20Understanding%20African%20Americans%20and%20Their%20Doctoral%20Experience,NSF Survey of Doctorate Recipients,dataset-370,yes,
dimensions,10.1371/journal.pone.0124928,Effects of Government Spending on Research Workforce Development: Evidence from Biomedical Postdoctoral Researchers,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Effects%20of%20Government%20Spending%20on%20Research%20Workforce%20Development%3A%20Evidence%20from%20Biomedical%20Postdoctoral%20Researchers,NSF Survey of Doctorate Recipients,dataset-371,yes,
dimensions,10.1080/03075079.2010.516356,"Emergence and growth of professional doctorates in the United States, United Kingdom, Canada and Australia: a comparative analysis",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Emergence%20and%20growth%20of%20professional%20doctorates%20in%20the%20United%20States%2C%20United%20Kingdom%2C%20Canada%20and%20Australia%3A%20a%20comparative%20analysis,NSF Survey of Earned Doctorates,dataset-370,yes,
dimensions,10.1641/0006-3568(2005)055[0879:eitlsa]2.0.co;2,Employment in the Life Sciences: A Mixed Outlook,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Employment%20in%20the%20Life%20Sciences%3A%20A%20Mixed%20Outlook,NSF Survey of Earned Doctorates,"dataset-370, dataset-371, dataset-943",yes,
