api,doi,title,url,search_term,dataset,valid,pdf
dimensions,10.1097/acm.0b013e31826d726b,"Are Race, Ethnicity, and Medical School Affiliation Associated With NIH R01 Type 1 Award Probability for Physician Investigators?",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Are%20Race%2C%20Ethnicity%2C%20and%20Medical%20School%20Affiliation%20Associated%20With%20NIH%20R01%20Type%201%20Award%20Probability%20for%20Physician%20Investigators%3F,Survey of Earned Doctorates Donna Ginther,"dataset-370,dataset-493,dataset-935",yes,
dimensions,10.2139/ssrn.1677993,Diversity in Academic Biomedicine: An Evaluation of Education and Career Outcomes with Implications for Policy,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Diversity%20in%20Academic%20Biomedicine%3A%20An%20Evaluation%20of%20Education%20and%20Career%20Outcomes%20with%20Implications%20for%20Policy,Survey of Earned Doctorates Donna Ginther,dataset-370,yes,
dimensions,10.1097/acm.0000000000001278,"Gender, Race/Ethnicity, and National Institutes of Health R01 Research Awards",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Gender%2C%20Race/Ethnicity%2C%20and%20National%20Institutes%20of%20Health%20R01%20Research%20Awards,Survey of Earned Doctorates Donna Ginther,"dataset-370,dataset-935",yes,
dimensions,10.2139/ssrn.1153554,Has Women's Participation in the AEA Meeting Risen Over Time? A Study of the 1985 and 2006 Programs,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Has%20Women%27s%20Participation%20in%20the%20AEA%20Meeting%20Risen%20Over%20Time%3F%20A%20Study%20of%20the%201985%20and%202006%20Programs,Survey of Earned Doctorates Donna Ginther,dataset-370,yes,https://www.aeaweb.org/content/file?id=739
dimensions,10.1007/s11162-019-09561-z,Parenting on the Path to the Professoriate: A Focus on Graduate Student Mothers,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Parenting%20on%20the%20Path%20to%20the%20Professoriate%3A%20A%20Focus%20on%20Graduate%20Student%20Mothers,Survey of Earned Doctorates Donna Ginther,"dataset-370,dataset-371",yes,
dimensions,10.1080/00221546.2008.11772108,"Problems in the Pipeline: Gender, Marriage, and Fertility in the Ivory Tower",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Problems%20in%20the%20Pipeline%3A%20Gender%2C%20Marriage%2C%20and%20Fertility%20in%20the%20Ivory%20Tower,Survey of Earned Doctorates Donna Ginther,"dataset-370,dataset-371",yes,https://www.tandfonline.com/doi/pdf/10.1080/00221546.2008.11772108?needAccess=true
dimensions,10.1353/jhe.0.0015,"Problems in the Pipeline: Gender, Marriage, and Fertility in the Ivory Tower",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Problems%20in%20the%20Pipeline%3A%20Gender%2C%20Marriage%2C%20and%20Fertility%20in%20the%20Ivory%20Tower,Survey of Earned Doctorates Donna Ginther,"dataset-370,dataset-371",yes,
dimensions,10.1002/he.20211,The Effects of Parenthood During Graduate School on PhD Recipients’ Paths to the Professoriate: A Focus on Motherhood,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20Effects%20of%20Parenthood%20During%20Graduate%20School%20on%20PhD%20Recipients%E2%80%99%20Paths%20to%20the%20Professoriate%3A%20A%20Focus%20on%20Motherhood,Survey of Earned Doctorates Donna Ginther,"dataset-370,dataset-371",yes,
dimensions,10.2139/ssrn.2506835,Understanding the Gender Gap in STEM Fields Entrepreneurship,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Understanding%20the%20Gender%20Gap%20in%20STEM%20Fields%20Entrepreneurship,Survey of Earned Doctorates Donna Ginther,"dataset-370,dataset-371,dataset-941,dataset-426",yes,https://pdfs.semanticscholar.org/4189/040c8ff41b2f035c417b15ff529bf9bf97d8.pdf
dimensions,10.1177/0002764218768865,Using Data to Inform the Science of Broadening Participation,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Using%20Data%20to%20Inform%20the%20Science%20of%20Broadening%20Participation,Survey of Earned Doctorates Donna Ginther,dataset-370,yes,
dimensions,10.1371/journal.pone.0208411,"Late retirement, early careers, and the aging of U.S. science and engineering professors",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=Late%20retirement%2C%20early%20careers%2C%20and%20the%20aging%20of%20U.S.%20science%20and%20engineering%20professors,Sharon Levin Survey of Earned Doctorates,dataset-371,yes,
dimensions,10.1086/605854,"The “I”s Have It: Immigration and Innovation, the Perspective from Academe",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20%E2%80%9CI%E2%80%9Ds%20Have%20It%3A%20Immigration%20and%20Innovation%2C%20the%20Perspective%20from%20Academe,Sharon Levin Survey of Earned Doctorates,"dataset-370,dataset-371",yes,
