author,year,publication and journal,dataset,datadrop origin,title,doi,url,pdf,valid,
"Borjas, G. J. ",2006,"IMMIGRATION IN HIGH-SKILL LABOR MARKETS: THE IMPACT OF FOREIGN STUDENTS ON THE EARNINGS OF DOCTORATES, NBER.","dataset-370, dataset-371",EndNote SED library 11/7/2017,Immigration in High-Skill Labor Markets: The Impact of Foreign Students on the Earnings of Doctorates,10.3386/w12085,https://www.nber.org/papers/w12085,https://www.nber.org/papers/w12085.pdf,Y,
"Garrison, H. H., S. A. Gerbi and P. W. Kincade ",2003,"""In an era of scientific opportunity, are there opportunities for biomedical scientists?"" FASEB J 17(15): 2169-2173.","dataset-370, dataset-371",EndNote SED library 11/7/2017,"In an Era of Scientific Opportunity, Are There Opportunities for Biomedical Scientists?",10.1096/fj.03-0836life ,https://www.researchgate.net/publication/9066063_In_an_Era_of_Scientific_Opportunity_Are_There_Opportunities_for_Biomedical_Scientists,http://pdfs.semanticscholar.org/00f2/a3b650ca272d65710bca8fc09cce1fa17d69.pdf,Y,
"Millar, M. M. ",2013,"""Interdisciplinary research and the early career: The effect of interdisciplinary dissertation research on career placement and publication productivity of doctoral graduates in the sciences."" Research Policy 42(5): 1152-1164.","dataset-370, dataset-371",EndNote SED library 11/7/2017,Interdisciplinary research and the early career: The effect of interdisciplinary dissertation research on career placement and publication productivity of doctoral graduates in the sciences,10.1016/j.respol.2013.02.004,https://www.researchgate.net/publication/256921429_Interdisciplinary_research_and_the_early_career_The_effect_of_interdisciplinary_dissertation_research_on_career_placement_and_publication_productivity_of_doctoral_graduates_in_the_sciences,http://www.sciencedirect.com/science/article/pii/S0048733313000401,Y,
"Kim, D., C. A. S. Bankart and L. Isdell ",2011,"""International Doctorates: trends analysis on their decision to stay in US."" Higher Education 62: 141-161.",dataset-370,EndNote SED library 11/7/2017,International doctorates: trends analysis on their decision to stay in US,10.1007/s10734-010-9371-1,https://www.jstor.org/stable/41477861?seq=1,https://link.springer.com/content/pdf/10.1007/s10734-010-9371-1.pdf,Y,
"Chang, W.-Y. and L. M. Milan ",2012,"International Mobility and Empoyment Characteristics among Recent Recipients of U.S. Doctorates. InfoBrief, National Science Foundation.","dataset-370, dataset-371",EndNote SED library 11/7/2017,International Mobility and Employment Characteristics among Recent Recipients of U.S. Doctorates,,https://www.nsf.gov/statistics/infbrief/nsf13300/,https://www.nsf.gov/statistics/infbrief/nsf13300/nsf13300.pdf,Y,
"Johnson, J. M. and M. C. Regets ",1998,"International Mobility of Scientists and Engineers to the United States--Brain Drain or Brain Circulation? Issue Brief, NSF.","dataset-370, dataset-951",EndNote SED library 11/7/2017,International Mobility of Scientists and Engineers to the United States - Brain Drain or Brain Circulation?,,https://www.nsf.gov/statistics/issuebrf/sib98316.htm,,Y,
"Bound, J., S. Turner and P. Walsh ",2009,"Internationalization of U.S. Doctorate Education. Science and Engineering Careers in the United States: An Analysis of Markets and Employment, University of Chicago Press.",dataset-370,EndNote SED library 11/7/2017,Internationalization of U.S. Doctorate Education,,https://www.nber.org/chapters/c11618,https://www.nber.org/chapters/c11618.pdf,Y,
"Sanderson, A. and B. Dugoni ",2002,"Interstate Migration Patterns of Recent Science and Engineering Doctorate Recipients. Arlington, VA, NSF.",dataset-370,EndNote SED library 11/7/2017,,,,,N,Cannot locate paper
"Knight, D. B., M. Borrego, T. Kinoshita and N. H. Choe ",2017,"Investigating National-Scale Variation in Doctoral Student Funding Mechanisms Across Engineering Disciplines. 2017 ASEE Annaul Conference & Exposition. Columbus, Ohio, ASEE.",dataset-370,EndNote SED library 11/7/2017,Investigating National-Scale Variation in Doctoral Student Funding Mechanisms Across Engineering Disciplines,,https://peer.asee.org/27921,https://peer.asee.org/board-76-investigating-national-scale-variation-in-doctoral-student-funding-mechanisms-across-engineering-disciplines.pdf,Y,
"Bowen, W. G., G. Lord and J. A. Sosa ",1991,"""Measuring Time to the Doctorate: Reinterpretation of the Evidence."" Proceedings of the National Academy of Sciences of the United States of America 88(3): 713-717.",dataset-370,EndNote SED library 11/7/2017,Measuring time to the doctorate: reinterpretation of the evidence.,10.1073/pnas.88.3.713,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC50883/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC50883/pdf/pnas01053-0040.pdf,Y,
"Wire, H. ",2017,NSF Provides Status Report on U.S. Doctorate Education. HPC Wire.,dataset-370,EndNote SED library 11/7/2017,NSF Provides Status Report on U.S. Doctorate Education,,https://www.hpcwire.com/2017/07/06/nsf-provides-status-report-u-s-doctorate-education/,,Y,
"Laurence, D. ",2017,"""Outside the Box: Occupational Horizons for Modern Language Doctoral Programs."" Profession (MLA online journal).",dataset-370,EndNote SED library 11/7/2017,Outside the Box: Occupational Horizons for Modern Language Doctoral Programs,,https://profession.mla.org/outside-the-box-occupational-horizons-for-modern-language-doctoral-programs/,,N,
"Laurence, D. ",2017,"Outside the Box: Occupational Horizons for Modern Language Doctoral Programs. Profession, Humanities Commons, Modern Language Association of America.",dataset-370,EndNote SED library 11/7/2017,Outside the Box: Occupational Horizons for Modern Language Doctoral Programs,,https://profession.mla.org/outside-the-box-occupational-horizons-for-modern-language-doctoral-programs/,,N,
"Lundy-Wagner, V. and J. Vultaggio ",2013,"""Preparing Underrepresented Students of Color for Doctoral Success: The Role of Undergraduate Institutions."" International Journal of Doctoral Studies 8: 151-172.","dataset-370, dataset-493",EndNote SED library 11/7/2017,Preparing Underrepresented Students of Color for Doctoral Success: The Role of Undergraduate Institutions*,,https://www.researchgate.net/publication/286940696_Preparing_Underrepresented_Students_of_Color_for_Doctoral_Success_The_Role_of_Undergraduate_Institutions,http://ijds.org/Volume8/IJDSv8p151-172Lundy-Wagner0381.pdf,Y,
"Jones, T. R. ",2016,"PRODUCING HUMANITIES PHDS AMONG BAs AT DOCTORAL INSTITUTIONS, NBER.",dataset-370,EndNote SED library 11/7/2017,Producing Humanities PhDs among BAs at Doctoral Institutions,,https://digitalcommons.ilr.cornell.edu/workingpapers/192/,https://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1194&context=workingpapers,Y,
