author,year,publication and journal,dataset,datadrop origin,title,doi,url,valid,pdf,note
"Stephan, P. E., A. J. Sumell, G. C. Black and J. D. Adams ",2016,"""Doctoral Education and Economic Development: The Flow of New Ph.D.s to Industry."" Economic Development Quarterly 18(2): 151-167.",dataset-370,EndNote SED library 11/7/2017,,10.1177/0891242403262019,https://doi.org/10.1177/0891242403262019,Yes,https://journals-sagepub-com.proxy.library.nyu.edu/doi/pdf/10.1177/0891242403262019,
"Anastas, J. W. and A. N. Kuerbis ",2009,"""Doctoral Education in Social Work: What We Know and What We Need to Know."" Social Work 54(1): 71-81.","dataset-370, dataset-969",EndNote SED library 11/7/2017,,10.1093/sw/54.1.71,https://doi.org/10.1093/sw/54.1.71,Yes,https://watermark.silverchair.com/54-1-71.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAmQwggJgBgkqhkiG9w0BBwagggJRMIICTQIBADCCAkYGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMOtt3mVg7o1TOAqYlAgEQgIICF14pGd_eSgOkmkFPLW1mcg8YeWKnlLxjGSo2MlYAJTPad5fIvCMjWkWUzJHuqtRD8N-XUw_tqbFlTOCoPlmq3wfhOxO5_Ag7rFvEIYqOVk2LwNfw8FVtjO_7dVjVW-x9TeT3h2qxREGpxZjrjD7lJcrbXcsi3Rk5cdsx6VWOWnPdFJhBCQofwUjE65dL8wFs-YJkNVhB0gSpvjY0Dr3L4ZSA5J8hR8IGmwtOG3aL83eqiozvVK-ZdpTyJ5JRBqp5zgrjRfEcKkJ-Z8dxYqd2zWTmuFaWoxQU6VGrwEPnz0PkrrWKQGksjayMTY0eoSKf-KTs4sHzasdoyFydp8bzZY6Q3pZDi3iwBrO0EN0g_gsyS4AsdFhjcRf57tUharSkBKMn850p4dUmsYxJEctKyn8rcZAdGQJM7nZ4_7qJNbza2eygvNjazDTI3ggWaXAN3dqtLSHJeJQlYK-LqRbJQ8GFLhojSmVZNaqKMM47zTgAXFM8D97BsxZv8ACuFG0sc3dE5UwMx_Y8o8vmgM_maxb18lO800B63qtMBxqZAcamEHHC4kZGGOd-h_-7e4jSmxxEyNwKtYhxgTpsUF5JXFNbmXqO7zjEy_FzIQwHJQCP68FaLyX4VXrspLNDrkKt31B0pXEmkbT2zcvs6zs1LT-VhF0CSTwSAeoWq7nTkEedCZeB5Vg1For7uYqzgHEIcgtEqmdaT44,
"National Science Foundation, N. C. f. S. a. E. S. ",2015,"Doctorate Recipients from U.S. Universities: 2014. Special Report. Arlington, VA.",dataset-370,EndNote SED library 11/7/2017,DOCTORATE RECIPIENTS FROM U.S. UNIVERSITIES: 2014,,https://www.nsf.gov/statistics/2016/nsf16300/digest/nsf16300.pdf,Yes,https://www.nsf.gov/statistics/2016/nsf16300/digest/nsf16300.pdf,this publication is more of a report
"National Science Foundation, N. C. f. S. a. E. S. ",2017,"Doctorate Recipients from U.S. Universities: 2015. Special Report. Arlington, VA.",dataset-370,EndNote SED library 11/7/2017,DOCTORATE RECIPIENTS FROM U.S. UNIVERSITIES: 2015,,https://www.nsf.gov/statistics/2017/nsf17306/static/report/nsf17306.pdf,Yes,https://www.nsf.gov/statistics/2017/nsf17306/static/report/nsf17306.pdf,this publication is more of a report
"Sanderson, A. R., B. L. Dugoni, T. B. Hoffer and S. L. Myers ",2000,"Doctorate Recipients from United States Universities: Summary Report, 1999, NSF.",dataset-370,EndNote SED library 11/7/2017,Doctorate Recipients from United States Universities: Summary Report 1999,,https://wayback.archive-it.org/5902/20150627194721/http://www.nsf.gov/statistics/doctorates/pdf/sed1999.pdf,Yes,https://wayback.archive-it.org/5902/20150627194721/http://www.nsf.gov/statistics/doctorates/pdf/sed1999.pdf,this publication is more of a report
"Teschler, L. ",2005,Does immigration lower engineering wages?,"dataset-370, dataset-371",EndNote SED library 11/7/2017,Does immigration lower engineering wages?,,https://www.machinedesign.com/archive/article/21815982/does-immigration-lower-engineering-wages,Yes,,archived article
"Office_of_Scientific_Personnel, N. R. C. ",1970,"""Employment Status of Recent Recipients of the Doctorate."" Science 168(3934): 930-939.",dataset-370,EndNote SED library 11/7/2017,Employment Status of Recent Recipients of the Doctorate,10.1126/science.168.3934.930,https://doi.org/10.1126/science.168.3934.930,Yes,https://science-sciencemag-org.proxy.library.nyu.edu/content/168/3934/930/tab-pdf,
"Roychowdhury, D. ",2017,"Evaluating the National Institutes of Health-Supported Pre-Doctoral Training Program Based on Research Outcomes. Evaluation 2017, American Evaluation Association conference. Washington, DC.",dataset-370,EndNote SED library 11/7/2017,,,,,,
"Baker, B. D., L. Wolf-Wendel and S. Twombly ",2016,"""Exploring the Faculty Pipeline in Educational Administration: Evidence from the Survey of Earned Doctorates, 1999 to 2000."" Educational Administration Quarterly 43(2): 189-220.",dataset-370,EndNote SED library 11/7/2017,"Exploring the Faculty Pipeline in Educational Administration: Evidence from the Survey of Earned Doctorates, 1999 to 2000",10.1177/0013161X06293716,https://doi.org/10.1177/0013161X06293716,Yes,,
"Frehill, L. M. ",2009,"Faculty of Color in the Professoriate and Science and Engineering. Pacific Sociological Association conference. San Diego, CA.","dataset-370, dataset-371, dataset-941, dataset-428, dataset-951, dataset-970",EndNote SED library 11/7/2017,Faculty of Color in the Professoriate and Science and Engineering,,https://www.researchgate.net/publication/301614316_Faculty_of_Color_in_the_Professoriate_and_Science_and_Engineering,Yes,,
"Chang, W.-Y., W. Cheng, J. Lane and B. Weinberg ",2017,"FEDERAL FUNDING OF DOCTORAL RECIPIENTS: RESULTS FROM NEW LINKED SURVEY AND TRANSACTION DATA, NBER.","dataset-370, dataset-328",EndNote SED library 11/7/2017,Federal Funding of Doctoral Recipients: Results from new Linked Survey and Transaction Data,10.3386/w23019,https://www.nber.org/papers/w23019,Yes,https://www.nber.org/papers/w23019.pdf,
"Moskal, B. ",2002,"""Female computer science doctorates: what does the survey of earned doctorates reveal?"" ACM SIGCSE Bulletin - Women and Computing 34(2): 105-111.",dataset-370,EndNote SED library 11/7/2017,Female computer science doctorates: what does the survey of earned doctorates reveal?,10.1145/543812.543841Ê,https://doi.org/10.1145/543812.543841Ê,Yes,,
"Ginther, D. K. ",2004,Gender Differences in Salary and Promotion in Political Science. American Political Science Association annual meetings.,dataset-370,EndNote SED library 11/7/2017,Gender Differences in Salary and Promotion in Political,,https://www.researchgate.net/publication/228430860_Gender_Differences_in_Salary_and_Promotion_in_Political_Science,Yes,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.595.4036&rep=rep1&type=pdf,
"Umbach, P. D. ",2006,"""Gender equity in the academic labor market: an analysis of academic disciplines."" Research in Higher Education 48(2): 169-192.","dataset-370, dataset-941",EndNote SED library 11/7/2017,Gender Equity in the Academic Labor Market: An Analysis of Academic Disciplines,10.1007/s11162-006-9043-2,https://doi.org/10.1007/s11162-006-9043-2,Yes,https://www-jstor-org.proxy.library.nyu.edu/stable/pdf/25704499.pdf?refreqid=excelsior%3A170d522251afd0e2eb135e2f0388df98,
"Teele, D. L. and K. Thelen ",2017,"""Gender in the Journals: Publication Patterns in Political Science."" PS: Political Science & Politics 50(02): 433-447.",dataset-370,EndNote SED library 11/7/2017,Gender in the Journals: Publication Patterns in Political Science,,https://www.researchgate.net/publication/315986028_Gender_in_the_Journals_Publication_Patterns_in_Political_Science,No,,
"Stephan, P. ",2012,How Economics Shapes Science.,dataset-370,EndNote SED library 11/7/2017,,,,,,book
