title,doi,url,pdf,dataset
The Cost of Asset Testing for the CalWORKs Program - January 2015,,,https://www.earn.org/wp-content/uploads/2015/03/CalWORKs_2015.pdf,"dataset-747, dataset-748, dataset-749, dataset-745, dataset-750"
The Failure of TANF Work Requirements in 2015: The Need for “A Much Better Way” ,,,https://mlwiseman.com/wp-content/uploads/2016/05/The-Failure-of-TANF-Work-Requirements.2015.pdf,"dataset-744, dataset-071, dataset-746, dataset-182, dataset-305"
Barriers to Work: CalWORKs Parents Timed-out or Sanctioned in Five Counties,,,https://cfpic.org/sites/default/files/CalWORKsChildOnlyStudyReport2.pdf,dataset-348
Sanctions and Time Limits in California’s Welfare Program ,,,https://www.ppic.org/content/pubs/report/R_409CDR.pdf,"dataset-297, dataset-744, dataset-047, dataset-082"
An Evaluation of the Utilization and Effectiveness of Four Homeless Assistance Programs for CalWORKs Families ,,,http://file.lacounty.gov/SDSInter/dpss/234031_AnEvaluationoftheUtilizationandEffectivenessofFourHomelessAssistanceProgramsforCalWORKsFamilies2010.pdf,"dataset-305, dataset-844, dataset-845"
SPENDING ON COUNTY HUMAN SERVICES PROGRAMS IN CALIFORNIA: AN EVALUATION OF ECONOMIC IMPACTS ,,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.178.9684&rep=rep1&type=pdf,"dataset-348, dataset-311, dataset-310, dataset-373, dataset-846, dataset-243"
Child-only CalWORKs Study Report #1: When Adults Are Left Out: CalWORKs Child-only Cases in Seven Counties ,,,https://cfpic.org/sites/default/files/CalWORKsChildOnlyStudyReport1.pdf,"dataset-747, dataset-311"
State Approaches to the TANF Block Grant: Welfare Is Not What You Think It Is ,,,https://www.urban.org/sites/default/files/publication/25731/412635-State-Approaches-to-the-TANF-Block-Grant-Welfare-Is-Not-What-You-Think-It-Is.PDF,"dataset-747, dataset-745, dataset-750, dataset-084, dataset-086, dataset-148, dataset-077, dataset-826, dataset-082"
Connections Between TANF and SSI: Lessons from the TANF/SSI Disability Transition Project ,,,https://www.acf.hhs.gov/sites/default/files/opre/tanf_ssi_project_summ_4_full_report.pdf,"dataset-071, dataset-064, dataset-084, dataset-086, dataset-104, dataset-107, dataset-747"
Mediating Impact of Social Capital and Human Capital on Employment Outcome among Single Women Who Use Welfare: A Structural Equation Model ,,,https://etd.ohiolink.edu/!etd.send_file?accession=osu1306905684&disposition=inline,dataset-752
"Reducing Child Poverty in California: A Look at Housing Costs, Wages, and the Safety Net",,,https://www.ppic.org/wp-content/uploads/r_1117sbr.pdf,"dataset-046, dataset-064, dataset-747, dataset-847, dataset-848"
Longitudinal Survey of Unemployment Insurance Recipients in Two Regions in California ,,,https://www.dol.gov/sites/dolgov/files/OASP/legacy/files/UI-Longitudinal-Survey.pdf,"dataset-097, dataset-343"
Evaluation of the SB 1041 Reforms to California's CalWORKs Program: Background and Study Design,,,https://www.rand.org/content/dam/rand/pubs/research_reports/RR900/RR919/RAND_RR919.pdf,"dataset-833, dataset-097, dataset-266, dataset-062, dataset-348"
Coordinating Employment Services Across the TANF and WIA Programs: OPRE Report 2015-04,,,https://www.acf.hhs.gov/sites/default/files/opre/coordinating_employment_services_across_the_tanf_and_wia_programs.pdf,"dataset-348, dataset-851, dataset-084, dataset-852, dataset-107, dataset-104, dataset-148, dataset-288"
A Descriptive Study of County- versus State-Administered Temporary Assistance for Needy Families Programs ,,,https://www.urban.org/sites/default/files/publication/53576/2000245-A-Descriptive-Study-of-County-Versus-State-Administered-Temporary-Assistance-for-Needy-Families-Programs.pdf,"dataset-348, dataset-209, dataset-107, dataset-231"
Testing Two Subsidized Employment Approaches for Recipients of Temporary Assistance for Needy Families: Implementation and Early Impacts of the Los Angeles County Transitional Subsidized Employment Program,,,https://www.mdrc.org/sites/default/files/STED-LA_2016_FR.pdf,"dataset-274, dataset-844, dataset-296"
