title,doi,url,pdf,dataset
"Minnesota Family Investment Program Child-only Cases, Caregivers, and Children - June 2010",,,https://www.leg.state.mn.us/docs/2010/mandated/100374.pdf,"dataset-128, dataset-257, dataset-176, dataset-809"
The Four Rs of Service Delivery for MFIP Teen Parents: Approaches of Eight Minnesota Counties,,,https://edocs.dhs.state.mn.us/lfserver/Public/DHS-6517-ENG,dataset-128
Minnesota Family Investment Program and Children’s Mental Health Pilot Evaluation - January 2010,,,https://www.leg.state.mn.us/docs/2010/mandated/100374.pdf,"dataset-128, dataset-810"
At the Limit: MFIP Participants Who Reached the Time Limit in 2014,,,https://www.leg.state.mn.us/docs/2015/other/151214.pdf,"dataset-128, dataset-176"
TANF and the First Year of Life - Making a Difference at a Pivotal Moment,,,https://www.clasp.org/sites/default/files/public/resources-and-publications/body/TANF-and-the-First-Year-of-Life_Making-a-Difference-at-a-Pivotal-Moment.pdf,"dataset-047, dataset-071, dataset-046, dataset-026, dataset-811"
Minnesota Family Investment Program Longitudinal Study: Five Years from Baseline and Beyond,,,https://www.leg.state.mn.us/docs/2010/other/100954.pdf,"dataset-128, dataset-107, dataset-064, dataset-812, dataset-823, dataset-820"
Minnesota Parent Support Outreach Program Evaluation - Final Report,,,http://www.iarstl.org/papers/PSOPFinalReport.pdf,"dataset-824, dataset-128, dataset-825"
Communiversity - Family Stabilization Research for Informed Program Implementation and Public Policy Evaluation,,,https://conservancy.umn.edu/bitstream/handle/11299/195675/CMV-009.pdf?sequence=1&isAllowed=y,dataset-128
The Minnesota Integrated Services Project: Final Report on an Initiative to Improve Outcomes for Hard-to-Employ Welfare Recipients,,,https://www.urban.org/sites/default/files/publication/46741/411550-Minnesota-Integrated-Services-Project.PDF,"dataset-128, dataset-176, dataset-064"
"The Economy's Impact on Welfare Reform Participants' Employment Opportunities In Ramsey County, Minnesota: A Mixed Effects Regression Analysis",,,https://conservancy.umn.edu/bitstream/handle/11299/193436/Walvig_umn_0130E_18767.pdf?sequence=1&isAllowed=y,"dataset-107, dataset-128, dataset-619, dataset-826, dataset-657, dataset-812, dataset-810"
An Evaluation of the Workforce Investment Act Adult Program in Minnesota: Lessons from the Financial Crisis,,,https://www.econstor.eu/bitstream/10419/145241/1/dp10107.pdf,"dataset-828, dataset-176, dataset-810, dataset-829, dataset-128, dataset-830"
“I haven’t been able to do it on my own:” Experiences of teen parents on the Minnesota Family Investment Program ,,,https://sophia.stkate.edu/cgi/viewcontent.cgi?article=1349&context=msw_papers,dataset-128
Connections Between TANF and SSI: Lessons from the TANF/SSI Disability Transition Project ,,,https://www.acf.hhs.gov/sites/default/files/opre/tanf_ssi_project_summ_4_full_report.pdf,"dataset-071, dataset-064, dataset-084, dataset-086, dataset-104, dataset-107, dataset-747"
