access_requirements,source_url,data_classification,data_provider,data_steward,adrf_id,geographical_coverage,geographical_unit,category,temporal_coverage_end,dataset_citation,external_id,data_usage_policy,filenames,access_actions_required,reference_url,data_steward_org,keywords,temporal_coverage_start,title,dataset_version,alias,dataset_documentation,dataset_header_desc,description,related_articles,source_archive
OnSite,,Restricted,"Deutsche Bundesbank, Statistics Department (S), Monetary and financial statistics (S 1), External positions of banks (S 12)",Deutsche Bundesbank,,Worldwide,,"BalanceSheet,BanksDepositoryInstitutions,InternationalBusiness",2016-12,"Deutsche Bundesbank 2017. External Position of Banks. https://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_external_position.html, 1 [Version].",inexda.4.1,,,,https://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_external_position.html,"Deutsche Bundesbank, Statistics Department (S), Monetary and financial statistics (S 1), External positions of banks (S 12)","MFI,banks,loans,External position of banks",2002-03,External Position of Banks,1,AUSTA,,,The external position of banks shows the assets and liabilities of banks in Germany and their foreign branches and subsidiaries vis-à-vis non-residents. The microdatabase is based on the individual monthly reports of all German banks dating back to January 2003.,,Deutsche Bundesbank Research Data Centre
OnSite,,Restricted,Deutsche Bundesbank,Deutsche Bundesbank,,,,"Non-financialCorporations,Households,Loans,Banks,BanksDepositoryInstitutions",,"Deutsche Bundesbank . Quarterly borrower statistics. https://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_kredit.html?https=1, 1 [Version].",inexda.4.16,,,,https://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_kredit.html?https=1,Deutsche Bundesbank,,,Quarterly borrower statistics,1,VJKRE,,,"Domestic banks’ (MFIs) lending operations to enterprises and households in Germany reported in the monthly balance sheet statistics are broken down further by economic sector in the quarterly borrowers statistics. These statistics are intended to provide information on the pattern of, and changes in, lending operations with the principal groups of private borrowers. In addition, housing loans (mortgage loans secured by residential real estate and other non-mortgage housing loans) are shown separately in these statistics. Since December 2008, the data have been collected and published on the basis of the classification of economic sectors (WZ 2008) used by the Federal Statistical Office.",,Deutsche Bundesbank Research Data Centre
OnSite,,Restricted,"Deutsche Bundesbank, Statistics Department (S), General Economic Statistics (S3)",Deutsche Bundesbank,,Germany,,,,"Deutsche Bundesbank 2017. Corporate balance sheets (USTAN). http://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_ustan.html, 1 [Version].",inexda.4.14,,,,http://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_ustan.html,"Deutsche Bundesbank, Statistics Department (S), General Economic Statistics (S3)","Non-financial Corporations, Balance Sheet, Profit and Loss",,Corporate balance sheets,1,USTAN,,,"The database of the Corporate Balance Sheets (Ustan) comprises annual financial statements of non-financial corporations and is formed in the context of the refinancing business. In discharging her monetary policy duty the Deutsche Bundesbank grants refinancing loans to domestic credit institutions. But there are collaterals eligible for refinancing at the central bank required as a prerequisite, like book credits to domestic non-financial enterprises. In order to control the intrinsic value of the securities the annual financial statements of the non-financial enterprises have to be submitted to the Bundesbank where they serve as a fundament for credit rating.",,Deutsche Bundesbank Research Data Centre
OnSite,,Restricted,"Deutsche Bundesbank, Statistics Department (S), Securities and Money Market Statistics Division",Deutsche Bundesbank,,"Reporting Agents: Germany,Safe Custody Accounts: Germany,Safe Custody Accounts of Domestic Reporting Agents’ own Holdings: Worldwide,Securities: Worldwide",,"BanksDepositoryInstitutions,FinancialMarket",2016-03,"Deutsche Bundesbank 2016. Securities Holdings Statistics - Base. http://www.bundesbank.de/Redaktion/DE/Standardartikel/Bundesbank/Forschungszentrum/forschungsdaten_mikrodaten_wertpapierinvestments.html, 1 [Version].",inexda.4.3,,,,http://www.bundesbank.de/Redaktion/DE/Standardartikel/Bundesbank/Forschungszentrum/forschungsdaten_mikrodaten_wertpapierinvestments.html,"Deutsche Bundesbank, Statistics Department (S), Securities and Money Market Statistics Division","Security Holdings,Financial Markets,Banking Researc,Household Finance,Behavioral Finance,SHS-Base",2005-12,Securities Holdings Statistics - Base,1,SHS-BASE,,,"The SHS-Base is the core module of the Deutsche Bundesbank’s Securities Holdings Statistics (WpInvest). The motive behind creating the SHS-Base is to be able to answer the question: “Who holds what from whom and how much?”. Financial institutions domiciled in Germany report securities which they hold for domestic or foreign customers (“custodian-approach”). In addition, domestic banks provide information about their own holdings, irrespective of where the securities are held. Reporting agents are domestic banks (monetary financial institutions excluding money market funds), domestic investment companies and “other” domestic investment companies.",,Deutsche Bundesbank Research Data Centre
Delivery,,Restricted,"Schmidt, Tobias (Deutsche Bundesbank)","Schmidt, Tobias (Deutsche Bundesbank)",,,,"Loans,Employment,DemographicSituation,PensionFunds",,"Deutsche Bundesbank 2016. Panel on Household Finances. https://www.bundesbank.de/Navigation/EN/Bundesbank/Research/Panel_on_household_finances/Data_access_and_data_protection/data_access_and_data_protection.html, 1 [Version].",inexda.4.7,,,,https://www.bundesbank.de/Navigation/EN/Bundesbank/Research/Panel_on_household_finances/Data_access_and_data_protection/data_access_and_data_protection.html,"Deutsche Bundesbank, Statistics Department (S), Securities and Money Market Statistics Division","Real assets and their financing,Other liabilties/credit constraints,Private businesses and financial assets,Intergenerational transfers and gifts,Pensions and insurance",,Panel on Household Finances,1,PHF,,,"The German Panel on Household Finances (PHF) is a panel survey on household finance and wealth in Germany, covering the balance sheet, pension, income, work life and other demographic characteristics. The panel survey is conducted by the research centre of the Deutsche Bundesbank.",,Deutsche Bundesbank Research Data Centre
OnSite,,Restricted,"Deutsche Bundesbank, Statistics Department (S), Securities and Money Market Statistics Division (S 5), Capital Markets Statistics (S 52)",Deutsche Bundesbank,,"Reporting Agents: Germany,Securities: Worldwide",,"Securities,FinancialMarket",2017-03,"Deutsche Bundesbank. 2017. Investment Funds Statistics - Base. https://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_investment_funds_statistics.html, 1 [Version].",inexda.4.5,,,,https://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_investment_funds_statistics.html,"Deutsche Bundesbank, Statistics Department (S), Securities and Money Market Statistics Division (S 5), Capital Markets Statistics (S 52)","Investment Funds,Funds,IFS,IFS-Base,Money Market Fund,MMFs,Financial Markets,Banking Research,Shadow Banking,Behavioral Finance,Financial Stability",2009-09,Investment Funds Statistics - Base,1,IFS-BASE,,,The “Investment Funds Statistics-Base” (IFS-Base) is the core module of the Deutsche Bundesbank’s Investment Funds Statistics (IFS). The motive behind creating the IFS-Base is to get detailed information about the assets and liabilities of German investment funds (public and specialised funds).,,Deutsche Bundesbank Research Data Centre
OnSite,,Restricted,"Deutsche Bundesbank, Statistics Department (S), Securites and Money Market Statistics (S 5), Interest Rate and Money Market Statistics (S 51)",Deutsche Bundesbank,,,,"BanksDepositoryInstitutions,Loans",2016-12,"Deutsche Bundesbank. 2017. MFI Interest Rate Statistics. http://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_mir.html, 1 [Version].",inexda.4.2,,,,http://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_mir.html,"Deutsche Bundesbank, Statistics Department (S), Securites and Money Market Statistics (S 5), Interest Rate and Money Market Statistics (S 51)","MFI,bank,interest rates,new business,outstanding amounts,loans,deposits",2003-01,MFI Interest Rate Statistics,1,ZISTA,,,"The data are collected within the framework of the MFI interest rate statistics on a harmonised basis in the euro area since January 2003, fulfilling the requirements of Regulation ECB/2001/18. These data supply essential information for the analysis of monetary developments and the monetary transmission mechanism as well as for monitoring financial stability. In addition, this survey allows to compare interest rate levels across the ESCB. The MFI interest rate statistics are based on the interest rates applied by monetary financial institutions in Germany (MFIs = banks) and the corresponding volumes of new business in the reporting month as well as of all contracts outstanding at the end of the month for euro-denominated deposits from and loans to households and non-financial corporations domiciled in the euro area.",,Deutsche Bundesbank Research Data Centre
Delivery,,Restricted,Organisation for Economic Co-operation and Development (OECD),Organisation for Economic Co-operation and Development (OECD),,Germany,,,,"Organisation for Economic Co-operation and Development (OECD). OECD Survey on Adult Financial Literacy in Germany. http://www.oecd.org/finance/financial-education/2015finlitmeasurementexercise.htm, 1 [Version].",inexda.4.15,,,,http://www.oecd.org/finance/financial-education/2015finlitmeasurementexercise.htm,,"Household Finance, Demographic Situation",,OECD Survey on Adult Financial Literacy in Germany,1,,,,"The survey is designed to collect relevant information about respondents’ financial knowledge, behaviour and attitudes, as well as on their awareness und holding of financial products. It is used to develop financial literacy scores and measures of financial inclusion. The questionnaire comprises 40 questions and covers topics such as keeping track of finances, making-ends-meet, longer-term financial planning and choosing financial products. The survey is meant to provide reliable data that helps to design national strategies for financial education and financial inclusion and to target groups most in need. As part of the German G20 presidency, Germany has taken part for the first time in the 2nd international measurement exercise of financial literacy co-ordinated by the OECD.",,
NotAvailable,,Restricted,Deutsche Bundesbank,Deutsche Bundesbank,,Banks: Germany; Borrowers: worldwide,,"Non-financialCorporations,OtherMonetaryFinancialInstitutions,Households,Loans,FinancialDerivatives,TradeCreditsAndAdvances,Banks,BanksDepositoryInstitutions,FinancialStability",,"Deutsche Bundesbank 2018. BAKIS-M. , 1 [Version].",inexda.4.17,,,,,Deutsche Bundesbank,,,BAKIS-M,1,BAKIS,,,The credit register maintained by the Deutsche Bundesbank records all loans of 1.5 million Euro or more granted to a single borrower during the previous quarter and then notifies the lenders of the overall indebtedness of their borrowers.,,Deutsche Bundesbank Research Data Centre
OnSite,,Restricted,"Deutsche Bundesbank, Statistics Departement (S),Monetary and Financial Statistics (S 1), Monthly balance sheet statistics (S 10)",Deutsche Bundesbank,,Germany,,,,"Deutsche Bundesbank. 2017. Monthly balance sheet statistics (BISTA). https://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_bista.html, 1 [Version].",inexda.4.13,,,,https://www.bundesbank.de/Redaktion/EN/Standardartikel/Bundesbank/Research_Centre/research_data_micro_data_bista.html,"Deutsche Bundesbank, Statistics Departement (S),Monetary and Financial Statistics (S 1), Monthly balance sheet statistics (S 10)","Banks, Depository Institutions, Balance Sheet",,Monthly balance sheet statistics,1,BISTA,,,The monthly balance sheet statistics list domestic banks (MFIs)' assets and liabilities based on the books at the end of the month. They thus represent the most comprehensive statistical survey of the banking industry in Germany and are at the core of the banking statistics reporting system.,,Deutsche Bundesbank Research Data Centre
