doi,journal,title,dataset_name
10.2139/ssrn.2756191 ,BBk Discussion Paper,How does P2P lending fit into the consumer credit market?,MFI Interest Rate Statistics
10.1016/j.jimonfin.2018.08.012 ,BBk Discussion Paper,International monetary policy spillovers through the bank funding channel,External Position of Banks
10.1016/j.jimonfin.2018.08.012 ,BBk Discussion Paper,International monetary policy spillovers through the bank funding channel,Monthly balance sheet statistics
,BBk Discussion Paper,Cheap Talk? Financial Sanctions and Non-Financial Activity,Statistics on International Trade in Services
,BBk Discussion Paper,Cheap Talk? Financial Sanctions and Non-Financial Activity,Corporate balance sheets
,BBk Discussion Paper,"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",Monthly balance sheet statistics
,BBk Discussion Paper,"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",Centralised Securities Database
,BBk Discussion Paper,"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",Securities Holdings Statistics - Base
,BBk Discussion Paper,"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",Statistics of the banks’ profit and loss accounts
,BBk Discussion Paper,"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",MFI Interest Rate Statistics
,BBk Discussion Paper,Bargaining power and outside options in the interbank lending market,TARGET2
,BBk Discussion Paper,A Comprehensive View on Risk Reporting: Evidence From Supervisory Data,Monthly balance sheet statistics
,BBk Discussion Paper,A Comprehensive View on Risk Reporting: Evidence From Supervisory Data,MiMiK
,BBk Discussion Paper,A Comprehensive View on Risk Reporting: Evidence From Supervisory Data,Securities Holdings Statistics - Base
,BBk Discussion Paper,A Comprehensive View on Risk Reporting: Evidence From Supervisory Data,Statistics of the banks’ profit and loss accounts
,BBk Discussion Paper,The Financial Market Effects of the ECB's Asset Purchase Programs,Monthly balance sheet statistics
,BBk Discussion Paper,Will German banks earn their cost of capital?,Statistics of the banks’ profit and loss accounts
,BBk Discussion Paper,Will German banks earn their cost of capital?,MFI Interest Rate Statistics
,BBk Discussion Paper,Love and money with inheritance - marital sorting by labor income and inherited wealth in the modern partnership,Panel on Household Finances
,BBk Discussion Paper,Interbank Intermediation,Monthly balance sheet statistics
,BBk Discussion Paper,Interbank Intermediation,MiMiK
,BBk Discussion Paper,Why do banks bear interest rate risk?,BAKIS-M
,BBk Discussion Paper,Why do banks bear interest rate risk?,Monthly balance sheet statistics
,BBk Discussion Paper,Why do banks bear interest rate risk?,MFI Interest Rate Statistics
,BBk Discussion Paper,A new perspective on the interest rate pass-through to non-maturing accounts,MFI Interest Rate Statistics
,BBk Discussion Paper,Vulnerable asset management? The case of mutual funds,MiMiK
,BBk Discussion Paper,Vulnerable asset management? The case of mutual funds,Securities Holdings Statistics - Base
,BBk Discussion Paper,Vulnerable asset management? The case of mutual funds,Investment Funds Statistics - Base
,BBk Discussion Paper,International Banking and Cross-Border Effects of Regulation: Lessons from Germany,External Position of Banks
,BBk Discussion Paper,International Banking and Cross-Border Effects of Regulation: Lessons from Germany,Monthly balance sheet statistics
,BBk Discussion Paper,The Effect of Investing Abroad on Investment at Home,Microdatabase Direct Investment
,BBk Discussion Paper,The Effect of Investing Abroad on Investment at Home,Corporate balance sheets
,BBk Discussion Paper,Banks‚Äô Equity Stakes and Lending: Evidence from a Tax Reform,BAKIS-M
,BBk Discussion Paper,Banks‚Äô Equity Stakes and Lending: Evidence from a Tax Reform,Monthly balance sheet statistics
,BBk Discussion Paper,Banks‚Äô Equity Stakes and Lending: Evidence from a Tax Reform,MiMiK
,BBk Discussion Paper,Banks‚Äô Equity Stakes and Lending: Evidence from a Tax Reform,Corporate balance sheets
,BBk Discussion Paper,M-PRESS-CreditRisk: A holistic micro- and macro-prudential approach to capital requirements,BAKIS-M
,BBk Discussion Paper,M-PRESS-CreditRisk: A holistic micro- and macro-prudential approach to capital requirements,MiMiK
,BBk Discussion Paper,Cross-border transmission of emergency liquidity,BAKIS-M
,BBk Discussion Paper,Cross-border transmission of emergency liquidity,Monthly balance sheet statistics
,BBk Discussion Paper,Cross-border transmission of emergency liquidity,MFI Interest Rate Statistics
