dataset_id,dataset_string,dataset_title,doi,journal,title,used dataset?
dataset-371,SDR,Survey of Doctorate Recipients,10.18400/tekderg.509468,Teknik Dergi,Cost Efficient Design of Mechanically Stabilized Earth Walls Using Adaptive Dimensional Search Algorithm,No
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.ijleo.2019.163552,Optik,Performance assessment of GNSS scalar and vector frequency tracking loops,No
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.chemosphere.2019.124907,Chemosphere,Silicon regulates the expression of vacuolar H+-pyrophosphatase 1 and decreases cadmium accumulation in rice (Oryza sativa L.),No
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.foodcont.2018.12.010,Food Control,Validation of QuEChERS for screening of 4 marker polycyclic aromatic hydrocarbons in fish and malt.,No
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.jimonfin.2019.102093,Journal of International Money and Finance,Revisiting the Pass-Through of Exchange Rate in the Transition Economies: New Evidence from New EU Member States,No
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.renene.2019.07.035,Renewable Energy,Long-term performance and life cycle assessment of energy piles in three different climatic conditions,No
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.ejor.2019.08.016,European Journal of Operational Research,A Second-order Cone Model of Transmission Planning with Alternating and Direct Current Lines,No
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.molstruc.2019.127160,Journal of Molecular Structure,Luminescent properties of heterometallic β-dicarbonyl complexes and polymers on their basis,No
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.ssci.2019.104520,Safety Science,Organisational and costing aspects to prevent wildlife strikes on airports: A case study of Spanish airport security managers,No
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.anucene.2019.106992,Annals of Nuclear Energy,Improvements of subgroup method based on fine group slowing-down calculation for resonance self-shielding treatment,No
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.still.2019.104449,Soil and Tillage Research,Multiple AI model integration strategy—Application to saturated hydraulic conductivity prediction from easily available soil properties,No
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.marpetgeo.2019.104072,Marine and Petroleum Geology,Risks inherent in the Cenozoic stratigraphic plays in basins of the Uruguayan continental margin,No
dataset-371,SDR,Survey of Doctorate Recipients,10.1016/j.inffus.2019.07.002,Information Fusion,Multi-Sensor Fusion Based Intelligent Sensor Relocation for Health and Safety Monitoring in BSNs,No
