dataset_id,dataset_string,dataset_title,doi,journal,title,used dataset?,link
dataset-370,SED,Survey of Earned Doctorates,10.1016/j.cmpb.2019.105147,Computer Methods and Programs in Biomedicine,A new microfluidic device for separating circulating tumor cells based on their physical properties by using electrophoresis and dielectrophoresis forces within an electrical field,No,www.doi.org/10.1016/j.cmpb.2019.105147
dataset-370,SED,Survey of Earned Doctorates,10.1016/j.eswa.2019.113000,Expert Systems with Applications,A Multi-Objective Optimization Procedure for Solving the High-Order Epistasis Detection Problem,No,www.doi.org/10.1016/j.eswa.2019.113000
dataset-370,SED,Survey of Earned Doctorates,10.1016/j.jdeveco.2019.102388,Journal of Development Economics,"Technology adoption, capital deepening, and international productivity differences",No,www.doi.org/10.1016/j.jdeveco.2019.102388
dataset-370,SED,Survey of Earned Doctorates,10.1016/j.eswa.2019.112944,Expert Systems with Applications,Bagging of Credal Decision Trees for Imprecise Classification,No,www.doi.org/10.1016/j.eswa.2019.112944
dataset-370,SED,Survey of Earned Doctorates,10.1016/j.atmosres.2019.104695,Atmospheric Research,Spatiotemporal changes of drought characteristics and their dynamic drivers in Canada,No,www.doi.org/10.1016/j.atmosres.2019.104695
dataset-370,SED,Survey of Earned Doctorates,10.1016/j.jhazmat.2019.121300,Journal of Hazardous Materials,Sono-electrodeposition of novel Bismuth Sulfide films on the stainless steel mesh: photocatalytic reduction of Cr (VI),No,www.doi.org/10.1016/j.jhazmat.2019.121300
dataset-370,SED,Survey of Earned Doctorates,10.1016/j.marpetgeo.2019.104059,Marine and Petroleum Geology,"Influence of volcanic and hydrothermal activity on organic matter enrichment in the Upper Triassic Yanchang Formation, southern Ordos Basin, Central China",No,www.doi.org/10.1016/j.marpetgeo.2019.104059
dataset-370,SED,Survey of Earned Doctorates,10.1016/j.marpetgeo.2019.104076,Marine and Petroleum Geology,"Sedimentology and reservoir quality of a Messinian mixed siliciclastic-carbonate succession, onshore Nile Delta, Egypt",No,www.doi.org/10.1016/j.marpetgeo.2019.104076
dataset-370,SED,Survey of Earned Doctorates,10.1016/j.still.2019.104434,Soil and Tillage Research,Soil acidity in the Argentine Pampas: Effects of land use and management,No,www.doi.org/10.1016/j.still.2019.104434
dataset-370,SED,Survey of Earned Doctorates,10.1016/j.marpetgeo.2019.104075,Marine and Petroleum Geology,"Reservoir quality controls on Rotliegend fluvio-aeolian wells in Germany and the Netherlands, Southern Permian Basin – Impact of grain coatings and cements",No,www.doi.org/10.1016/j.marpetgeo.2019.104075
dataset-370,SED,Survey of Earned Doctorates,10.1016/j.jpcs.2019.109212,Journal of Physics and Chemistry of Solids,Intrinsic red luminescence of Eu3+-activated lanthanum molybdate: Insights into the spectroscopic features using Judd–Ofelt theoretical analysis,No,www.doi.org/10.1016/j.jpcs.2019.109212
dataset-370,SED,Survey of Earned Doctorates,10.1016/j.gr.2019.08.004,Gondwana Research,"Petrogenesis and mantle source characteristics of the late Cenozoic Baekdusan (Changbaishan) basalts, North China Craton",No,www.doi.org/10.1016/j.gr.2019.08.004
dataset-370,SED,Survey of Earned Doctorates,10.1016/j.molstruc.2019.127128,Journal of Molecular Structure,Quantitative Structure-Activity Relationships Study of a Series of Niacinamide Analogues as Androgen Receptor Antagonists,No,www.doi.org/10.1016/j.molstruc.2019.127128
dataset-370,SED,Survey of Earned Doctorates,10.1016/j.marpetgeo.2019.104064,Marine and Petroleum Geology,On the origins of eogenetic chlorite in verdine facies sedimentary rocks from the Gabon Basin in West Africa,No,www.doi.org/10.1016/j.marpetgeo.2019.104064
dataset-370,SED,Survey of Earned Doctorates,10.1016/j.catena.2019.104263,Catena,Holocene coastal evolution of the transition from transgressive to regressive barrier in southern Brazil,No,www.doi.org/10.1016/j.catena.2019.104263
dataset-370,SED,Survey of Earned Doctorates,10.1016/j.marpetgeo.2019.104082,Marine and Petroleum Geology,"Sedimentology and facies analysis of ancient sand ridges: Jurassic Rogn Formation, Trøndelag Platform, offshore Norway",No,www.doi.org/10.1016/j.marpetgeo.2019.104082
dataset-370,SED,Survey of Earned Doctorates,10.1016/j.fuel.2019.116412,Fuel,Experimental constraints on the evolution of organic matter in oil shales during heating: Implications for enhanced in situ oil recovery from oil shales,No,www.doi.org/10.1016/j.fuel.2019.116412
dataset-370,SED,Survey of Earned Doctorates,10.1016/j.cretres.2019.104215,Cretaceous Research,"An austral fern assemblage from the Upper Cretaceous (Campanian) beds of Cerro Guido, Magallanes Basin, Chilean Patagonia",No,www.doi.org/10.1016/j.cretres.2019.104215
dataset-370,SED,Survey of Earned Doctorates,10.1016/j.ecolind.2019.105780,Ecological Indicators,"Interactive effects of co-occurring anthropogenic stressors on the seagrass, Zostera noltei",No,www.doi.org/10.1016/j.ecolind.2019.105780
dataset-370,SED,Survey of Earned Doctorates,10.1016/j.still.2019.104447,Soil and Tillage Research,"Sugarcane production in the subtropics: Seasonal changes in soil properties and crop yield in no-tillage, inverting and minimum tillage",No,www.doi.org/10.1016/j.still.2019.104447
dataset-370,SESTAT,Survey of Earned Doctorates,10.1016/j.jbvi.2019.e00131,Journal of Business Venturing Insights,Are transitions to self-employment beneficial?,Yes,www.doi.org/10.1016/j.jbvi.2019.e00131
dataset-370,SESTAT,Survey of Earned Doctorates,10.1177/0019793918819809,ILR Review,Academic Entrepreneurship: The Bayh-Dole Act versus the Professor’s Privilege,Yes,www.doi.org/10.1177/0019793918819809
dataset-370,SESTAT,Survey of Earned Doctorates,10.1073/pnas.1820079116,Proceedings of the National Academy of Sciences,Why foreign STEM PhDs are unlikely to work for US technology startups,Yes,www.doi.org/10.1073/pnas.1820079116
dataset-370,SESTAT,Survey of Earned Doctorates,10.1093/scipol/scz039,Science and Public Policy,"Investigating the US biomedical workforce: gender, field of training, and retention",Yes,www.doi.org/10.1093/scipol/scz039
dataset-370,SESTAT,Survey of Earned Doctorates,10.1080/17421772.2019.1636127,Spatial Economic Analysis,"On the nexus between innovation, productivity and migration of US university graduates",Yes,www.doi.org/10.1080/17421772.2019.1636127
dataset-370,SESTAT,Survey of Earned Doctorates,10.1002/jee.20284,Journal of Engineering Education,Investigation of an equity ethic in engineering and computing doctoral students,Yes,www.doi.org/10.1002/jee.20284
