publication title,dataset title,dataset id,publication doi,publication url,publication journal
Trends in and influence of regional federally funded research and development in the US,FedREPORTER,dataset-427,1721.1/117893,https://dspace.mit.edu/handle/1721.1/117893,DSpace@MIT
"New linked data on research investments: Scientific workforce, productivity, and public value",FedREPORTER,dataset-427,10.1016/j.respol.2014.12.013,https://www.sciencedirect.com/science/article/pii/S0048733315000025,Research Policy
"Religious Organizations Bringing Sustainability Closer to Reality: Academic Contributions to Environmental Sustainability and Climate Resilience that Can Help Faith Leaders Build Communities that Are Environmentally, Socially and Economically Sustainable: Part 1—A Literature Review",FedREPORTER,dataset-427,10.1007/978-3-319-95336-6_8,https://link.springer.com/chapter/10.1007/978-3-319-95336-6_8,Sustainability and the Humanities
The librarian as research informationist: a case study,FedREPORTER,dataset-427,10.3163/1536-5050.101.4.011,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3794685/,Journal of the Medical Library Association
"Race, Ethinicity, and NIH Research Awards",FedREPORTER,dataset-427,10.1126/science.1196783,https://science.sciencemag.org/content/333/6045/1015,Science Magazine
Waypoints for Evaluating Big Science,FedREPORTER,dataset-427,10.1111/ssqu.12467,https://onlinelibrary.wiley.com/doi/full/10.1111/ssqu.12467,Social Science Quarterly
Funding and Publication of Research on Gun Violence and Other Leading Causes of Death,FedREPORTER,dataset-427,10.1001/jama.2016.16215,https://jamanetwork.com/journals/jama/article-abstract/2595514,Research Letter
"Sustaining Progress Toward LGBT Health Equity: A Time for Vigilance, Advocacy, and Scientific Inquiry",FedREPORTER,dataset-427,10.1089/lgbt.2016.0211,https://www.liebertpub.com/doi/full/10.1089/lgbt.2016.0211,LGBT Health
Dynamics of co-authorship and productivity across different fields of scientific research,FedREPORTER,dataset-427,10.1371/journal.pone.0189742,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0189742,PLOS One
Hepatitis E should be considered a neglected tropical disease,FedREPORTER,dataset-427,10.1371/journal.pntd.0007453,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6657817/,PLOS One
Government Cloud Computing Policies: Potential Opportunities for Advancing Military Biomedical Research,FedREPORTER,dataset-427,10.1093/milmed/usx114,https://academic.oup.com/milmed/article/183/11-12/e438/4841666,Military Medicine
