publication title,dataset title,dataset id,publication doi,publication url,publication journal
The Use of Multi-State Life Tables in Estimating Places for Biomedical and Behavioral Scientists,Survey of Doctorate Recipients,dataset-371,10.17226/5751,https://www.ncbi.nlm.nih.gov/books/NBK233521/,National Research Council (US) Committee on National Needs for Biomedical and Behavioral Research Personnel
Stability and Longevity in the Publication Careers of U.S. Doctorate Recipients,Survey of Doctorate Recipients,dataset-371,10.1371/journal.pone.0154741,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4851373/,PLOS One
Measuring time to the doctorate: reinterpretation of the evidence.,Survey of Doctorate Recipients,dataset-371,10.1073/pnas.88.3.713,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC50883/,Proceedings of the National Academy of Sciences of the United States of America
WHO'S PATENTING IN THE UNIVERSITY? EVIDENCE FROM THE SURVEY OF DOCTORATE RECIPIENTS,Survey of Doctorate Recipients,dataset-371,10.1080/10438590600982806,https://www.tandfonline.com/doi/full/10.1080/10438590600982806,Economics of Innovation and New Technology
"Stay Rates of Foreign Doctorate Recipients from U.S. Universities, 2007",Survey of Doctorate Recipients,dataset-371,10.2172/971617,https://www.osti.gov/biblio/971617,U.S. Department of Energy Office of Scientific and Technical Information
Marriage and Baby Blues: Redefining Gender Equity in the Academy,Survey of Doctorate Recipients,dataset-371,10.1177/0002716204268744,https://journals.sagepub.com/doi/abs/10.1177/0002716204268744,The American Academy of Political and Social Science
Gender Differences in Salary and Promotion in the Humanities,Survey of Doctorate Recipients,dataset-371,10.2139/ssrn.267533,https://pubs.aeaweb.org/doi/pdf/10.1257/aer.89.2.397,The Journal of Human Resources
Factors in Decisions of Underrepresented Minorities to Forego Science and Engineering Doctoral Study: A Pilot Study,Survey of Doctorate Recipients,dataset-371,10.1023/A:1016694701704,https://link.springer.com/article/10.1023/A:1016694701704,Journal of Science and Technology
"Diversifying Science and Engineering Faculties: Intersections of Race, Ethnicity, and Gender",Survey of Doctorate Recipients,dataset-371,10.1177/0002764209356236,https://journals.sagepub.com/doi/abs/10.1177/0002764209356236,American Behavioral Scientist
Foreign-born academic scientists and engineers: producing more and getting less than their U.S.-born peers?,Survey of Doctorate Recipients,dataset-371,10.1007/s11162-007-9055-6,https://link.springer.com/article/10.1007/s11162-007-9055-6,Research in Higher Education
Why the US science and engineering workforce is aging rapidly,Survey of Doctorate Recipients,dataset-371,10.1073/pnas.1611748114,https://www.pnas.org/content/114/15/3879.full,Proceedings of the National Academy of Sciences of the United States of America
Women in Academic Science: A Changing Landscape,Survey of Doctorate Recipients,dataset-371,10.1177/1529100614541236,https://journals.sagepub.com/doi/full/10.1177/1529100614541236,Psychological Science in the Public Interest
"Career goals, pathways and competencies of geography graduate students in the USA",Survey of Doctorate Recipients,dataset-371,10.1080/03098265.2012.729563,https://www.tandfonline.com/doi/full/10.1080/03098265.2012.729563,Journal of Geography in Higher Education
The Pathology Workforce and Clinical Licensure: The Role of the PhD Clinical Laboratorian in the United States,Survey of Doctorate Recipients,dataset-371,10.1177/2374289518775948,https://journals.sagepub.com/doi/full/10.1177/2374289518775948,Academic Pathology
The bachelor’s to Ph.D. STEM pipeline no longer leaks more women than men: a 30-year analysis,Survey of Doctorate Recipients,dataset-371,10.3389/fpsyg.2015.00037,https://www.frontiersin.org/articles/10.3389/fpsyg.2015.00037/full,Frontiers in Psychology
