publication title,dataset title,dataset id,publication doi,publication url,publication journal
Training the scientific workforce: Does funding mechanism matter?,Survey of Earned Doctorates,dataset-370,10.1016/j.respol.2016.03.011,https://www.sciencedirect.com/science/article/pii/S004873331630035X,Research Policy
Defining diversity: A mixed-method analysis of terminology in faculty applications,Survey of Earned Doctorates,dataset-370,10.1016/j.soscij.2015.01.004,https://www.sciencedirect.com/science/article/pii/S0362331915000233,The Social Justice Journal
What's Money Got to Do with It?,Survey of Earned Doctorates,dataset-370,10.1353/rhe.2019.0093,https://muse.jhu.edu/article/733638,The Review of Higher Education
The Trade-Offs of Teamwork Among STEM Doctoral Graduates,Survey of Earned Doctorates,dataset-370,10.1037/amp0000288,https://psycnet.apa.org/fulltext/2018-23205-010.html,American Psychologist
"Interdisciplinary Dissertation Research Among Public Health Doctoral Trainees, 2003-2015",Survey of Earned Doctorates,dataset-370,10.1177/0033354918754558,https://journals.sagepub.com/doi/10.1177/0033354918754558,Public Health Reports
Survey of checkpoints along the pathway to diverse biomedical research faculty,Survey of Earned Doctorates,dataset-370,10.1371/journal.pone.0190606,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0190606,PLOS One
Doctoral Education in Social Work: What We Know and What We Need to Know,Survey of Earned Doctorates,dataset-370,10.1093/sw/54.1.71,https://academic.oup.com/sw/article/54/1/71/1884745,Social Work
Profile of the graduate student population in U.S. medical schools.,Survey of Earned Doctorates,dataset-370,10.1097/00001888-199709000-00020,https://journals.lww.com/academicmedicine/pages/articleviewer.aspx?year=1997&issue=09000&article=00020&type=abstract,Academic Medicine
Who’s Teaching the Teachers? Evidence from the National Survey of Postsecondary Faculty and the Survey of Earned Doctorates,Survey of Earned Doctorates,dataset-370,10.1086/498997,https://www.journals.uchicago.edu/doi/full/10.1086/498997,American Journal of Education
Female computer science doctorates: what does the survey of earned doctorates reveal?,Survey of Earned Doctorates,dataset-370,10.1145/543812.543841,https://dl.acm.org/citation.cfm?id=543841,Special Interest Group on Computer Science Education
Stability and Longevity in the Publication Careers of U.S. Doctorate Recipients,Survey of Earned Doctorates,dataset-370,10.1371/journal.pone.0154741,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4851373/,PLOS One
"Stay Rates of Foreign Doctorate Recipients from U.S. Universities, 2007",Survey of Earned Doctorates,dataset-370,10.2172/971617,https://www.osti.gov/biblio/971617,U.S. Department of Energy Office of Scientific and Technical Information
Issues of validity in reporting the number of doctorates in mathematics education,Survey of Earned Doctorates,dataset-370,10.1080/19477503.2017.1375356,https://www.tandfonline.com/doi/full/10.1080/19477503.2017.1375356,Investigations in Mathematics Learning
Size and characteristics of the biomedical research workforce associated with U.S. National Institutes of Health extramural grants,Survey of Earned Doctorates,dataset-370,10.1096/fj.14-264358,https://www.fasebj.org/doi/full/10.1096/fj.14-264358,Life Sciences Forum
"Disparities in publication patterns by gender, race and ethnicity based on a survey of a random sample of authors",Survey of Earned Doctorates,dataset-370,10.1007/s11192-012-0893-4,https://link.springer.com/article/10.1007/s11192-012-0893-4,Scientometrics
"Employment Trends Among Public Health Doctoral Recipients, 2003–2015",Survey of Earned Doctorates,dataset-370,10.2105/AJPH.2018.304553,https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2018.304553,American Journal of Public Health
"Are Race, Ethnicity, and Medical School Affiliation Associated With NIH R01 Type Award Probability for Physician Investigators?",Survey of Earned Doctorates,dataset-370,10.1097/ACM.0b013e31826d726b,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3485449/,Journal of the Association of American Medical Colleges
