publication title,dataset title,dataset id,publication doi,publication url,publication journal
"Mapping patent classifications: portfolio and statistical analysis, and the comparison of strengths and weaknesses",USPTO PatentsView,dataset-426,10.1007/s11192-017-2449-0,https://link.springer.com/article/10.1007/s11192-017-2449-0,Scientometrics
Due diligence: Recognizing the role of patent research in the start-up life cycle,USPTO PatentsView,dataset-426,10.1080/08963568.2017.1372014,https://www.tandfonline.com/doi/full/10.1080/08963568.2017.1372014 ,Journal of Business and Finance Librarianship
"Inequality, Innovation, and Patents",USPTO PatentsView,dataset-426,10.2139/ssrn.3157983,https://www.law.nyu.edu/sites/default/files/upload_documents/Colleen%20Chien.pdf,Santa Clara University School of Law
Discovering business diversification opportunities using patent information and open innovation cases,USPTO PatentsView,dataset-426,10.1016/j.techfore.2018.11.006,https://www.sciencedirect.com/science/article/pii/S0040162518307650,Technological Forecasting and Social Change
The Real Effect of Smoking Bans: Evidence from Corporate Innovation,USPTO PatentsView,dataset-426,10.1017/S0022109018001564,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/8C7BBF3C965CB2C279B010BC541BDBA5/S0022109018001564a.pdf/real_effect_of_smoking_bans_evidence_from_corporate_innovation.pdf,Journal of Financial and Quantitative Analysis
Tracking the technological composition of industries with algorithmic patent concordances*,USPTO PatentsView,dataset-426,10.1080/10438599.2019.1648014,https://www.tandfonline.com/doi/full/10.1080/10438599.2019.1648014,Economics of Innovation and New Technology
Mapping high R&D city-regions worldwide: a patent heat map approach,USPTO PatentsView,dataset-426,10.1007/s11135-019-00874-w,https://link.springer.com/article/10.1007/s11135-019-00874-w,Quality & Quantity
Does Venture Capital Accelerate the Inventive Activities of Frontier Technologies? New Evidence from Artificial Intelligence,USPTO PatentsView,dataset-426,10.7298/06n5-kh88,https://ecommons.cornell.edu/handle/1813/67627,Cornell Theses and Dissertations
Public sector financial support for late stage discovery of new drugs in the United States: cohort study,USPTO PatentsView,dataset-426,10.1136/bmj.l5766 ,https://www.bmj.com/content/367/bmj.l5766,The BMJ
Chapter 1 - Technological change in fuel cell technologies,USPTO PatentsView,dataset-426,10.1016/B978-0-12-815253-9.00001-X,https://www.sciencedirect.com/science/article/pii/B978012815253900001X,Design and Operation of Solid Oxide Fuel Cells
