datasets,doi,journal,search_string,title
dataset-371,10.1186/s12052-019-0110-5,Evolution: Education and Outreach,Survey of Doctorate Recipients,"African Americans in evolutionary science: where we have been, and what’s next"
dataset-371,10.1016/j.respol.2019.103824,Research Policy,Survey of Doctorate Recipients,The use of material transfer agreements in academia: A threat to open science or a cooperation tool?
dataset-371,10.1007/s11162-019-09583-7,Research in Higher Education,Survey of Doctorate Recipients,Shifting Gears: Characteristics and Consequences of Latent Class Transitions in Doctoral Socialization
dataset-371,10.1080/13639080.2019.1673885,Journal of Education and Work,Survey of Doctorate Recipients,Higher education teaching and training system and economic performance: an empirical investigation
dataset-371,10.1101/785717,bioRxiv,Survey of Doctorate Recipients,Policy should change to improve invited speaker diversity and reflect trainee diversity
dataset-371,10.1080/10899995.2019.1621714,Journal of Geoscience Education,Survey of Doctorate Recipients,Probing the National Geoscience Faculty Survey for reported use of practices that support inclusive learning environments in undergraduate courses
dataset-371,10.1080/14778238.2018.1557024,Knowledge Management Research & Practice,Survey of Doctorate Recipients,Is university-industry collaboration biased by sex criteria?
dataset-371,10.1016/j.techfore.2019.06.019,Technological Forecasting and Social Change,Survey of Doctorate Recipients,Faculty ideals and universities' third mission
dataset-371,10.1177/0019793918819809,ILR Review,Survey of Doctorate Recipients,Academic Entrepreneurship: The Bayh-Dole Act versus the Professor’s Privilege
dataset-371,10.1007/s10961-019-09747-8,The Journal of Technology Transfer,Survey of Doctorate Recipients,The influence of scientific prestige and peer effects on the intention to create university spin-offs
dataset-371,10.1101/751867,bioRxiv,Survey of Doctorate Recipients,A data-based guide to the North American ecology faculty job market
dataset-371,10.1002/he.20336,New Directions for Higher Education,Survey of Doctorate Recipients,Developing an Indigenous Knowledge Field Camp
dataset-371,10.1007/s13412-019-00553-0,Journal of Environmental Studies and Sciences,Survey of Doctorate Recipients,"Characteristics of collaborative, interdisciplinary, and engaged research among graduate students in environmental conservation"
dataset-371,10.1007/s11162-019-09573-9,Research in Higher Education,Survey of Doctorate Recipients,"Tenure and Promotion Outcomes at Four Large Land Grant Universities: Examining the Role of Gender, Race, and Academic Discipline"
dataset-371,10.1073/pnas.1820079116,Proceedings of the National Academy of Sciences,Survey of Doctorate Recipients,Why foreign STEM PhDs are unlikely to work for US technology startups
dataset-371,10.1142/s1363919620500450,International Journal of Innovation Management,Survey of Doctorate Recipients,THE ROLES OF ACADEMIC INVENTORS IN MEDICAL INNOVATION PROCESSES: EXPLORING THE INFLUENCE OF IPR OWNERSHIP AND IP NATURE
dataset-371,10.1007/s11192-019-03155-3,Scientometrics,Survey of Doctorate Recipients,Gender gaps in international research collaboration: a bibliometric approach
dataset-371,10.1007/s10961-017-9643-3,The Journal of Technology Transfer,Survey of Doctorate Recipients,The role of scientific and market knowledge in the inventive process: evidence from a survey of industrial inventors
dataset-371,10.1080/17421772.2019.1636127,Spatial Economic Analysis,Survey of Doctorate Recipients,"On the nexus between innovation, productivity and migration of US university graduates"
dataset-371,10.1038/s41587-019-0173-4,Nature Biotechnology,Survey of Doctorate Recipients,Biobusiness consulting to prepare scientists for industry careers
dataset-371,10.1016/j.ijleo.2019.163552,Optik,SDR,Performance assessment of GNSS scalar and vector frequency tracking loops
dataset-371,10.1016/j.chemosphere.2019.124907,Chemosphere,SDR,Silicon regulates the expression of vacuolar H+-pyrophosphatase 1 and decreases cadmium accumulation in rice (Oryza sativa L.)
dataset-371,10.1016/j.foodcont.2018.12.010,Food Control,SDR,Validation of QuEChERS for screening of 4 marker polycyclic aromatic hydrocarbons in fish and malt.
dataset-371,10.1016/j.jimonfin.2019.102093,Journal of International Money and Finance,SDR,Revisiting the Pass-Through of Exchange Rate in the Transition Economies: New Evidence from New EU Member States
dataset-371,10.1016/j.ejor.2019.08.016,European Journal of Operational Research,SDR,A Second-order Cone Model of Transmission Planning with Alternating and Direct Current Lines
dataset-371,10.1016/j.renene.2019.07.035,Renewable Energy,SDR,Long-term performance and life cycle assessment of energy piles in three different climatic conditions
dataset-371,10.1016/j.molstruc.2019.127160,Journal of Molecular Structure,SDR,Luminescent properties of heterometallic β-dicarbonyl complexes and polymers on their basis
dataset-371,10.1016/j.ssci.2019.104520,Safety Science,SDR,Organisational and costing aspects to prevent wildlife strikes on airports: A case study of Spanish airport security managers
dataset-371,10.1016/j.anucene.2019.106992,Annals of Nuclear Energy,SDR,Improvements of subgroup method based on fine group slowing-down calculation for resonance self-shielding treatment
dataset-371,10.1016/j.still.2019.104449,Soil and Tillage Research,SDR,Multiple AI model integration strategy—Application to saturated hydraulic conductivity prediction from easily available soil properties
dataset-371,10.1016/j.marpetgeo.2019.104072,Marine and Petroleum Geology,SDR,Risks inherent in the Cenozoic stratigraphic plays in basins of the Uruguayan continental margin
dataset-371,10.1016/j.inffus.2019.07.002,Information Fusion,SDR,Multi-Sensor Fusion Based Intelligent Sensor Relocation for Health and Safety Monitoring in BSNs
dataset-371,10.1016/j.anucene.2019.106990,Annals of Nuclear Energy,SDR,Time-dependent integral transport in one-dimensional infinite media using dimensionless variables and the reduced collision formulation
dataset-371,10.1016/j.patcog.2019.107052,Pattern Recognition,SDR,Discriminant Component Analysis via Distance Correlation Maximization
dataset-371,10.1016/j.triboint.2019.105967,Tribology International,SDR,A global-local fretting analysis methodology and design study for the pressure armour layer of dynamic flexible marine risers
dataset-371,10.1016/j.csda.2019.106818,Computational Statistics & Data Analysis,SDR,Quantile based dimension reduction in censored regression
dataset-371,10.1016/j.adhoc.2019.102020,Ad Hoc Networks,SDR,QoS-Aware Traffic Scheduling Framework in Cognitive Radio based Smart Grids using Multi-objective Optimization of Latency and Throughput
dataset-371,10.1146/annurev-fluid-010719-060139,Annual Review of Fluid Mechanics,SDR,"Particles, Drops, and Bubbles Moving Across Sharp Interfaces and Stratified Layers"
dataset-371,10.1002/app.47679,Journal of Applied Polymer Science,SDR,Effects of platinum compounds/superfine aluminum hydroxide/ultrafine calcium carbonate on the flame retardation and smoke suppression of silicone foams
