title,journal,dataset,authors
Does employment during doctoral training reduce the PhD completion rate?,Studies in Higher Education,Survey of Earned Doctorates,"Saule Bekova, National Research University Higher School of Economics"
Are high-quality PhD programs at universities associated with more undergraduate students pursuing PhD study?,Education Economics,Survey of Earned Doctorates,"Todd R. Jones, Cornell University,Ronald G. Ehrenberg, Cornell University"
"Rationale for Cocreating a Community for Underrepresented Minorities in Science, Technology, Engineering, and Math: An Indigenous Paradigm",New Directions for Higher Education,Survey of Earned Doctorates,"Sweeney Windchief, Montana State University"
Mentoring for the Educational Leadership Professoriate: Perspectives From Jay D. Scribner Mentoring Award Recipients and Mentees,Journal of Research on Leadership Education,Survey of Earned Doctorates,"Donald G. Hackmann, University of Illinois at Urbana Champaign,Joel R. Malin, Miami University"
A new microfluidic device for separating circulating tumor cells based on their physical properties by using electrophoresis and dielectrophoresis forces within an electrical field,Computer Methods and Programs in Biomedicine,Survey of Earned Doctorates,"Ali Dabighi, Department of Mechanical Engineering, Khomeinishahr Branch, Islamic Azad University, Khomeinishahr, Iran,Davood Toghraie, Department of Mechanical Engineering, Khomeinishahr Branch, Islamic Azad University, Khomeinishahr, Iran"
A Multi-Objective Optimization Procedure for Solving the High-Order Epistasis Detection Problem,Expert Systems with Applications,Survey of Earned Doctorates,"José M. Granado-Criado, University of Extremadura,Sergio Santander-Jiménez, University of Lisbon,Miguel A. Vega-Rodríguez, University of Extremadura,Álvaro Rubio-Largo, University of Extremadura"
"Technology adoption, capital deepening, and international productivity differences",Journal of Development Economics,Survey of Earned Doctorates,"Chaoran Chen, York University"
Bagging of Credal Decision Trees for Imprecise Classification,Expert Systems with Applications,Survey of Earned Doctorates,"S. Moral-García, University of Granada,Carlos J. Mantas, University of Granada,Javier G. Castellano, University of Granada,María D. Benítez, BANKIA Central Office, Granada, Spain,Joaquín Abellán, University of Granada"
Spatiotemporal changes of drought characteristics and their dynamic drivers in Canada,Atmospheric Research,Survey of Earned Doctorates,"Yang Yang, University of Alberta,Thian Yew Gan, University of Alberta,Xuezhi Tan, University of Alberta"
"African Americans in evolutionary science: where we have been, and what’s next",Evolution: Education and Outreach,Survey of Doctorate Recipients,"Joseph L. Graves, Joint School of Nanoscience and Nanoengineering, North Carolina A&T State University, UNC Greensboro, 27401, Greensboro, NC, USA"
The use of material transfer agreements in academia: A threat to open science or a cooperation tool?,Research Policy,Survey of Doctorate Recipients,"Véronique Schaeffer, French National Centre for Scientific Research"
Higher education teaching and training system and economic performance: an empirical investigation,Journal of Education and Work,Survey of Doctorate Recipients,"Radhia Bouchakour, University of Blida,Mohammed Saad, University of the West of England,Cherif Guermat, University of the West of England"
Policy should change to improve invited speaker diversity and reflect trainee diversity,bioRxiv,Survey of Doctorate Recipients,"Ada K Hagan, University of Michigan–Ann Arbor,Rebecca M Pollet, Department of Microbiology & Immunology, University of Michigan;,Josie Libertucci, McMaster University"
Probing the National Geoscience Faculty Survey for reported use of practices that support inclusive learning environments in undergraduate courses,Journal of Geoscience Education,Survey of Doctorate Recipients,"Rachel Beane, Bowdoin College,Karen S. McNeal, Auburn University,R. Heather Macdonald, William & Mary"
Performance assessment of GNSS scalar and vector frequency tracking loops,Optik,Survey of Doctorate Recipients,"Jie Dou, Nanjing University of Science and Technology,Bing Xu, Hong Kong Polytechnic University,Lei Dou, Nanjing University of Science and Technology"
Silicon regulates the expression of vacuolar H+-pyrophosphatase 1 and decreases cadmium accumulation in rice (Oryza sativa L.),Chemosphere,Survey of Doctorate Recipients,"Fangbin Cao, Zhejiang University,Huaxin Dai, China National Tobacco Corporation (China),Peng-Fei Hao, Zhejiang University,Feibo Wu, Zhejiang University"
Validation of QuEChERS for screening of 4 marker polycyclic aromatic hydrocarbons in fish and malt.,Food Control,Survey of Doctorate Recipients,"L. Duedahl-Olesen, Technical University of Denmark,N.M. Iversen, Technical University of Denmark,C. Kelmo, Technical University of Denmark,L.K. Jensen, Technical University of Denmark"
Revisiting the Pass-Through of Exchange Rate in the Transition Economies: New Evidence from New EU Member States,Journal of International Money and Finance,Survey of Doctorate Recipients,"Nidhaleddine Ben Cheikh, École Supérieure des Sciences Commerciales d’Angers,Younes Ben Zaied, EDC Paris Business School, 70 Galerie des Damiers, 92415 Courbevoie, France"
