,Title,DOI,adrf_id
0,"Incarceration Length, Employment, and Earnings",10.3386/w12003,adrf-000001
1,"Incarceration Length, Employment, and Earnings",10.3386/w12003,adrf-000002
2,"Incarceration Length, Employment, and Earnings",10.3386/w12003,adrf-000003
3,"Incarceration Length, Employment, and Earnings",10.3386/w12003,adrf-000036
4,"Incarceration Length, Employment, and Earnings",10.3386/w12003,adrf-000055
5,Prison-based Education and Re-entry into the Mainstream Labor Market,10.3386/w12114,adrf-000001
6,Prison-based Education and Re-entry into the Mainstream Labor Market,10.3386/w12114,adrf-000002
7,Prison-based Education and Re-entry into the Mainstream Labor Market,10.3386/w12114,adrf-000036
8,Prison-based Education and Re-entry into the Mainstream Labor Market,10.3386/w12114,adrf-000055
9,Moving to Opportunity in Boston: Early Results of a Randomized Mobility Experiment,10.1162/00335530151144113,adrf-000034
10,"Neighborhoods, Race, and Recidivism: The Community-Reoffending Nexus and its Implications for African Americans",10.1177/0307920107073250,adrf-000001
11,"Neighborhoods, Race, and Recidivism: The Community-Reoffending Nexus and its Implications for African Americans",10.1177/0307920107073250,adrf-000002
12,"Neighborhoods, Race, and Recidivism: The Community-Reoffending Nexus and its Implications for African Americans",10.1177/0307920107073250,adrf-000005
13,"Neighborhoods, Race, and Recidivism: The Community-Reoffending Nexus and its Implications for African Americans",10.1177/0307920107073250,adrf-000006
14,"Neighborhoods, Race, and Recidivism: The Community-Reoffending Nexus and its Implications for African Americans",10.1177/0307920107073250,adrf-000036
15,"Neighborhoods, Race, and Recidivism: The Community-Reoffending Nexus and its Implications for African Americans",10.1177/0307920107073250,adrf-000055
16,"The Effect of Education on Crime: Evidence from Prison Inmates, Arrests, and Self-Reports",10.1257/000282804322970751,adrf-000005
17,"The Effect of Education on Crime: Evidence from Prison Inmates, Arrests, and Self-Reports",10.1257/000282804322970751,adrf-000006
18,Neighborhood Effects On Crime For Female And Male Youth: Evidence From A Randomized Housing Voucher Experiment,10.1162/0033553053327470,adrf-000004
19,Neighborhood Effects On Crime For Female And Male Youth: Evidence From A Randomized Housing Voucher Experiment,10.1162/0033553053327470,adrf-000037
20,Urban Poverty and Juvenile Crime: Evidence from a Randomized Housing-Mobility Experiment,10.1162/00335530151144122,adrf-000004
21,Urban Poverty and Juvenile Crime: Evidence from a Randomized Housing-Mobility Experiment,10.1162/00335530151144122,adrf-000037
22,Escaping Low Earnings: The Role of Employer Characteristics and Changes,10.2307/4126683,adrf-000003
23,Escaping Low Earnings: The Role of Employer Characteristics and Changes,10.2307/4126683,adrf-000008
24,Escaping Low Earnings: The Role of Employer Characteristics and Changes,10.2307/4126683,adrf-000009
25,National Estimates of Gross Employment and Job Flows from the Quarterly Workforce Indicators with Demographic and Industry Detail,10.1016/j.jeconom.2010.09.008,adrf-000003
26,National Estimates of Gross Employment and Job Flows from the Quarterly Workforce Indicators with Demographic and Industry Detail,10.1016/j.jeconom.2010.09.008,adrf-000005
27,National Estimates of Gross Employment and Job Flows from the Quarterly Workforce Indicators with Demographic and Industry Detail,10.1016/j.jeconom.2010.09.008,adrf-000006
28,National Estimates of Gross Employment and Job Flows from the Quarterly Workforce Indicators with Demographic and Industry Detail,10.1016/j.jeconom.2010.09.008,adrf-000034
29,Does Federally-Funded Job Training Work? Nonexperimental Estimates of WIA Training Impacts Using Longitudinal Data on Workers and Firms,10.3386/w19446,adrf-000003
30,Does Federally-Funded Job Training Work? Nonexperimental Estimates of WIA Training Impacts Using Longitudinal Data on Workers and Firms,10.3386/w19446,adrf-000008
31,Does Federally-Funded Job Training Work? Nonexperimental Estimates of WIA Training Impacts Using Longitudinal Data on Workers and Firms,10.3386/w19446,adrf-000009
32,Temporary Help Agencies and the Advancement Prospects of Low Earners,10.3386/w13434,adrf-000003
33,Temporary Help Agencies and the Advancement Prospects of Low Earners,10.3386/w13434,adrf-000005
34,Temporary Help Agencies and the Advancement Prospects of Low Earners,10.3386/w13434,adrf-000006
35,Temporary Help Agencies and the Advancement Prospects of Low Earners,10.3386/w13434,adrf-000008
36,Temporary Help Agencies and the Advancement Prospects of Low Earners,10.3386/w13434,adrf-000009
37,Temporary Help Agencies and the Advancement Prospects of Low Earners,10.3386/w13434,adrf-000010
38,Temporary Help Agencies and the Advancement Prospects of Low Earners,10.3386/w13434,adrf-000011
