dataset_name,doi,journal,title
IRI Consumer Network,10.1177/0042098017740285,Urban Studies,Supply-side subsidies to improve food access and dietary outcomes: Evidence from the New Markets Tax Credit
IRI Consumer Network,10.1016/j.ypmed.2016.08.018,Preventive Medicine,The healthfulness of food and beverage purchases after the federal food package revisions: The case of two New England states
IRI Consumer Network,10.1371/journal.pone.0124351,Plos One,"Relationships between Diet, Alcohol Preference, and Heart Disease and Type 2 Diabetes among Americans"
IRI InfoScan,10.1080/10454446.2018.1428259,Journal of Food Products Marketing,A comparative analysis of hedonic models of nutrition information and health claims on food products: An application to soup products
IRI InfoScan,10.1007/s10603-018-9396-x,Journal of Consumer Policy,Evidence from Retail Food Markets That Consumers Are Confused by Natural and Organic Food Labels
IRI Consumer Network,10.1080/15140326.2018.1526869,Journal of Applied Economics,A new approach to estimate household food demand with panel data
IRI InfoScan,10.3168/jds.2015-10410,J Dairy Sci,The effects of retail concentration on retail dairy product prices in the United States
IRI Consumer Network,10.1016/j.jand.2017.01.011,J Acad Nutr Diet,"No Fat, No Sugar, No Salt . . . No Problem? Prevalence of ""Low-Content"" Nutrient Claims and Their Associations with the Nutritional Profile of Food and Beverage Purchases in the United States"
IRI InfoScan,10.1093/erae/jbv032,European Review of Agricultural Economics,Consumers' welfare and off-season produce imports
IRI InfoScan,10.1093/erae/jby026,European Review of Agricultural Economics,The relationship between price and retail concentration: evidence from the US food industry
IRI InfoScan,10.1093/aepp/ppy018,Applied Economic Perspectives and Policy,Documenting the Link Between Poor Food Access and Less Healthy Product Assortment Across the U.S
IRI InfoScan,10.1093/ajae/aay002,American Journal of Agricultural Economics,"Spatial and Temporal Variation in the Value of the Women, Infants, and Children Program’s Fruit and Vegetable Voucher"
IRI Consumer Network,10.1177/0890117117740935,Am J Health Promot,"Chronic Disease, Prescription Medications, and Food Purchases"
IRI Consumer Network,10.1177/0890117118786871,Am J Health Promot,"The Healthfulness of Food-at-Home Expenditures, the Local Food Environment, and Childhood Obesity"
IRI Consumer Network,10.1111/agec.12222,Agricultural Economics,Modeling price transmission between farm and retail prices: a soft switches approach
