10.1080/13571516.2019.1599189	International Journal of the Economics of Business	International Debt Shifting: The Value-Maximizing Mix of Internal and External Debt
10.1016/j.jinteco.2019.01.007	Journal of International Economics	Service Offshoring and firm Employment
10.1016/j.jinteco.2018.10.001	Journal of International Economics	The effect of investing abroad on investment at home: On the role of technology, tax savings, and internal capital markets
10.1007/s10797-017-9457-0	International Tax and Public Finance	Anti profit-shifting rules and foreign direct investment
10.1016/j.jpubeco.2017.02.011	Journal of Public Economics	Evaluating the effects of ACE systems on multinational debt financing and investment
10.1016/j.jbankfin.2017.01.001	Journal of Banking & Finance	The location of financial sector FDI: Tax and regulation policy
10.1007/s11846-016-0190-3	Review of Managerial Science	Tax attractiveness and the location of German-controlled subsidiaries
10.1016/j.jinteco.2019.01.007	Journal of International Economics	Service Offshoring and firm Employment
10.1016/j.jfs.2019.05.001	Journal of Financial Stability	The Financial Market Effects of the ECB's Asset Purchase Programs
10.1016/j.jimonfin.2018.12.013	Journal of International Money and Finance	Monetary Policy Shocks and Foreign Investment Income: Evidence from a large Bayesian VAR
10.1186/s40461-019-0077-z	Empirical Research in Vocational Education and Training	Relations between young adults’ knowledge and understanding, experiences, and information behavior in personal finance matters
10.17533/udea.le.n90a03	Lecturas de Economía	The use of cash and debit cards as payment instruments in Colombia
10.1016/j.econmod.2017.09.002	Economic Modelling	Cash remains top-of-wallet! International evidence from payment diaries
10.1515/jbnst-2017-0122	Jahrbücher für Nationalökonomie und Statistik	Does Banknote Quality Affect Counterfeit Detection? Experimental Evidence from Germany and the Netherlands
10.1515/jos-2017-0021	Journal of Official Statistics	The Influence of an Up-Front Experiment on Respondents’ Recording Behaviour in Payment Diaries: Evidence from Germany
10.1515/roe-2015-0202	Review of Economics	Do the Poor Pay for Card Rewards of the Rich?
10.1111/jmcb.12165	Journal of money credit and banking	Using Cash to Monitor Liquidity: Implications for Payments, Currency Demand, and Withdrawal Behavior
10.1007/s00181-013-0708-3	Empirical Economics	Choosing and using payment instruments: evidence from German microdata
10.1016/j.jedc.2013.06.013	Journal of Economic Dynamics and Control	Demand for cash with intra-period endogenous consumption
10.1016/j.jfs.2017.12.001	Journal of Financial Stability	The systemic implications of bail-in: A multi-layered network approach
10.1016/j.jfs.2016.05.002	Journal of Financial Stability	Banks and sovereign risk: A granular view
10.1007/s10272-009-0297-8	Intereconomics	Financial crisis and information gaps
10.1080/14686996.2018.1552480	Science and Technology of Advanced Materials	Draw-spun, photonically annealed Ag fibers as alternative electrodes for flexible CIGS solar cells
10.1108/17576381011070193	Journal of Financial Economic Policy	What macroeconomic shocks affect the German banking system?
