doi,journal,pub_id,related_dataset,title
10.1002/hec.3883,Health Economics,pub-f5326e721633faa7439d,dataset-f442e418ac191ac60f7f,Do differences in reported expenditures between household scanner data and expenditure surveys matter in health policy research?
10.3390/nu11030618,Nutrients,pub-9558600121658a8612ce,dataset-f442e418ac191ac60f7f,How Much Can Product Reformulation Improve Diet Quality in Households with Children and Adolescents?
10.1177/0042098017740285,Urban Studies,pub-448832753326f51957bc,dataset-f442e418ac191ac60f7f,Supply-side subsidies to improve food access and dietary outcomes: Evidence from the New Markets Tax Credit
10.1080/10454446.2018.1428259,Journal of Food Products Marketing,pub-df7967a07109c5482434,dataset-f442e418ac191ac60f7f,A comparative analysis of hedonic models of nutrition information and health claims on food products: An application to soup products
10.1016/j.appet.2017.07.006,Appetite,pub-fafa0e81b6bae9395ebe,dataset-f442e418ac191ac60f7f,Deal or no deal? The prevalence and nutritional quality of price promotions among U.S. food and beverage purchases
10.1016/j.jand.2017.01.011,Journal of the Academy of Nutrition and Dietetics,pub-5daf260399119f86014f,dataset-f442e418ac191ac60f7f,"No Fat, No Sugar, No Salt . . . No Problem? Prevalence of “Low-Content” Nutrient Claims and Their Associations with the Nutritional Profile of Food and Beverage Purchases in the United States"
10.1016/j.foodqual.2011.02.009,Food Quality and Preference,pub-3400717c3058d7363867,dataset-f442e418ac191ac60f7f,External validity of the food values scale
10.1787/jbcma-v2004-art20-en,Journal of Business Cycle Measurement and Analysis,pub-c600b76bac4b1611632a,dataset-01bf466ee1063265fc2c,New Bank Lending Survey of the Eurosystem
10.1023/a:1024173416117,Empirica,pub-30009c2a3767ede0836d,dataset-01bf466ee1063265fc2c,Interbank Relationships and the Credit Channel in Germany
10.1177/0042098017740285,Urban Studies,pub-448832753326f51957bc,dataset-f442e418ac191ac60f7f,Supply-side subsidies to improve food access and dietary outcomes: Evidence from the New Markets Tax Credit
10.1016/j.ypmed.2016.08.018,Preventive Medicine,pub-d63078f43bd5c1025365,dataset-f442e418ac191ac60f7f,The healthfulness of food and beverage purchases after the federal food package revisions: The case of two New England states
10.1371/journal.pone.0124351,PLoS ONE,pub-4201755a82c1f7408a0a,dataset-f442e418ac191ac60f7f,"Relationships between Diet, Alcohol Preference, and Heart Disease and Type 2 Diabetes among Americans"
10.1080/10454446.2018.1428259,Journal of Food Products Marketing,pub-df7967a07109c5482434,dataset-114d72893306f1c4e103,A comparative analysis of hedonic models of nutrition information and health claims on food products: An application to soup products
10.1007/s10603-018-9396-x,Journal of Consumer Policy,pub-5ca49ce455e78bd7e1e4,dataset-114d72893306f1c4e103,Evidence from Retail Food Markets That Consumers Are Confused by Natural and Organic Food Labels
10.1080/15140326.2018.1526869,Journal of Applied Economics,pub-710869cbd330556f99c5,dataset-f442e418ac191ac60f7f,A new approach to estimate household food demand with panel data
10.3168/jds.2015-10410,Journal of Dairy Science,pub-a35ba82eab2f5bc613b0,dataset-114d72893306f1c4e103,The effects of retail concentration on retail dairy product prices in the United States
