foldername,dataset
20191119_IllinoisDepartmentofCorrectionsParoleeaddressdata,dataset-369
20191119_2014-2015DOEHighSchoolDirectory,dataset-402
20191119_AlaskaTemporaryAssistanceforNeedyFamilies,dataset-315
20191119_ArizonaDepartmentofEconomicSecuritydatabase,dataset-272
20191119_CaliforniaDepartmentofCorrectionsandRehabilitationParoleeData,dataset-202
20191119_CaliforniaDepartmentofEducation801AArchivedData,dataset-349
20191119_CalWORKsQuarterlyReport,dataset-350
20191119_CalWORKsWelfare-To-WorkMonthlyActivityReport-All(Other)Families,dataset-361
20191119_CalWORKsWelfare-To-WorkMonthlyActivityReport-Two-ParentFamilies,dataset-362
20191119_CenterforEmploymentOpportunitiesManagementInformationSystem,dataset-193
20191119_ChildCareResourceServicedata,dataset-223
20191119_ColoradoUnemploymentInsurance,dataset-146
