metadata_folder,dataset,doi,journal,search_term,title,URL ,Validation,If appears as a reference,Reference,Punctuation Error,Notes
20191119_Humanresourcerecords,dataset-138,10.1186/s12873-019-0252-3,BMC Emergency Medicine,Human resource records,"Epidemiology of injuries presenting to the accident centre of Korle-Bu Teaching Hospital, Ghana",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6642582/,No,No,,Yes,
20190920_usda_endnote,dataset-025,10.1016/j.jand.2018.08.165,Journal of the Academy of Nutrition and Dietetics,,Examining the Quality of Foods and Beverages Across the Food Stream,http://www.ncbi.nlm.nih.gov/pubmed/30413342,No,Yes,,,
20190920_usda_endnote,dataset-057,10.1016/j.jand.2018.08.165,Journal of the Academy of Nutrition and Dietetics,,Examining the Quality of Foods and Beverages Across the Food Stream,http://www.ncbi.nlm.nih.gov/pubmed/30413342,No,Yes,,,
20191119_ArizonaUnemploymentInsurance,dataset-230,10.1080/000368496327732,Applied Economics,Arizona Unemployment Insurance,On-the-job search: the case of Nevada Test Site contractor employees,https://www.doi.org/10.1080/000368496327732,No,No,,,
20191119_ArizonaUnemploymentInsurance,dataset-230,10.1109/hicss.1989.49177,,Arizona Unemployment Insurance,Primary vs. secondary decision making: a proposed expansion of model management systems research,https://www.doi.org/10.1109/hicss.1989.49177,No,No,,,
20191119_ArizonaUnemploymentInsurance,dataset-230,10.1177/108056998805100202,Business Communication Quarterly,Arizona Unemployment Insurance,The Case for Self-Generated Cases,https://www.doi.org/10.1177/108056998805100202,No,Yes,,,
20191119_BusinessEmploymentDynamicsData,dataset-341,10.1111/jopy.12454,Journal of Personality,Business Employment Dynamics Data,Regional variation in courage and entrepreneurship: The contrasting role of courage for the emergence and survival of start©\ups in the United States,https://onlinelibrary.wiley.com/doi/full/10.1111/jopy.12454,No,Yes,"Knaup, A. E.?(2005).?Survival and longevity in the business employment dynamics data.?Monthly Labor Review,?117,?2®C?8.",,
20191119_BusinessEmploymentDynamicsData,dataset-341,10.1007/s11187-018-0026-4,Small Business Economics,Business Employment Dynamics Data,New firm survival: the interdependence between regional externalities and innovativeness,https://link.springer.com/article/10.1007/s11187-018-0026-4,No,Yes,"Knaup, A. E. (2005). Survival and longevity in the business employment dynamics data.?Monthly Labor Review, 117, 2®C8.",,
20191119_BusinessEmploymentDynamicsData,dataset-341,10.31585/jbba-2-1-(2)2019,The Journal of British Blockchain Association,Business Employment Dynamics Data,Valuation Method of Equity-based Security Token Offerings (STO) for Start-Up Companies,https://jbba.scholasticahq.com/article/7180-valuation-method-of-equity-based-security-token-offerings-sto-for-start-up-companies,No,Yes,"A. E. Knaup and M. C. Piazza, °∞Business employment dynamics data: survival and longevity, ii,°± Monthly Lab. Rev. , vol. 130, p. 3, 2007",,
20191119_BusinessEmploymentDynamicsData,dataset-341,10.1111/jsbm.12428,Journal of Small Business Management,Business Employment Dynamics Data,Survival and Growth Patterns among New Technology©\Based Firms: Empirical Study of Cohort 2006 in Sweden,https://onlinelibrary.wiley.com/doi/full/10.1111/jsbm.12428,No,Yes,"Knaup, A.?(2005). °∞?Survival and Longevity in the Business Employment Dynamics Data,°±?Monthly Labor Review?128(?59),?50®C?56.",,
