,Title,DOI,adrf_id,title
0,"Incarceration Length, Employment, and Earnings",10.3386/w12003,adrf-000001,Illinois Department of Corrections (DOC) Inmate Admissions 1990-2015
1,Prison-based Education and Re-entry into the Mainstream Labor Market,10.3386/w12114,adrf-000001,Illinois Department of Corrections (DOC) Inmate Admissions 1990-2015
2,"Neighborhoods, Race, and Recidivism: The Community-Reoffending Nexus and its Implications for African Americans",doi:10.1177/0307920107073250,adrf-000001,Illinois Department of Corrections (DOC) Inmate Admissions 1990-2015
3,"Incarceration Length, Employment, and Earnings",10.3386/w12003,adrf-000002,Illinois Department of Corrections (DOC) Inmate Exits - 1990-2015
4,Prison-based Education and Re-entry into the Mainstream Labor Market,10.3386/w12114,adrf-000002,Illinois Department of Corrections (DOC) Inmate Exits - 1990-2015
5,"Neighborhoods, Race, and Recidivism: The Community-Reoffending Nexus and its Implications for African Americans",doi:10.1177/0307920107073250,adrf-000002,Illinois Department of Corrections (DOC) Inmate Exits - 1990-2015
6,"Incarceration Length, Employment, and Earnings",10.3386/w12003,adrf-000003,Illinois Department of Employment Security (IDES) Unemployment Insurance (UI) wage records - 2005-2015
7,Escaping Low Earnings: The Role of Employer Characteristics and Changes,10.2307/4126683,adrf-000003,Illinois Department of Employment Security (IDES) Unemployment Insurance (UI) wage records - 2005-2015
8,National Estimates of Gross Employment and Job Flows from the Quarterly Workforce Indicators with Demographic and Industry Detail,10.1016/j.jeconom.2010.09.008,adrf-000003,Illinois Department of Employment Security (IDES) Unemployment Insurance (UI) wage records - 2005-2015
9,Does Federally-Funded Job Training Work? Nonexperimental Estimates of WIA Training Impacts Using Longitudinal Data on Workers and Firms,10.3386/w19446,adrf-000003,Illinois Department of Employment Security (IDES) Unemployment Insurance (UI) wage records - 2005-2015
10,Temporary Help Agencies and the Advancement Prospects of Low Earners,10.3386/w13434,adrf-000003,Illinois Department of Employment Security (IDES) Unemployment Insurance (UI) wage records - 2005-2015
11,"Incarceration Length, Employment, and Earnings",10.3386/w12003,adrf-000036,Illinois Department of Corrections (DOC) Parolee address data - 2009-2015
12,Prison-based Education and Re-entry into the Mainstream Labor Market,10.3386/w12114,adrf-000036,Illinois Department of Corrections (DOC) Parolee address data - 2009-2015
13,"Neighborhoods, Race, and Recidivism: The Community-Reoffending Nexus and its Implications for African Americans",doi:10.1177/0307920107073250,adrf-000036,Illinois Department of Corrections (DOC) Parolee address data - 2009-2015
14,"Incarceration Length, Employment, and Earnings",10.3386/w12003,adrf-000055,IL Corrections Industries Training 2011-2016 dataset
15,Prison-based Education and Re-entry into the Mainstream Labor Market,10.3386/w12114,adrf-000055,IL Corrections Industries Training 2011-2016 dataset
16,"Neighborhoods, Race, and Recidivism: The Community-Reoffending Nexus and its Implications for African Americans",doi:10.1177/0307920107073250,adrf-000055,IL Corrections Industries Training 2011-2016 dataset
17,Moving to Opportunity in Boston: Early Results of a Randomized Mobility Experiment,doi: 10.1162/00335530151144113,adrf-000034,Illinois Department of Employment Security (IDES) Employer records - 2005-2015
18,National Estimates of Gross Employment and Job Flows from the Quarterly Workforce Indicators with Demographic and Industry Detail,10.1016/j.jeconom.2010.09.008,adrf-000034,Illinois Department of Employment Security (IDES) Employer records - 2005-2015
19,Neighborhood Effects On Crime For Female And Male Youth: Evidence From A Randomized Housing Voucher Experiment,doi:10.1162/0033553053327470,adrf-000004,US Department of Housing and Urban Development Program Microdata 2004-2016 - Individuals: Illinois
20,Urban Poverty and Juvenile Crime: Evidence from a Randomized Housing-Mobility Experiment,doi:10.1162/00335530151144122,adrf-000004,US Department of Housing and Urban Development Program Microdata 2004-2016 - Individuals: Illinois
21,Neighborhood Effects On Crime For Female And Male Youth: Evidence From A Randomized Housing Voucher Experiment,doi:10.1162/0033553053327470,adrf-000037,US Department of Housing and Urban Development Program Microdata 2004-2016 - Households: Illinois
22,Urban Poverty and Juvenile Crime: Evidence from a Randomized Housing-Mobility Experiment,doi:10.1162/00335530151144122,adrf-000037,US Department of Housing and Urban Development Program Microdata 2004-2016 - Households: Illinois
