,bbk_dataset_y,doi,journal,title,dataset
0,ZISTA,10.2139/ssrn.2756191 ,BBk Discussion Paper,How does P2P lending fit into the consumer credit market?,dataset-001
2,AUSTA,10.1016/j.jimonfin.2018.08.012 ,BBk Discussion Paper,International monetary policy spillovers through the bank funding channel,dataset-002
3,BISTA,10.1016/j.jimonfin.2018.08.012 ,BBk Discussion Paper,International monetary policy spillovers through the bank funding channel,dataset-003
4,SITS,,BBk Discussion Paper,Cheap Talk? Financial Sanctions and Non-Financial Activity,dataset-004
5,USTAN,,BBk Discussion Paper,Cheap Talk? Financial Sanctions and Non-Financial Activity,dataset-005
7,BISTA,,BBk Discussion Paper,"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",dataset-006
8,CSDB,,BBk Discussion Paper,"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",dataset-007
9,SHS-BASE,,BBk Discussion Paper,"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",dataset-008
10,GUV,,BBk Discussion Paper,"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",dataset-009
11,ZISTA,,BBk Discussion Paper,"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",dataset-010
14,TARGET2,,BBk Discussion Paper,Bargaining power and outside options in the interbank lending market,dataset-011
15,BISTA,,BBk Discussion Paper,A Comprehensive View on Risk Reporting: Evidence From Supervisory Data,dataset-012
16,MIMIK,,BBk Discussion Paper,A Comprehensive View on Risk Reporting: Evidence From Supervisory Data,dataset-013
17,SHS-BASE,,BBk Discussion Paper,A Comprehensive View on Risk Reporting: Evidence From Supervisory Data,dataset-014
18,GUV,,BBk Discussion Paper,A Comprehensive View on Risk Reporting: Evidence From Supervisory Data,dataset-015
19,BISTA,,BBk Discussion Paper,The Financial Market Effects of the ECB's Asset Purchase Programs,dataset-016
20,GUV,,BBk Discussion Paper,Will German banks earn their cost of capital?,dataset-017
21,ZISTA,,BBk Discussion Paper,Will German banks earn their cost of capital?,dataset-018
23,PHF,,BBk Discussion Paper,Love and money with inheritance - marital sorting by labor income and inherited wealth in the modern partnership,dataset-019
24,BISTA,,BBk Discussion Paper,Interbank Intermediation,dataset-020
25,MIMIK,,BBk Discussion Paper,Interbank Intermediation,dataset-021
26,BAKIS,,BBk Discussion Paper,Why do banks bear interest rate risk?,dataset-022
27,BISTA,,BBk Discussion Paper,Why do banks bear interest rate risk?,dataset-023
28,ZISTA,,BBk Discussion Paper,Why do banks bear interest rate risk?,dataset-024
29,ZISTA,,BBk Discussion Paper,A new perspective on the interest rate pass-through to non-maturing accounts,dataset-025
30,MIMIK,,BBk Discussion Paper,Vulnerable asset management? The case of mutual funds,dataset-026
31,SHS-BASE,,BBk Discussion Paper,Vulnerable asset management? The case of mutual funds,dataset-027
32,IFS-BASE,,BBk Discussion Paper,Vulnerable asset management? The case of mutual funds,dataset-028
33,AUSTA,,BBk Discussion Paper,International Banking and Cross-Border Effects of Regulation: Lessons from Germany,dataset-029
34,BISTA,,BBk Discussion Paper,International Banking and Cross-Border Effects of Regulation: Lessons from Germany,dataset-030
36,MIDI,,BBk Discussion Paper,The Effect of Investing Abroad on Investment at Home,dataset-031
37,USTAN,,BBk Discussion Paper,The Effect of Investing Abroad on Investment at Home,dataset-032
38,BAKIS,,BBk Discussion Paper,Banks’ Equity Stakes and Lending: Evidence from a Tax Reform,dataset-033
39,BISTA,,BBk Discussion Paper,Banks’ Equity Stakes and Lending: Evidence from a Tax Reform,dataset-034
40,MIMIK,,BBk Discussion Paper,Banks’ Equity Stakes and Lending: Evidence from a Tax Reform,dataset-035
41,USTAN,,BBk Discussion Paper,Banks’ Equity Stakes and Lending: Evidence from a Tax Reform,dataset-036
42,BAKIS,,BBk Discussion Paper,M-PRESS-CreditRisk: A holistic micro- and macro-prudential approach to capital requirements,dataset-037
43,MIMIK,,BBk Discussion Paper,M-PRESS-CreditRisk: A holistic micro- and macro-prudential approach to capital requirements,dataset-038
44,BAKIS,,BBk Discussion Paper,Cross-border transmission of emergency liquidity,dataset-039
45,BISTA,,BBk Discussion Paper,Cross-border transmission of emergency liquidity,dataset-040
46,ZISTA,,BBk Discussion Paper,Cross-border transmission of emergency liquidity,dataset-041
48,SHS-BASE,,BBk Discussion Paper,Cyclical investment behavior across financial institutions,dataset-042
49,MIMIK,,BBk Discussion Paper,Fundamentals matter: Idiosyncratic shocks and interbank relations,dataset-043
50,BISTA,,BBk Discussion Paper,Fundamentals matter: Idiosyncratic shocks and interbank relations,dataset-044
51,BAKIS,,BBk Discussion Paper,Fundamentals matter: Idiosyncratic shocks and interbank relations,dataset-045
52,SHS-BASE,,BBk Discussion Paper,Arbitraging the Basel securitization framework: Evidence from German ABS investment,dataset-046
53,BAKIS,,BBk Discussion Paper,The winner's curse: Evidence on the danger of aggressive credit growth in banking,dataset-047
54,MIMIK,,BBk Discussion Paper,Cutting the credit line: Evidence from Germany,dataset-048
55,USTAN,,BBk Discussion Paper,Cutting the credit line: Evidence from Germany,dataset-049
56,BAKIS,,BBk Discussion Paper,Cutting the credit line: Evidence from Germany,dataset-050
57,SHS-BASE,,BBk Discussion Paper,Who trades on momentum?,dataset-051
58,BAKIS,,BBk Discussion Paper,Loan loss provisioning and procyclicality: Evidence from an expected loss model,dataset-052
59,MIMIK,,BBk Discussion Paper,Pro-cyclical capital regulation and lending,dataset-053
60,BAKIS,,BBk Discussion Paper,Pro-cyclical capital regulation and lending,dataset-054
61,MIMIK,,BBk Discussion Paper,A network analysis of the evolution of the German interbank market,dataset-055
62,BISTA,,BBk Discussion Paper,"Interbank lending and distress: Observables, unobservables, and network structure",dataset-056
63,SHS-BASE,,BBk Discussion Paper,"Wealth shocks, credit-supply shocks, and asset allocation: Evidence from household and firm portfolios",dataset-057
64,BAKIS,,BBk Discussion Paper,"Market timing, maturity mismatch, and risk management: Evidence from the banking industry",dataset-058
65,AUSTA,,BBk Discussion Paper,Changing forces of gravity: How the crisis affected international banking,dataset-059
66,IFS-BASE,,BBk Discussion Paper,Cash holdings of German open-end equity funds: Does ownership matter?,dataset-060
67,SHS-BASE,,BBk Discussion Paper,Is proprietary trading detrimental to retail investors?,dataset-061
69,MIDI,,BBk Discussion Paper,Testing the O-ring theory for FDI,dataset-062
70,USTAN,,BBk Discussion Paper,Evaluation of minimum capital requirements for bank loans to SMEs,dataset-063
71,BAKIS,,BBk Discussion Paper,Does non-interest income make banks more risky? Retail- versus investment-oriented banks,dataset-064
72,SITS,,BBk Discussion Paper,The determinants of service imports: The role of cost pressure and financial constraints,dataset-065
73,MIDI,,BBk Discussion Paper,The determinants of service imports: The role of cost pressure and financial constraints,dataset-066
74,BISTA,,BBk Discussion Paper,Tax incentives and capital structure choice: Evidence from Germany,dataset-067
75,PHF,,BBk Discussion Paper,The PHF: A comprehensive panel survey on household finances and wealth in Germany,dataset-068
76,BLS,,BBk Discussion Paper,Bank-related loan supply factors during the crisis: An analysis based on the German bank lending survey,dataset-069
77,MIDI,,BBk Discussion Paper,The use of tax havens in exemption regimes,dataset-070
78,AUSTA,,BBk Discussion Paper,"Crises, rescues, and policy transmission through international banks",dataset-071
79,USTAN,,BBk Discussion Paper,Improvements in rating models for the German corporate sector,dataset-072
80,SHS-BASE,,BBk Discussion Paper,"Portfolio holdings in the euro area - home bias and the role of international, domestic and sector-specific factors",dataset-073
81,SHS-BASE,,BBk Discussion Paper,Are there disadvantaged clienteles in mutual funds?,dataset-074
82,VJKRE,,BBk Discussion Paper,Do specialization benefits outweigh concentration risks in credit portfolios of German banks?,dataset-075
83,AUSTA,,BBk Discussion Paper,Do banks benefit from internationalization? Revisiting the market power-risk nexus,dataset-076
84,AUSTA,,BBk Discussion Paper,What drives portfolio investments of German banks in emerging capital markets?,dataset-077
85,MIDI,,BBk Discussion Paper,Exports versus FDI revisited: does finance matter?,dataset-078
86,MIDI,,"CESifo Working Paper Series No. 5500, available at SSRN Electronic Journal: https://ssrn.com/abstract=2669368","Tax vs. Regulation Policy and the Location of ,Financial Sector FDI*",dataset-079
87,MIDI,,"CESifo DICE Report 4/2015, pp. 41-47",Environmental Regulation and Foreign Direct Investment: The Role of the Mode of Entry,dataset-080
88,MIDI,,available at SSRN Electronic Journal : https://ssrn.com/abstract=2868283,European climate policy and industrial relocation: Evidence from German multinational firms,dataset-081
89,MIDI,,ZEW Discussion Paper (No. 18-004),Tax Influence on Financial Structures of M&As,dataset-082
90,MIDI,,Working Paper,Corporation Taxes and the Debt Policy of Multinational Firms – Evidence from German Multinationals,dataset-083
91,MIDI,,Working Paper,Tax Status and Tax Response Heterogeneity of Multinationals’ Dept Finance,dataset-084
92,MIDI,,Working Paper,"Bilateral Internal Debt Financing, Tax Planning, and the Effectiveness of Anti-Tax Avoidance Rules",dataset-085
93,MIDI,,CESifo Working Paper No. 2517,How Low Business Tax Rates Attract Multinational Headquarters: Municipality-Level Evidence from Germany,dataset-086
94,MIDI,,Working Paper,Intercompany Loans and Profit Shifting – Evidence from Company-Level Data,dataset-087
95,MIDI,,Working Paper,Why is the Response of Multinationals’ Capital Structure Choice to Tax Incentives That Low? Some Possible Explanations,dataset-088
96,MIDI,,Working Paper,The Taxation of Passive Foreign Investment: Lessons from German Experience,dataset-089
97,MIDI,,Working Paper,Network and Border Effects: Where Do Foreign Multinationals Locate in Germany?,dataset-090
98,MIDI,,Working Paper,How Can Firms choose their Leverage? – Tax Planning for Implementing Tax Induced Debt Finance,dataset-091
99,MIDI,,Working Paper,Thin-capitalization rules and company responses: Experience from German legislation,dataset-092
100,MIDI,,Working Paper,What determines the use of holding companies and ownership chains?,dataset-093
101,MIDI,,Working Paper,"Offshoring and the Onshore Composition of Occupations, Tasks and Skills",dataset-094
102,MIDI,,Working Paper,Who Goes East? The Impact of Enlargement on the Patterns of German FDI,dataset-095
103,MIDI,,Working Paper,Transfer Pricing of Intrafirm Sales as a Profit Shifting Channel - Evidence from German Firm Data,dataset-096
104,MIDI,,Working Paper, Taxes and the financial structure of German outbound FDI,dataset-097
105,PHF,,DIW Vierteljahreshefte zur Wirtschaftsforschung,Zur Finanziellen Bildung der Privaten Haushalte in Deutschland: Ergebnisse der Studie “Private Haushalte und ihre Finanzen (PHF)“,dataset-098
106,MIMIK,,Journal of Banking and Finance,An analysis of the consistency of banks’ internal ratings,dataset-099
107,MIDI,,Schmollers Jahrbuch,Combined Firm Data for Germany - Possibilities and Consequences of Merging Firm Data from Different Data Producers,dataset-100
108,USTAN,,Schmollers Jahrbuch,Combined Firm Data for Germany - Possibilities and Consequences of Merging Firm Data from Different Data Producers,dataset-101
109,MIDI,,Schmollers Jahrbuch,KombiFiD: A First Glimpse of the Bundesbank Data,dataset-102
110,USTAN,,Schmollers Jahrbuch,KombiFiD: A First Glimpse of the Bundesbank Data,dataset-103
111,MIMIK,,World Economy,Extra Credit: Bank Finance and Firm Export Status in Germany,dataset-104
112,USTAN,,World Economy,Extra Credit: Bank Finance and Firm Export Status in Germany,dataset-105
113,BISTA,,Economic Modelling,Why does bank credit not drive money in Germany (any more)?,dataset-106
114,BISTA,,Credit and Capital Markets,The payout behavior of German savings banks,dataset-107
115,AUSTA,,The Journal of Financial Perspectives,German Banks in Financial Centers: How Risky is Their Business?,dataset-108
116,BISTA,,The Journal of Financial Perspectives,German Banks in Financial Centers: How Risky is Their Business?,dataset-109
117,AUSTA,,IMF Economic Review,What Determines the Composition of International Bank Flows?,dataset-110
118,BISTA,,IMF Economic Review,What Determines the Composition of International Bank Flows?,dataset-111
119,AUSTA,,IMF Economic Review,International Banking and Liquidity Risk Transmission: Evidence from Germany,dataset-112
120,BISTA,,IMF Economic Review,International Banking and Liquidity Risk Transmission: Evidence from Germany,dataset-113
121,PHF,,Journal of the European Economic Association,Price Level Changes and the Redistribution of Nominal Wealth Across the Euro Area,dataset-114
122,SITS,,Economic Policy (formerly: Economic Policy: A European Forum),You’re banned! The effect of sanctions on German cross-border financial flows,dataset-115
123,BAKIS,,Journal of Banking and Finance,Do all new brooms sweep clean? Evidence for outside bank appointments,dataset-116
124,BISTA,,GERMAN Economic Review,Banks' Interest Rate Risk and Search for Yield: A Theoretical Rationale and Some Empirical Evidence,dataset-117
125,BAKIS,,GERMAN Economic Review,Banks' Interest Rate Risk and Search for Yield: A Theoretical Rationale and Some Empirical Evidence,dataset-118
126,GUV,,GERMAN Economic Review,Banks' Interest Rate Risk and Search for Yield: A Theoretical Rationale and Some Empirical Evidence,dataset-119
127,PaymentSurvey,,Journal of Official Statistics,The influence of an up-front experiment on respondents' recording behaviour in payment diaries: Evidence from Germany,dataset-120
128,BISTA,,Journal of Banking and Finance,Cyclicality of SME lending and government involvement in banks,dataset-121
129,GUV,,Journal of Banking and Finance,Cyclicality of SME lending and government involvement in banks,dataset-122
130,MIMIK,,Journal of Financial Stability,The credit quality channel: Modeling contagion in the interbank market,dataset-123
131,PHF,,Journal of Income Distribution,Bracket creep revisited - with and without r>g: Evidence from Germany,dataset-124
132,BAKIS,,Review of Finance (formerly: European Finance Review),"Do exposures to sagging real estate, subprime or conduits abroad lead to contraction and flight to quality in bank lending at home?",dataset-125
133,BISTA,,Review of Finance (formerly: European Finance Review),"Do exposures to sagging real estate, subprime or conduits abroad lead to contraction and flight to quality in bank lending at home?",dataset-126
134,MIMIK,,Review of Finance (formerly: European Finance Review),"Do exposures to sagging real estate, subprime or conduits abroad lead to contraction and flight to quality in bank lending at home?",dataset-127
135,BISTA,,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence,dataset-128
136,BAKIS,,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence,dataset-129
137,BISTA,,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence,dataset-130
138,MIMIK,,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence,dataset-131
139,SHS-BASE,,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence,dataset-132
140,MIMIK,,Journal of Financial Economics,Securities trading by banks and credit supply: Micro-evidence,dataset-133
141,BAKIS,,International Journal of Central Banking,Centrality-based capital allocations,dataset-134
142,BISTA,,International Journal of Central Banking,Centrality-based capital allocations,dataset-135
143,VJKRE,,International Journal of Central Banking,Centrality-based capital allocations,dataset-136
144,MIMIK,,International Journal of Central Banking,Centrality-based capital allocations,dataset-137
145,BISTA,,Journal of Banking and Finance,Taxing banks: An evaluation of the German bank levy,dataset-138
146,GUV,,Journal of Banking and Finance,Taxing banks: An evaluation of the German bank levy,dataset-139
147,ZISTA,,Journal of Banking and Finance,Taxing banks: An evaluation of the German bank levy,dataset-140
148,BISTA,,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Quantifying the components of the banks' net interest margin,dataset-141
149,GUV,,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Quantifying the components of the banks' net interest margin,dataset-142
150,BAKIS,,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Quantifying the components of the banks' net interest margin,dataset-143
151,PaymentSurvey,,International Journal of Central Banking,Consumer cash usage: A cross-country comparison with payment diary survey data,dataset-144
152,BAKIS,,Journal of Banking and Finance,Earnings baths by bank CEOs during turnovers,dataset-145
153,MIMIK,,Journal of Banking and Finance,The role of interbank relationships and liquidity needs,dataset-146
154,BISTA,,Journal of Banking and Finance,The role of interbank relationships and liquidity needs,dataset-147
155,BISTA,,Review of Finance (formerly: European Finance Review),Bank risk taking and competition: Evidence from regional banking markets,dataset-148
156,BISTA,,Journal of Financial Stability,Banks and sovereign risk: A granular view,dataset-149
157,BAKIS,,Journal of Financial Stability,Banks and sovereign risk: A granular view,dataset-150
158,SHS-BASE,,Journal of Financial Stability,Banks and sovereign risk: A granular view,dataset-151
159,GUV,,Journal of Financial Stability,Banks and sovereign risk: A granular view,dataset-152
160,SHS-BASE,,Journal of Banking and Finance,Is local bias a cross-border phenomenon? Evidence from individual investors' international asset allocation,dataset-153
161,BISTA,,BBk Discussion Paper,Repo funding and internal capital markets in the financial crisis,dataset-154
162,AUSTA,,International Review of Economics and Finance,Diversification and determinants of international credit portfolios: Evidence from German banks,dataset-155
163,BISTA,,Journal of Banking and Finance,Determinants of bank interest margins: Impact of maturity transformation,dataset-156
164,SHS-BASE,,European Journal of Finance,Home-field advantage or a matter of ambiguity aversion? Local bias among German individual investors,dataset-157
165,PaymentSurvey,,"Journal of Money, Credit and Banking","Using cash to monitor liquidity: Implications for payments, currency demand and withdrawal behavior",dataset-158
166,BAKIS,,Journal of Financial Stability,Contagion in the interbank market and its determinants,dataset-159
167,BISTA,,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Bank management of the net interest margin: new measures,dataset-160
168,BAKIS,,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Bank management of the net interest margin: new measures,dataset-161
169,GUV,,Financial Markets and Portfolio Management (formerly: Finanzmarkt und Portfolio Management),Bank management of the net interest margin: new measures,dataset-162
170,BAKIS,,Journal of Banking and Finance,Are banks using hidden reserves to beat earnings benchmarks? Evidence from Germany,dataset-163
