title,url,authors,doi,journal,search_term,dataset_id
System Specifications and Requirements For Design of National Data Buoy Advanced Modular Payload System System Specifications and Requirements For Design of National Data Buoy Advanced Modular Payload System,http://dx.doi.org/10.13140/rg.2.2.24604.49287,"Lessing, Peter, Cambre, Ralph, Bernard, Landry",10.13140/rg.2.2.24604.49287,,National Data Buoy Center,dataset-668
THE NOAA NATIONAL DATA BUOY CENTER,http://dx.doi.org/10.13140/2.1.4167.6481,"Portmann, Helmut H, Bernard, Landry J, Swaykos, Joseph, Crout, Richard L",10.13140/2.1.4167.6481,,National Data Buoy Center,dataset-668
Airborne Surveys of Ocean Current and Temperature Perturbations Induced by Hurricanes,http://hdl.handle.net/10945/48940,"Elsberry, Russell L., Shay, Lynn K., Black, Peter G.",,,National Data Buoy Center,dataset-668
OS53A-1016 Sea-Change in Ocean Observations on Moored Buoys from the National Data Buoy Center (NDBC),http://dx.doi.org/10.13140/2.1.1613.4723,"Bouchard, Richard H, Elliott, James, Pounder, Daniel, Kern, Kevin",10.13140/2.1.1613.4723,,National Data Buoy Center,dataset-668
Validation of Sentinel-3A/3B Satellite Altimetry Wave Heights with Buoy and Jason-3 Data,https://doaj.org/toc/1424-8220,"Jungang Yang, Jie Zhang",10.3390/s19132914,Sensors,National Data Buoy Center,dataset-668
Ideal Buoy Location Data (Southern California),https://figshare.com/articles/Ideal_Buoy_Location_Data_Southern_California_/5051860,"Ma, Vincent, Nguyen, Pauline, Famiglietti, Caroline, Martin, Vanesa",10.6084/m9.figshare.5051860.v1,,National Data Buoy Center,dataset-668
33 years of globally calibrated wave height and wind speed data based on altimeter observations,http://europepmc.org/articles/PMC6541622,"Ribal, Agustinus, Young, Ian R.",10.1038/s41597-019-0083-9,Scientific Data,National Data Buoy Center,dataset-668
Resonant inertial oscillations in moored buoy ocean surface winds,http://www.tellusa.net/index.php/tellusa/article/view/14478,"Stockwell, R. G., Large, W. G., Milliff, R. F.",10.3402/tellusa.v56i5.14478,Tellus A,National Data Buoy Center,dataset-668
Changing Trends in Wave Heights in the U.S. Mid-Atlantic Region,http://dx.doi.org/10.25777/8cx1-0v89,"Lane, Hillary",10.25777/8cx1-0v89,,National Data Buoy Center,dataset-668
Validation of the Significant Wave Height Product of HY-2 Altimeter,https://www.mdpi.com/2072-4292/9/10/1016,"Chuntao Chen, Jianhua Zhu, Mingsen Lin, Yili Zhao, He Wang, Jin Wang",10.3390/rs9101016,Remote Sensing,National Data Buoy Center,dataset-668
Quantification of the relationship between sea surface roughness and the size of the glistening zone for GNSS-R,http://dx.doi.org/10.1109/LGRS.2017.2782728,"Yan, Qingyun, Huang, Weimin, Foti, Giuseppe",10.1109/LGRS.2017.2782728,,National Data Buoy Center,dataset-668
Research on the Algorithm Model for Measuring Ocean Waves Based on Satellite GPS Signals in China,https://www.mdpi.com/1424-8220/19/3/541,"Qi, Zhanhui, Li, Shaowu, Li, Mingbing, Dang, Chaoqun, Sun, Dongbo, Zhang, Dongliang, Liu, Ning, Zhang, Suoping",10.3390/s19030541,Sensors,National Data Buoy Center,dataset-668
The NOAA IOOS Data Integration Framework: Initial implementation report,https://zenodo.org/record/1278362,"de La Beaujardière, Jeff",10.1109/oceans.2008.5152007,,National Data Buoy Center,dataset-668
Assessment and Analysis of QuikSCAT Vector Wind Products for the Gulf of Mexico: A Long-Term and Hurricane Analysis,http://www.mdpi.com/1424-8220/8/3/1927/,"Sharma, Neha, D’Sa, Eurico",10.3390/s8031927,Sensors,National Data Buoy Center,dataset-668
Assessing Global Ocean Wind Energy Resources Using Multiple Satellite Data,http://www.mdpi.com/2072-4292/10/1/100,"Qiaoying Guo, Xiazhen Xu, Kangyu Zhang, Zhengquan Li, Weijiao Huang, Lamin R. Mansaray, Weiwei Liu, Xiuzhen Wang, Jian Gao, Jingfeng Huang",10.3390/rs10010100,Remote Sensing,National Data Buoy Center,dataset-668
Preliminary Assessment of Wind and Wave Retrieval from Chinese Gaofen-3 SAR Imagery,https://www.mdpi.com/1424-8220/17/8/1705,"Weizeng Shao, Yexin Sheng, Jian Sun",10.3390/s17081705,"Sensors (Basel, Switzerland)",National Data Buoy Center,dataset-668
An intercomparison of Arctic ice drift products to deduce uncertainty estimates,http://archimer.ifremer.fr/doc/00203/31395/,"Sumata, Hiroshi, Lavergne, Thomas, Girard-Ardhuin, Fanny, Kimura, Noriaki, Tschudi, Mark A., Kauker, Frank, Karcher, Michael, Gerdes, Rüdiger",10.1002/2013JC009724,,National Data Buoy Center,dataset-668
Evaluation of ISS-RapidScat Wind Vectors Using Buoys and ASCAT Data,http://www.mdpi.com/2072-4292/10/4/648,"Jungang Yang, Jie Zhang",10.3390/rs10040648,Remote Sensing,National Data Buoy Center,dataset-668
